Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
abbey-4-9-x-6-9-area-rug,"ABBEY 4' 9"" X 6' 9"" Area Rug","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ABBEY, styled in Contemporary and designed for everyday comfort.<br>
This accent rug is made to fit naturally into the room. With Nylon and Alphabet/Multi or Sports or Solar System tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 5&#x27; X 7&#x27;<br>
Size: Varies by variant</p>

<p>Features<br>
- Non-Slipping Gel/Nylon Backing<br>
- Size: 5x7<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Alphabet/Multi | Dimensions: 5&#x27; X 7&#x27; | Weight: 9 lbs | Shipping (LxWxH): 60 x 5 x 4 in | Volume: 0.7 cuft</strong><br>
- <strong>Size: - | Color: Sports | Dimensions: 5&#x27; X 7&#x27; | Weight: 9 lbs | Shipping (LxWxH): 60 x 5 x 4 in | Volume: 0.7 cuft</strong><br>
- <strong>Size: - | Color: Solar System | Dimensions: 5&#x27; X 7&#x27; | Weight: 9 lbs | Shipping (LxWxH): 60 x 5 x 4 in | Volume: 0.7 cuft</strong><br>
</p>

<p>Materials: Nylon.<br>
Color: Alphabet/Multi or Sports or Solar System<br>
Weight: 9 lbs</p>",GOODDEGG,Home & Garden > Decor > Rugs,Rug,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Alphabet/Multi,,,,,,,,RG5209,4082,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5209-1-Z.jpg,1,abbey-4-9-x-6-9-area-rug,FALSE,"ABBEY 4' 9"" X 6' 9"" Area Rug","Shop ABBEY 4' 9"" X 6' 9"" Area Rug. Contemporary style. Nylon build. Multiple colors available. Free shipping. Buy now at GOODDEGG.",RG5209-1-Z.jpg,lb,,39,active
abbey-4-9-x-6-9-area-rug,,,,,,,,,Alphabet/Multi,,,,,,,,RG5210,4082,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5210-1-Z.jpg,2,abbey-4-9-x-6-9-area-rug,,,,RG5210-1-Z.jpg,lb,,39,
abbey-4-9-x-6-9-area-rug,,,,,,,,,Sports,,,,,,,,RG5211,4082,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5211-1-Z.jpg,3,abbey-4-9-x-6-9-area-rug,,,,RG5211-1-Z.jpg,lb,,39,
abbey-4-9-x-6-9-area-rug,,,,,,,,,Solar System,,,,,,,,RG5212,4082,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5212-1-Z.jpg,4,abbey-4-9-x-6-9-area-rug,,,,RG5212-1-Z.jpg,lb,,39,
abbey-5-x-8-area-rug,ABBEY 5' X 8' Area Rug,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ABBEY, styled in Contemporary and designed for everyday comfort.<br>
This accent rug is made to fit naturally into the room. With Nylon and Red or Multi or Us Map tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 5&#x27; X 8&#x27;<br>
Size: Varies by variant</p>

<p>Features<br>
- Pile Height: 0.2<br>
- Backing: Non-slipping Gel<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Red | Dimensions: 5&#x27; X 8&#x27; | Weight: 10 lbs | Shipping (LxWxH): 60 x 4 x 4 in | Volume: 0.6 cuft</strong><br>
- <strong>Size: - | Color: Multi | Dimensions: 5&#x27; X 8&#x27; | Weight: 10 lbs | Shipping (LxWxH): 60 x 4 x 4 in | Volume: 0.6 cuft</strong><br>
- <strong>Size: - | Color: Us Map | Dimensions: 5&#x27; X 8&#x27; | Weight: 10 lbs | Shipping (LxWxH): 60 x 4 x 4 in | Volume: 0.6 cuft</strong><br>
</p>

<p>Materials: Nylon.<br>
Color: Red or Multi or Us Map<br>
Weight: 10 lbs</p>",GOODDEGG,Home & Garden > Decor > Rugs,Rug,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Red,,,,,,,,RG5110,4536,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5110-Z.jpg,1,abbey-5-x-8-area-rug,FALSE,ABBEY 5' X 8' Area Rug,Shop ABBEY 5' X 8' Area Rug. Contemporary style. Nylon build. Multiple colors available. Free shipping. Buy now at GOODDEGG.,RG5110-Z.jpg,lb,,39,active
abbey-5-x-8-area-rug,,,,,,,,,Multi,,,,,,,,RG5112,4536,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5110-CLOSEUP2.jpg,2,abbey-5-x-8-area-rug,,,,RG5112-Z.jpg,lb,,39,
abbey-5-x-8-area-rug,,,,,,,,,Multi,,,,,,,,RG5113,4536,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5110-CLOSEUP1.jpg,3,abbey-5-x-8-area-rug,,,,RG5113-Z.jpg,lb,,39,
abbey-5-x-8-area-rug,,,,,,,,,Us Map,,,,,,,,RG5114,4536,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5112-Z.jpg,4,abbey-5-x-8-area-rug,,,,RG5114-Z.jpg,lb,,39,
abbey-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5112-CLOSEUP2.jpg,5,abbey-5-x-8-area-rug,,,,,,,,
abbey-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5112-CLOSEUP1.jpg,6,abbey-5-x-8-area-rug,,,,,,,,
abbey-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5113-Z.jpg,7,abbey-5-x-8-area-rug,,,,,,,,
abbey-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5113-CLOSEUP2.jpg,8,abbey-5-x-8-area-rug,,,,,,,,
abbey-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5113-CLOSEUP1.jpg,9,abbey-5-x-8-area-rug,,,,,,,,
abbey-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5114-Z.jpg,10,abbey-5-x-8-area-rug,,,,,,,,
abbey-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5114-CLOSEUP2.jpg,11,abbey-5-x-8-area-rug,,,,,,,,
abbey-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5114-CLOSEUP1.jpg,12,abbey-5-x-8-area-rug,,,,,,,,
acanthus-5-x-8-area-rug,ACANTHUS 5' X 8' Area Rug,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with ACANTHUS 5' X 8' Area Rug and its Contemporary character. As a accent rug, it is designed to complement your space. Finished in Taupe tones, the 100% Nylon build balances durability with visual appeal.<br>
Product Dimensions: 5' X 8'</p>

<p>Materials: 100% Nylon.<br>
Color: Taupe<br>
Weight: 15.54 lbs</p>",GOODDEGG,Home & Garden > Decor > Rugs,Rug,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Taupe,,,,,,,,RG8141S,7049,shopify,20,deny,manual,327,,TRUE,FALSE,,,,,,RG8141-1.jpg,1,acanthus-5-x-8-area-rug,FALSE,ACANTHUS 5' X 8' Area Rug,Shop ACANTHUS 5' X 8' Area Rug. Contemporary style. 100% Nylon build. Color: Taupe. Free shipping. Buy now at GOODDEGG.,RG8141-1.jpg,lb,,109,active
acanthus-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG8141-2.jpg,2,acanthus-5-x-8-area-rug,,,,,,,,
acanthus-8-x-10-area-rug,ACANTHUS 8' X 10' Area Rug,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ACANTHUS 8' X 10' Area Rug brings a Contemporary look to your home with a refined, comfortable feel. This accent rug is made to fit naturally into the room. The 100% Nylon construction is complemented by Taupe tones for a polished look.<br>
Product Dimensions: 8' X 10'</p>

<p>Materials: 100% Nylon.<br>
Color: Taupe<br>
Weight: 28.68 lbs</p>",GOODDEGG,Home & Garden > Decor > Rugs,Rug,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Taupe,,,,,,,,RG8141M,13009,shopify,20,deny,manual,597,,TRUE,FALSE,,,,,,RG8141-1.jpg,1,acanthus-8-x-10-area-rug,FALSE,ACANTHUS 8' X 10' Area Rug,Shop ACANTHUS 8' X 10' Area Rug. Contemporary style. 100% Nylon build. Color: Taupe. Free shipping. Buy now at GOODDEGG.,RG8141-1.jpg,lb,,199,active
acanthus-8-x-10-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG8141-2.jpg,2,acanthus-8-x-10-area-rug,,,,,,,,
amos-5-x-8-area-rug,AMOS 5' X 8' Area Rug,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with AMOS, styled in Contemporary and designed for everyday comfort.<br>
This accent rug is made to fit naturally into the room. With Nylon and Multi tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 5&#x27; X 7&#x27;<br>
Size: Varies by variant</p>

<p>Features<br>
- Machine-tufted<br>
- Nylon Backing<br>
- Thickness: 0.2&quot;<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Multi | Dimensions: 5&#x27; X 7&#x27; | Weight: 10 lbs | Shipping (LxWxH): 60 x 4 x 4 in | Volume: 0.6 cuft</strong><br>
</p>

<p>Materials: Nylon.<br>
Color: Multi<br>
Weight: 10 lbs</p>",GOODDEGG,Home & Garden > Decor > Rugs,Rug,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Multi,,,,,,,,RG5115,4536,shopify,20,deny,manual,147,,TRUE,FALSE,,,,,,RG5115-1.jpg,1,amos-5-x-8-area-rug,FALSE,AMOS 5' X 8' Area Rug,Shop AMOS 5' X 8' Area Rug. Contemporary style. Nylon build. Color: Multi. Free shipping. Buy now at GOODDEGG.,RG5115-1.jpg,lb,,49,active
amos-5-x-8-area-rug,,,,,,,,,Multi,,,,,,,,RG5116,4536,shopify,20,deny,manual,147,,TRUE,FALSE,,,,,,RG5115-2.jpg,2,amos-5-x-8-area-rug,,,,RG5116-1.jpg,lb,,49,
amos-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5116-1.jpg,3,amos-5-x-8-area-rug,,,,,,,,
amos-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5116-2.jpg,4,amos-5-x-8-area-rug,,,,,,,,
annmarie-5-x-7-area-rug,ANNMARIE 5' X 7' Area Rug,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ANNMARIE, styled in Contemporary and designed for everyday comfort.<br>
This accent rug is made to fit naturally into the room. With Polyester, 100% Polyester and Beige or Navy or Silver or White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 5&#x27; X 7&#x27;<br>
Size: Varies by variant</p>

<p>Features<br>
- 3&quot; Pile Ht.<br>
- Cotton Backing<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Beige | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
- <strong>Size: - | Color: Navy | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
- <strong>Size: - | Color: Silver | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
- <strong>Size: - | Color: White | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
</p>

<p>Materials: Polyester, 100% Polyester.<br>
Color: Beige or Navy or Silver or White<br>
Weight: 38 lbs</p>",GOODDEGG,Home & Garden > Decor > Rugs,Rug,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Beige,,,,,,,,RG4102,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4102-1.jpg,1,annmarie-5-x-7-area-rug,FALSE,ANNMARIE 5' X 7' Area Rug,Shop ANNMARIE 5' X 7' Area Rug. Contemporary style. Polyester build. Multiple colors available. Free shipping. Buy now at GOODDEGG.,RG4102-1.jpg,lb,,219,active
annmarie-5-x-7-area-rug,,,,,,,,,Navy,,,,,,,,RG4103,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4102-2.jpg,2,annmarie-5-x-7-area-rug,,,,RG4103-1.jpg,lb,,219,
annmarie-5-x-7-area-rug,,,,,,,,,Silver,,,,,,,,RG4104,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4102-3.jpg,3,annmarie-5-x-7-area-rug,,,,RG4104-1.jpg,lb,,219,
annmarie-5-x-7-area-rug,,,,,,,,,White,,,,,,,,RG4106,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4103-1.jpg,4,annmarie-5-x-7-area-rug,,,,RG4106-1.jpg,lb,,219,
annmarie-5-x-7-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4104-1.jpg,5,annmarie-5-x-7-area-rug,,,,,,,,
annmarie-5-x-7-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4104-2.jpg,6,annmarie-5-x-7-area-rug,,,,,,,,
annmarie-5-x-7-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4104-3.jpg,7,annmarie-5-x-7-area-rug,,,,,,,,
annmarie-5-x-7-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4106-1.jpg,8,annmarie-5-x-7-area-rug,,,,,,,,
annmarie-5-x-7-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4106-2.jpg,9,annmarie-5-x-7-area-rug,,,,,,,,
annmarie-5-x-8-area-rug,ANNMARIE 5' X 8' Area Rug,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ANNMARIE, styled in Contemporary and designed for everyday comfort.<br>
This accent rug is made to fit naturally into the room. With Polyester and Scarlet or Yellow or Teal or Purple or Blue or Black tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 5&#x27; X 7&#x27;<br>
Size: Varies by variant</p>

<p>Features<br>
- 3&quot; Pile Ht.<br>
- Cotton Backing<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Scarlet | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
- <strong>Size: - | Color: Yellow | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
- <strong>Size: - | Color: Teal | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
- <strong>Size: - | Color: Purple | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
- <strong>Size: - | Color: Blue | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
- <strong>Size: - | Color: Black | Dimensions: 5&#x27; X 7&#x27; | Weight: 38 lbs | Shipping (LxWxH): 60 x 12 x 12 in | Volume: 5 cuft</strong><br>
</p>

<p>Materials: Polyester.<br>
Color: Scarlet or Yellow or Teal or Purple or Blue or Black<br>
Weight: 38 lbs</p>",GOODDEGG,Home & Garden > Decor > Rugs,Rug,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Scarlet,,,,,,,,RG4101,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4101-1.jpg,1,annmarie-5-x-8-area-rug,FALSE,ANNMARIE 5' X 8' Area Rug,Shop ANNMARIE 5' X 8' Area Rug. Contemporary style. Polyester build. Multiple colors available. Free shipping. Buy now at GOODDEGG.,RG4101-1.jpg,lb,,219,active
annmarie-5-x-8-area-rug,,,,,,,,,Yellow,,,,,,,,RG4105,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4101-2.jpg,2,annmarie-5-x-8-area-rug,,,,RG4105-1.jpg,lb,,219,
annmarie-5-x-8-area-rug,,,,,,,,,Teal,,,,,,,,RG4107,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4101-3.jpg,3,annmarie-5-x-8-area-rug,,,,RG4107-1.jpg,lb,,219,
annmarie-5-x-8-area-rug,,,,,,,,,Purple,,,,,,,,RG4108,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4105-1.jpg,4,annmarie-5-x-8-area-rug,,,,RG4108-1.jpg,lb,,219,
annmarie-5-x-8-area-rug,,,,,,,,,Blue,,,,,,,,RG4109,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4105-2.jpg,5,annmarie-5-x-8-area-rug,,,,RG4109-1.jpg,lb,,219,
annmarie-5-x-8-area-rug,,,,,,,,,Black,,,,,,,,RG4120,17237,shopify,20,deny,manual,657,,TRUE,FALSE,,,,,,RG4107-1.jpg,6,annmarie-5-x-8-area-rug,,,,RG4120-1.jpg,lb,,219,
annmarie-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4107-2.jpg,7,annmarie-5-x-8-area-rug,,,,,,,,
annmarie-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4108-1.jpg,8,annmarie-5-x-8-area-rug,,,,,,,,
annmarie-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4109-1.jpg,9,annmarie-5-x-8-area-rug,,,,,,,,
annmarie-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4109-2.jpg,10,annmarie-5-x-8-area-rug,,,,,,,,
annmarie-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4120-1.jpg,11,annmarie-5-x-8-area-rug,,,,,,,,
annmarie-5-x-8-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG4120-2.jpg,12,annmarie-5-x-8-area-rug,,,,,,,,
blitar-5-x-7-area-rug,BLITAR 5' X 7' Area Rug,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with BLITAR, styled in Contemporary and designed for everyday comfort.<br>
This accent rug is made to fit naturally into the room. With Polyester and Dark Gray or Brown/Black or Brown tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 5&#x27; X 7&#x27;<br>
Size: Varies by variant</p>

<p>Features<br>
- Power Loomed<br>
- Jute Mesh Backing<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Dark Gray | Dimensions: 5&#x27; X 7&#x27; | Weight: 11 lbs | Shipping (LxWxH): 63 x 5 x 6 in | Volume: 1.1 cuft</strong><br>
- <strong>Size: - | Color: Brown/Black | Dimensions: 5&#x27; X 7&#x27; | Weight: 11 lbs | Shipping (LxWxH): 63 x 5 x 6 in | Volume: 1.1 cuft</strong><br>
- <strong>Size: - | Color: Brown | Dimensions: 5&#x27; X 7&#x27; | Weight: 11 lbs | Shipping (LxWxH): 63 x 5 x 6 in | Volume: 1.1 cuft</strong><br>
</p>

<p>Materials: Polyester.<br>
Color: Dark Gray or Brown/Black or Brown<br>
Weight: 11 lbs</p>",GOODDEGG,Home & Garden > Decor > Rugs,Rug,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Dark Gray,,,,,,,,RG5213,4990,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5213-1.jpg,1,blitar-5-x-7-area-rug,FALSE,BLITAR 5' X 7' Area Rug,Shop BLITAR 5' X 7' Area Rug. Contemporary style. Polyester build. Multiple colors available. Free shipping. Buy now at GOODDEGG.,RG5213-1.jpg,lb,,39,active
blitar-5-x-7-area-rug,,,,,,,,,Brown/Black,,,,,,,,RG5214,4990,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5214-1-Z.jpg,2,blitar-5-x-7-area-rug,,,,RG5214-1-Z.jpg,lb,,39,
blitar-5-x-7-area-rug,,,,,,,,,Brown,,,,,,,,RG5215,4990,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,RG5214-2.jpg,3,blitar-5-x-7-area-rug,,,,RG5215-1-Z.jpg,lb,,39,
blitar-5-x-7-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5214-4.jpg,4,blitar-5-x-7-area-rug,,,,,,,,
blitar-5-x-7-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5214-5.jpg,5,blitar-5-x-7-area-rug,,,,,,,,
blitar-5-x-7-area-rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RG5214-6.jpg,6,blitar-5-x-7-area-rug,,,,,,,,
