Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
albani-twin-twin-bunk-bed,ALBANI Twin/Twin Bunk Bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ALBANI or Twin Bunk Bed adds a Rustic touch while keeping the room feeling warm and welcoming. Built as a youth bunk bed, it pairs well with a wide range of interiors. Crafted from Solid Wood, it is finished in White tones that pair easily with surrounding decor.<br>
Product Dimensions: 82""W X 45""D X 63""H<br>
Size: Twin</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Solid Wood.<br>
Color: White<br>
Weight: 182 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames > Bunk Beds & Bed Frames,Bunk Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Twin,,,,,,,,AM-BK302WH-BED,82554,shopify,20,deny,manual,1497,,TRUE,FALSE,,,,,,AM-BK302WH-1.jpg,1,,FALSE,ALBANI Twin/Twin Bunk Bed | GOODDEGG,"ALBANI Twin/Twin Bunk Bed supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",AM-BK302WH-1.jpg,lb,,499,active
aubrey-twin-triple-decker-bed,AUBREY Twin Triple Decker Bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with AUBREY Triple Decker Bed, styled in Contemporary and designed for everyday comfort. This youth bunk bed is made to fit naturally into the room. With Metal and Sand Black tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 79""L X 78 1/4""W X 74 1/4""H<br>
Size: Twin</p>

<p>Materials: Metal.<br>
Color: Sand Black<br>
Weight: 165.4 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames > Bunk Beds & Bed Frames,Bunk Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Twin,,,,,,,,CM-BK919-BED,75024,shopify,20,deny,manual,1257,,TRUE,FALSE,,,,,,CM-BK919-1-Z.jpg,1,,FALSE,AUBREY Twin Triple Decker Bed | GOODDEGG,"AUBREY Twin Triple Decker Bed Bunk Bed supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM-BK919-1-Z.jpg,lb,,469,active
aubrey-twin-triple-decker-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-BK919-3.jpg,2,,,,,,,,,
aubrey-twin-triple-decker-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-BK919-4.jpg,3,,,,,,,,,
aubrey-twin-triple-decker-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-BK919-5.jpg,4,,,,,,,,,
ballarat-triple-twin-bunk-bed-w-desk,BALLARAT Triple Twin Bunk Bed w/ Desk,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
BALLARAT Triple Bunk Bed w/ Desk adds a Contemporary touch while keeping the room feeling warm and welcoming. Built as a youth bunk bed, it pairs well with a wide range of interiors. Crafted from Metal, it is finished in Silver tones that pair easily with surrounding decor.<br>
Product Dimensions: 118 1/4""L X 78 1/4""W X 67 3/4""H<br>
Size: Twin</p>

<p>Materials: Metal.<br>
Color: Silver<br>
Weight: 226.2 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames > Bunk Beds & Bed Frames,Bunk Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Twin,,,,,,,,CM-BK1049,102603,shopify,20,deny,manual,1257,,TRUE,FALSE,,,,,,CM-BK1049-Z.jpg,1,,FALSE,BALLARAT Triple Twin Bunk Bed w/ Desk | GOODDEGG,"BALLARAT Triple Twin Bunk Bed w/ Desk supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM-BK1049-Z.jpg,lb,,469,active
ballarat-triple-twin-bunk-bed-w-desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-BK1049-CLOSEUP1.jpg,2,,,,,,,,,
ballarat-triple-twin-bunk-bed-w-desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-BK1049-CLOSEUP2.jpg,3,,,,,,,,,
brocket-metal-full-full-bunk-bed,BROCKET Metal Full/Full Bunk Bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
BROCKET Metal or Full Bunk Bed brings a Contemporary look to your home with a refined, comfortable feel. Built as a youth bunk bed, it pairs well with a wide range of interiors. The Metal construction is complemented by Black tones for a polished look.<br>
Product Dimensions: 78 3/4""L X 56 3/4""W X 65""H<br>
Size: Full</p>

<p>Materials: Metal.<br>
Color: Black<br>
Weight: 126.5 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames > Bunk Beds & Bed Frames,Bunk Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Full,,,,,,,,CM-BK1035F-BK-BED,57379,shopify,20,deny,manual,897,,TRUE,FALSE,,,,,,CM-BK1035F-BK-1-Z.jpg,1,,FALSE,BROCKET Metal Full/Full Bunk Bed | GOODDEGG,"BROCKET Metal Full/Full Bunk Bed supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM-BK1035F-BK-1-Z.jpg,lb,,329,active
brocket-metal-full-full-bunk-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-BK1035F-BK-2.jpg,2,,,,,,,,,
