Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aberporth-chair,ABERPORTH Chair,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ABERPORTH Chair brings a Transitional look to your home with a refined, comfortable feel. As a upholstery chair, it is designed to complement your space. The Linen-like, Solid Wood, construction is complemented by Multi tones for a polished look.<br>
Product Dimensions: 46""L X 43""W X 39""H (SEAT HT: 18"", SEAT DP: 21"")</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Linen-like, Solid Wood.<br>
Color: Multi<br>
Weight: 86 lbs</p>",GOODDEGG,Furniture > Chairs,Chair,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Multi,,,,,,,,SM5406-CH,39009,shopify,20,deny,manual,1053,,TRUE,FALSE,,,,,,SM5406-CH-1.jpg,1,,FALSE,ABERPORTH Chair | GOODDEGG,"ABERPORTH Chair supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",SM5406-CH-1.jpg,lb,,351,active
aberporth-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM5406-1-Z.jpg,2,,,,,,,,,
acapulco-chair,ACAPULCO Chair,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ACAPULCO Chair, styled in Traditional and designed for everyday comfort. Built as a upholstery chair, it pairs well with a wide range of interiors. With Fabric, Solid Wood, and Black or Off-White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 44""W X 42""D X 46.5""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Fabric, Solid Wood, Others.<br>
Color: Black or Off-White or Off-White<br>
Weight: 115.5 or 118.8 lbs</p>",GOODDEGG,Furniture > Chairs,Chair,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Black/Off-White,,,,,,,,FM65001ES-CH,52390,shopify,20,deny,manual,1137,,TRUE,FALSE,,,,,,FM65001ES-CH-1.jpg,1,,FALSE,ACAPULCO Chair | GOODDEGG,"ACAPULCO Chair supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",FM65001ES-CH-1.jpg,lb,,499,active
acapulco-chair,,,,,,,,,Off-White,,,,,,,,FM65001WH-CH,53887,shopify,20,deny,manual,1137,,TRUE,FALSE,,,,,,FM65001WH-CH-1.jpg,2,,,,,FM65001WH-CH-1.jpg,lb,,499,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-1.jpg,3,,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-2.jpg,4,,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-3.jpg,5,,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-4.jpg,6,,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-5.jpg,7,,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-6.jpg,8,,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-7.jpg,9,,,,,,,,,
