Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aalok-bed,aalok bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with AALOK Bed, styled in Glam and designed for everyday comfort. This bedroom bed is made to fit naturally into the room. With Velvet-like Fabric, Solid Wood, Wood Veneer, and Silver or Warm Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 87 3/4""L X 65 7/8""W X 70""H<br>
Size: Queen</p>

<p>Features<br>
- Glam design<br>
- Upholstered in velvet-like fabric<br>
- Made with solid wood &amp; wood veneer<br>
- Padded Headboard &amp; Footboard with pleated design<br>
- Elegant cabriole legs<br>
- Foundation required Bonus storage &amp; convenience features (from matching set pieces): USB Charger on Night Stand<br>
Felt-lined Top Drawer<br>
Hidden Drawer in Dresser</p>

<p>Materials: Velvet-like Fabric, Solid Wood, Wood Veneer.<br>
Color: Silver or Warm Gray<br>
Weight: 187 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Queen,,,,,,,,CM7864Q-BED,84822,shopify,20,deny,manual,1197,,TRUE,FALSE,,,,,,CM7864-1-c.jpg,1,,FALSE,AALOK Queen Bed | GOODDEGG,"AALOK Queen Bed supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7864-1-c.jpg,lb,,459,active
aalok-bed,,,,,,,,,E.King,,,,,,,,CM7864EK-BED,96797,shopify,20,deny,manual,1440,,TRUE,FALSE,,,,,,CM7864-1-c.jpg,2,,,,,CM7864-1-c.jpg,lb,,539,
aalok-bed,,,,,,,,,Cal.King,,,,,,,,CM7864CK-BED,98792,shopify,20,deny,manual,1497,,TRUE,FALSE,,,,,,CM7864-1-c.jpg,3,,,,,CM7864-1-c.jpg,lb,,559,
aalok-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-1-Z.jpg,4,,,,,,,,,
aalok-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-2.jpg,5,,,,,,,,,
aalok-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-3.jpg,6,,,,,,,,,
aalok-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-4.jpg,7,,,,,,,,,
aalok-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-5.jpg,8,,,,,,,,,
aalok-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-6.jpg,9,,,,,,,,,
alaina-bed,alaina bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with ALAINA Bed and its Transitional character. Built as a bedroom bed, it pairs well with a wide range of interiors. Finished in Walnut tones, the Solid Wood, Wood Veneer, Engineered Wood build balances durability with visual appeal.<br>
Product Dimensions: 85 1/4""L X 64""W X 52""H<br>
Size: Queen</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer<br>
- Foundation required Bonus storage &amp; convenience features (from matching set pieces): USB Charger in Night Stand<br>
Nickel Drawer Pulls<br>
Felt-lined Top Drawers</p>

<p>Materials: Solid Wood, Wood Veneer, Engineered Wood.<br>
Color: Walnut<br>
Weight: 96.8 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Queen,,,,,,,,FOA7916Q-BED,43908,shopify,20,deny,manual,567,,TRUE,FALSE,,,,,,FOA7916-1-c.jpg,1,,FALSE,ALAINA Queen Bed | GOODDEGG,"ALAINA Queen Bed supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",FOA7916-1-c.jpg,lb,,239,active
alaina-bed,,,,,,,,,E.King,,,,,,,,FOA7916EK-BED,49895,shopify,20,deny,manual,717,,TRUE,FALSE,,,,,,FOA7916-1-c.jpg,2,,,,,FOA7916-1-c.jpg,lb,,289,
alaina-bed,,,,,,,,,Cal.King,,,,,,,,FOA7916CK-BED,56382,shopify,20,deny,manual,717,,TRUE,FALSE,,,,,,FOA7916-1-c.jpg,3,,,,,FOA7916-1-c.jpg,lb,,289,
alaina-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOA7916-1.jpg,4,,,,,,,,,
alaina-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOA7916-2.jpg,5,,,,,,,,,
alaina-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOA7916-3.jpg,6,,,,,,,,,
alaina-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOA7916-4.jpg,7,,,,,,,,,
alanis-bed,alanis bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ALANIS Bed adds a Contemporary touch while keeping the room feeling warm and welcoming. As a bedroom bed, it is designed to complement your space. Crafted from Fabric, Mirror, Solid Wood, Engineered Wood, it is finished in Light Gray tones that pair easily with surrounding decor.<br>
Product Dimensions: 90 1/2""L X 64 3/4""W X 68""H<br>
Size: Queen</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer Bonus storage &amp; convenience features (from matching set pieces): Felt-lined Top Drawers &amp; English Dovetail Drawer Construction<br>
Jewelry Drawers in Dresser</p>

<p>Materials: Fabric, Mirror, Solid Wood, Engineered Wood.<br>
Color: Light Gray<br>
Weight: 161.78 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Queen,,,,,,,,CM7579Q-BED,73382,shopify,20,deny,manual,1257,,TRUE,FALSE,,,,,,CM7579-Z.jpg,1,,FALSE,ALANIS Queen Bed | GOODDEGG,"ALANIS Queen Bed supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7579-Z.jpg,lb,,489,active
alanis-bed,,,,,,,,,E.King,,,,,,,,CM7579EK-BED,85820,shopify,20,deny,manual,1527,,TRUE,FALSE,,,,,,CM7579-Z.jpg,2,,,,,CM7579-Z.jpg,lb,,569,
alanis-bed,,,,,,,,,Cal.King,,,,,,,,CM7579CK-BED,90310,shopify,20,deny,manual,1527,,TRUE,FALSE,,,,,,CM7579-Z.jpg,3,,,,,CM7579-Z.jpg,lb,,569,
alanis-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7579-1.jpg,4,,,,,,,,,
alanis-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7579-2.jpg,5,,,,,,,,,
