Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aberporth-sofa-and-loveseat,ABERPORTH Sofa and Loveseat,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ABERPORTH Sofa and Loveseat is designed for everyday living, balancing comfort with a clean, finished look. As a upholstery upholstery set, it is designed to coordinate with matching pieces. The Transitional character adds definition without feeling heavy. Built from Linen-like, Solid Wood, and finished in Gray tones for a clean, cohesive look.</p>

<p>Features<br>
- Lawson Design<br>
- Box Seat Cushion<br>
- Loose Pillow Back<br>
- Rolled Arms<br>
- Tapered Plastic Legs<br>
- Pillows Included Included items and dimensions:<br>
- Sofa: color: Gray; dimensions: 87"" L x 37"" W x 38"" H (SEAT HT: 18"", SEAT DP: 21""); feature: Transitional<br>
- Loveseat: color: Gray; dimensions: 64"" L x 37"" W x 38"" H (SEAT HT: 18"", SEAT DP: 21""); feature: Transitional</p>

<p>Materials: Linen-like, Solid Wood.<br>
Color: Gray<br>
Weight: 234 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Living Room Furniture Sets,Upholstery Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Gray,,,,,,,,SM5406-2PC,106141,shopify,20,deny,manual,2997,,TRUE,FALSE,,,,,,SM5406-1-Z.jpg,1,,FALSE,ABERPORTH Sofa and Loveseat | GOODDEGG,"ABERPORTH Sofa and Loveseat Upholstery Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",SM5406-1-Z.jpg,lb,,999,active
acapulco-sofa-and-loveseat,ACAPULCO Sofa and Loveseat,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ACAPULCO Sofa and Loveseat offers a pulled-together look that makes the room feel ready to use and enjoy. This upholstery upholstery set is made to fit naturally into the room. A Traditional profile gives the space a refined, approachable look. Crafted with Fabric, Solid Wood, then finished in Black or Off-White tones to suit a range of interiors.<br>
Product Dimensions: Sofa: 84.5""L X 42""W X 48.5""H</p>

<p>Features<br>
- Traditional<br>
- Black or Off-White<br>
- Diamond Tufted Back<br>
- Crown Molding<br>
- Carved Details<br>
- Cabriole Style Legs<br>
- Box Seat Cushion w/ Welt<br>
- Wing Back Design<br>
- Accent Pillow Included Included items and dimensions:<br>
- Sofa: color: Black or Off-White or Off-White<br>
- Loveseat: color: Black or Off-White or Off-White</p>

<p>Materials: Fabric, Solid Wood, Others.<br>
Color: Black or Off-White or Off-White<br>
Weight: 347.6 or 355.5 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Living Room Furniture Sets,Upholstery Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Black/Off-White,,,,,,,,FM65001ES-2PC,157669,shopify,20,deny,manual,3807,,TRUE,FALSE,,,,,,FM65001ES-SF-1.jpg,1,,FALSE,ACAPULCO Sofa and Loveseat | GOODDEGG,"ACAPULCO Sofa and Loveseat Upholstery Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",FM65001ES-SF-1.jpg,lb,,1599,active
acapulco-sofa-and-loveseat,,,,,,,,,Off-White,,,,,,,,FM65001WH-2PC,161252,shopify,20,deny,manual,3807,,TRUE,FALSE,,,,,,FM65001WH-SF-1.jpg,2,,,,,FM65001WH-SF-1.jpg,lb,,1599,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-1.jpg,3,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-2.jpg,4,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-3.jpg,5,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-4.jpg,6,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-5.jpg,7,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-6.jpg,8,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-7.jpg,9,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-1.jpg,10,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-2.jpg,11,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-4.jpg,12,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-6.jpg,13,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-7.jpg,14,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-8.jpg,15,,,,,,,,,
acapulco-sofa-and-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-3.jpg,16,,,,,,,,,
