Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alecia-4-pc-bedroom-set,ALECIA 4 Pc. Bedroom Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ALECIA 4 Pc. Bedroom Set brings a restful, finished feel to the bedroom. This youth bedroom set is made to fit naturally into the room. A Transitional profile gives the space a refined, approachable look. Crafted with Solid Wood, then finished in White tones to suit a range of interiors.<br>
Product Dimensions: 80 1/2""L X 58 5/8""W X 54""H / 80 1/2""L X 43 5/8""W X 52""H<br>
Size: Full/Twin</p>

<p>Features<br>
- Bell-shape Design<br>
- Crown Molding<br>
- Faux Wood Carved Details<br>
- Nickel Hanging Pulls<br>
- Felt-lined Top Drawer<br>
- Foundation Required Included items and dimensions:<br>
- Nightstand w/ USB: color: White<br>
- Dresser: color: White</p>

<p>Materials: Solid Wood, Others.<br>
Color: White<br>
Weight: 330 or 305.8 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Twin,,,,,,,,CM7458WH-T-4PC,138709,shopify,20,deny,manual,2427,,TRUE,FALSE,,,,,,CM7458WH-1-Z.jpg,1,,FALSE,ALECIA 4 Pc. Bedroom Set | GOODDEGG,"ALECIA 4 Pc. Bedroom Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7458WH-1-Z.jpg,lb,,939,active
alecia-4-pc-bedroom-set,,,,,,,,,Full,,,,,,,,CM7458WH-F-4PC,149685,shopify,20,deny,manual,2577,,TRUE,FALSE,,,,,,CM7458WH-1-Z.jpg,2,,,,,CM7458WH-1-Z.jpg,lb,,989,
alecia-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7458WH-2.jpg,3,,,,,,,,,
alecia-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7458WH-3.jpg,4,,,,,,,,,
alecia-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7458WH-4.jpg,5,,,,,,,,,
alecia-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7458WH-5.jpg,6,,,,,,,,,
allie-4-pc-bedroom-set,ALLIE 4 Pc. Bedroom Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Create a calm, coordinated retreat with ALLIE 4 Pc. Bedroom Set. Designed as a youth bedroom set, it pairs easily with surrounding decor. Its Contemporary styling keeps the room feeling polished yet comfortable. Built from Fabric, Acrylic, Solid Wood, and finished in Pearl White tones for a clean, cohesive look.<br>
Size: Full/Twin</p>

<p>Features<br>
- Padded Headboard w/ Radial Pleats &amp; LED Light<br>
- English Dovetail Drawers &amp; Ball-bearing Glides<br>
- Felt-lined Top Drawers<br>
- Optional Convertible Trundle<br>
- Foundation Required Included items and dimensions:<br>
- Nightstand: color: Pearl White or Rose Gold<br>
- Dresser: color: Pearl White or Rose Gold</p>

<p>Materials: Fabric, Acrylic, Solid Wood, Others.<br>
Color: Pearl White or Rose Gold<br>
Weight: 439.56 or 442.2 or 415 or 413.22 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Full,,Color,Pearl White,,,,,CM7901F-4PC,199381,shopify,20,deny,manual,2667,,TRUE,FALSE,,,,,,CM7901-1-Z.jpg,1,,FALSE,ALLIE 4 Pc. Bedroom Set | GOODDEGG,"ALLIE 4 Pc. Bedroom Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7901-1-Z.jpg,lb,,1059,active
allie-4-pc-bedroom-set,,,,,,,,,Full,,,Rose Gold,,,,,CM7901RG-F-4PC,200579,shopify,20,deny,manual,2667,,TRUE,FALSE,,,,,,CM7901RG-1-Z.jpg,2,,,,,CM7901RG-1-Z.jpg,lb,,1059,
allie-4-pc-bedroom-set,,,,,,,,,Twin,,,Rose Gold,,,,,CM7901RG-T-4PC,188241,shopify,20,deny,manual,2577,,TRUE,FALSE,,,,,,CM7901RG-1-Z.jpg,3,,,,,CM7901RG-1-Z.jpg,lb,,959,
allie-4-pc-bedroom-set,,,,,,,,,Twin,,,Pearl White,,,,,CM7901T-4PC,187433,shopify,20,deny,manual,2577,,TRUE,FALSE,,,,,,CM7901-1-Z.jpg,4,,,,,CM7901-1-Z.jpg,lb,,999,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901-2.jpg,5,,,,,,,,,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901-3.jpg,6,,,,,,,,,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901-4.jpg,7,,,,,,,,,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-2.jpg,8,,,,,,,,,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-3.jpg,9,,,,,,,,,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-4.jpg,10,,,,,,,,,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-5.jpg,11,,,,,,,,,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-6.jpg,12,,,,,,,,,
allie-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-7.jpg,13,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,ALLIE 4 Pc. Bedroom Set w/ Trundle,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ALLIE 4 Pc. Bedroom Set w/ Trundle brings a restful, finished feel to the bedroom. This youth bedroom set is made to fit naturally into the room. A Contemporary profile gives the space a refined, approachable look. With Fabric, Acrylic, Solid Wood, construction and Pearl White tones, it blends durability with visual warmth.<br>
Size: Full/Twin</p>

<p>Features<br>
- Padded Headboard w/ Radial Pleats &amp; LED Light<br>
- English Dovetail Drawers &amp; Ball-bearing Glides<br>
- Felt-lined Top Drawers<br>
- Optional Convertible Trundle<br>
- Foundation Required Included items and dimensions:<br>
- Nightstand: color: Pearl White or Rose Gold<br>
- Dresser: color: Pearl White or Rose Gold<br>
- Trundle: color: Pearl White or Rose Gold</p>

<p>Materials: Fabric, Acrylic, Solid Wood, Others.<br>
Color: Pearl White or Rose Gold<br>
Weight: 506.76 or 510.2 or 483 or 480.42 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Full,,Color,Pearl White,,,,,CM7901F-4PC-TR,229862,shopify,20,deny,manual,2967,,TRUE,FALSE,,,,,,CM7901-1-Z.jpg,1,,FALSE,ALLIE 4 Pc. Bedroom Set w/ Trundle | GOODDEGG,"ALLIE 4 Pc. Bedroom Set w/ Trundle supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7901-1-Z.jpg,lb,,1159,active
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,Full,,,Rose Gold,,,,,CM7901RG-F-4PC-TR,231423,shopify,20,deny,manual,2967,,TRUE,FALSE,,,,,,CM7901RG-TR-1.jpg,2,,,,,CM7901RG-TR-1.jpg,lb,,1159,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,Twin,,,Rose Gold,,,,,CM7901RG-T-4PC-TR,219085,shopify,20,deny,manual,2877,,TRUE,FALSE,,,,,,CM7901RG-1-Z.jpg,3,,,,,CM7901RG-1-Z.jpg,lb,,1069,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,Twin,,,Pearl White,,,,,CM7901T-4PC-TR,217915,shopify,20,deny,manual,2877,,TRUE,FALSE,,,,,,CM7901-1-Z.jpg,4,,,,,CM7901-1-Z.jpg,lb,,1099,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901-2.jpg,5,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901-3.jpg,6,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901-4.jpg,7,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-5.jpg,8,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-2.jpg,9,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-3.jpg,10,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-4.jpg,11,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-6.jpg,12,,,,,,,,,
allie-4-pc-bedroom-set-w-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7901RG-7.jpg,13,,,,,,,,,
ariston-4-pc-bedroom-set,ARISTON 4 Pc. Bedroom Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ARISTON 4 Pc. Bedroom Set brings a restful, finished feel to the bedroom. This youth bedroom set is made to fit naturally into the room. A Contemporary profile gives the space a refined, approachable look. Built from Leatherette, Mirror, Solid Wood, Wood Veneer, and finished in Rose Gold tones for a clean, cohesive look.<br>
Product Dimensions: 82 1/4""L X 58""W X 54""H / 82 3/4""L X 59""W X 58""H / 88 1/4 ""L X 65""W X 58""H / 87 3/4""L X 65""W X 58""H / 82 1/4""L X 43""W X 54""H / 82 3/4""L X 43""W X 58""H<br>
Size: Full/Queen/Twin</p>

<p>Features<br>
- Padded Headboard<br>
- Button Tufted<br>
- Crystal-like Acrylic Buttons<br>
- Felt-lined Top Drawers<br>
- Foundation Required Included items and dimensions:<br>
- Nightstand: color: Rose Gold<br>
- Dresser: color: Rose Gold</p>

<p>Materials: Leatherette, Mirror, Solid Wood, Wood Veneer, Others.<br>
Color: Rose Gold<br>
Weight: 396.34 or 399.18 or 414.08 or 415.1 or 377.92 or 387.36 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Full,,,,,,,,CM7170RG-F-4PC,179777,shopify,20,deny,manual,2487,,TRUE,FALSE,,,,,,CM7170RG-Z.jpg,1,,FALSE,ARISTON 4 Pc. Bedroom Set | GOODDEGG,"ARISTON 4 Pc. Bedroom Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7170RG-Z.jpg,lb,,1039,active
ariston-4-pc-bedroom-set,,,,,,,,,Full,,,,,,,,CM7171RG-F-4PC,181065,shopify,20,deny,manual,2487,,TRUE,FALSE,,,,,,CM7171RG-1.jpg,2,,,,,CM7171RG-1.jpg,lb,,1039,
ariston-4-pc-bedroom-set,,,,,,,,,Queen,,,,,,,,CM7170RG-Q-4PC,187824,shopify,20,deny,manual,2547,,TRUE,FALSE,,,,,,CM7170RG-Z.jpg,3,,,,,CM7170RG-Z.jpg,lb,,1049,
ariston-4-pc-bedroom-set,,,,,,,,,Queen,,,,,,,,CM7171RG-Q-4PC,188286,shopify,20,deny,manual,2547,,TRUE,FALSE,,,,,,CM7171RG-1.jpg,4,,,,,CM7171RG-1.jpg,lb,,1049,
ariston-4-pc-bedroom-set,,,,,,,,,Twin,,,,,,,,CM7170RG-T-4PC,171422,shopify,20,deny,manual,2427,,TRUE,FALSE,,,,,,CM7170RG-Z.jpg,5,,,,,CM7170RG-Z.jpg,lb,,999,
ariston-4-pc-bedroom-set,,,,,,,,,Twin,,,,,,,,CM7171RG-T-4PC,175704,shopify,20,deny,manual,2427,,TRUE,FALSE,,,,,,CM7171RG-1.jpg,6,,,,,CM7171RG-1.jpg,lb,,999,
ariston-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7170RG-2.jpg,7,,,,,,,,,
ariston-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7170RG-3.jpg,8,,,,,,,,,
ariston-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7170RG-4.jpg,9,,,,,,,,,
ariston-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7170RG-1.jpg,10,,,,,,,,,
belva-4-pc-bedroom-set,BELVA 4 Pc. Bedroom Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
BELVA 4 Pc. Bedroom Set completes the bedroom with a relaxed, pulled-together look. As a youth bedroom set, it is designed to coordinate with matching pieces. The Traditional character adds definition without feeling heavy. Finished in White tones, the Leatherette, Solid Wood, build keeps the look polished and practical.<br>
Product Dimensions: 82""L X 58""W X 57 7/8""H / 82""L X 43""W X 56""H<br>
Size: Full/Twin</p>

<p>Features<br>
- Traditional<br>
- Button Tufted Headboard w/ Nailhead Trim<br>
- Elegant Molding &amp; Trim Accents<br>
- Turned Legs &amp; Acrylic Finials<br>
- Crystal-like Acrylic Buttons<br>
- USB Charger in Night Stand<br>
- Felt-lined Top Drawers<br>
- Foundation Required Included items and dimensions:<br>
- Nightstand w/ USB: color: White<br>
- Dresser: color: White</p>

<p>Materials: Leatherette, Solid Wood, Others.<br>
Color: White<br>
Weight: 374 or 356.4 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Twin,,,,,,,,CM7174T-4PC,161660,shopify,20,deny,manual,2097,,TRUE,FALSE,,,,,,CM7174-1-Z.jpg,1,,FALSE,BELVA 4 Pc. Bedroom Set | GOODDEGG,"BELVA 4 Pc. Bedroom Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7174-1-Z.jpg,lb,,859,active
belva-4-pc-bedroom-set,,,,,,,,,Full,,,,,,,,CM7174F-4PC,169644,shopify,20,deny,manual,2277,,TRUE,FALSE,,,,,,CM7174-1-Z.jpg,2,,,,,CM7174-1-Z.jpg,lb,,959,
belva-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7174-2.jpg,3,,,,,,,,,
belva-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7174-3.jpg,4,,,,,,,,,
belva-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7174-5.jpg,5,,,,,,,,,
