Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alycia-7-pc-patio-dining-set,ALYCIA 7 Pc. Patio Dining Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Gather around ALYCIA 7 Pc. Patio Dining Set, designed to keep the dining space warm, balanced, and inviting. Designed as a outdoor dining set, it pairs easily with surrounding decor. Its Transitional styling keeps the room feeling polished yet comfortable. Finished in White or Beige or Gray tones, the Aluminum, Polyester Canvas, Glass, build keeps the look polished and practical.</p>

<p>Features<br>
- White or Beige or Gray<br>
- Aluminum Construction<br>
- 5mm Tempered Glass Table Included items and dimensions:<br>
- Arm Chair w/ Cushion (6 or CTN): color: White or Beige or Gray; dimensions: 22 3 or 8"" W x 27""D x 33 1 or 2-35 1 or 2"" H; feature: Transitional</p>

<p>Materials: Aluminum, Polyester Canvas, Glass.<br>
Color: White or Beige or Gray<br>
Weight: 217.82 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Set,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026",TRUE,Color,White/Beige/Gray,,,,,,,,CM-OT2141T-7PC,98801,shopify,20,deny,manual,2247,,TRUE,FALSE,,,,,,CM-OT2141-1.jpg,1,,FALSE,ALYCIA 7 Pc. Patio Dining Set | GOODDEGG,"ALYCIA 7 Pc. Patio Dining Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM-OT2141-1.jpg,lb,,849,active
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-OT2141T-WB-1.jpg,2,,,,,,,,,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-OT2141SC-WB-1.jpg,3,,,,,,,,,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-OT2141-3.jpg,4,,,,,,,,,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-OT2141-4.jpg,5,,,,,,,,,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-OT2141-5.jpg,6,,,,,,,,,
antigua-4-pc-patio-set,ANTIGUA 4 Pc. Patio Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ANTIGUA 4 Pc. Patio Set is designed for everyday living, balancing comfort with a clean, finished look. Designed as a outdoor patio set, it pairs easily with surrounding decor. Its Contemporary styling keeps the room feeling polished yet comfortable. Built from Aluminum, Polyethylene Wicker, Polyspun and finished in Gun Metal or Brown or Gray tones for a clean, cohesive look.<br>
Product Dimensions: 63""L X 35 1/2""W X 17 3/4 - 27""H</p>

<p>Features<br>
- Gun Metal or Brown or Gray<br>
- Adjustable backrest with gas springs<br>
- Ottoman as footrest or extra seats<br>
- Adjustable table height<br>
- Padded headrest cushion<br>
- Washable cushion covers<br>
- Table includes umbrella hole and cap Included items and dimensions:<br>
- Adjustable Table Height: color: Gun Metal or Brown or Gray; dimensions: 63"" L x 35 1 or 2"" W x 17 3 or 4 - 27"" H; feature: Contemporary<br>
- Sofa: color: Gun Metal or Brown or Gray; dimensions: 76 3 or 4"" L x 34"" W x 43"" H; feature: Contemporary<br>
- Arm Chair: color: Gun Metal or Brown or Gray; dimensions: 25 1 or 2"" W x 29 1 or 2""D x 40 1 or 4"" H; feature: Contemporary</p>

<p>Materials: Aluminum, Polyethylene Wicker, Polyspun.<br>
Color: Gun Metal or Brown or Gray<br>
Weight: 174 lbs</p>",GOODDEGG,Furniture > Outdoor Furniture > Outdoor Furniture Sets,Patio Set,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026",TRUE,Color,Gun Metal/Brown/Gray,,,,,,,,GM-1003-4PC,78925,shopify,20,deny,manual,2877,,TRUE,FALSE,,,,,,GM-1003-1-Z.jpg,1,,FALSE,ANTIGUA 4 Pc. Patio Set | GOODDEGG,"ANTIGUA 4 Pc. Patio Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",GM-1003-1-Z.jpg,lb,,1129,active
antigua-4-pc-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-1003-WB-1.jpg,2,,,,,,,,,
antigua-6-pc-patio-set-w-2-ottomans,ANTIGUA 6 Pc. Patio Set w/ 2 Ottomans,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ANTIGUA 6 Pc. Patio Set w/ 2 Ottomans offers a pulled-together look that makes the room feel ready to use and enjoy. As a outdoor patio set, it is designed to coordinate with matching pieces. The Contemporary character adds definition without feeling heavy. Crafted with Aluminum, Polyethylene Wicker, Polyspun, then finished in Gun Metal or Brown or Gray tones to suit a range of interiors.<br>
Product Dimensions: 63""L X 35 1/2""W X 17 3/4 - 27""H</p>

<p>Features<br>
- Gun Metal or Brown or Gray<br>
- Adjustable backrest with gas springs<br>
- Ottoman as footrest or extra seats<br>
- Adjustable table height<br>
- Padded headrest cushion<br>
- Washable cushion covers<br>
- Table includes umbrella hole and cap Included items and dimensions:<br>
- Adjustable Table Height: color: Gun Metal or Brown or Gray; dimensions: 63"" L x 35 1 or 2"" W x 17 3 or 4 - 27"" H; feature: Contemporary<br>
- Sofa: color: Gun Metal or Brown or Gray; dimensions: 76 3 or 4"" L x 34"" W x 43"" H; feature: Contemporary<br>
- Arm Chair: color: Gun Metal or Brown or Gray; dimensions: 25 1 or 2"" W x 29 1 or 2""D x 40 1 or 4"" H; feature: Contemporary<br>
- Ottoman (2 / CTN): color: Gun Metal or Brown or Gray; dimensions: 17 3 or 4"" L x 17 3 or 4"" W x 16 1 or 4"" H; feature: Contemporary</p>

<p>Materials: Aluminum, Polyethylene Wicker, Polyspun.<br>
Color: Gun Metal or Brown or Gray<br>
Weight: 191.9 lbs</p>",GOODDEGG,Furniture > Outdoor Furniture > Outdoor Furniture Sets,Patio Set,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026",TRUE,Color,Gun Metal/Brown/Gray,,,,,,,,GM-1003-6PC,87044,shopify,20,deny,manual,3297,,TRUE,FALSE,,,,,,GM-1003-6PC.jpg,1,,FALSE,ANTIGUA 6 Pc. Patio Set w/ 2 Ottomans | GOODDEGG,"ANTIGUA 6 Pc. Patio Set w/ 2 Ottomans supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",GM-1003-6PC.jpg,lb,,1299,active
antigua-6-pc-patio-set-w-2-ottomans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-1003-WB-1.jpg,2,,,,,,,,,
arosa-3-pc-fire-pit-counter-height-set,AROSA 3 Pc. Fire Pit Counter Height Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AROSA 3 Pc. Fire Pit Counter Height Set creates a cohesive setup that feels inviting the moment you walk in. This outdoor patio set is made to fit naturally into the room. A Contemporary profile gives the space a refined, approachable look. With Steel, Ceramic Tile, Polyrattan, Polyspun Fabric construction and Black or Gray tones, it blends durability with visual warmth.<br>
Product Dimensions: Table: 36.4""L X 36.4""W X 36.6""H, Chair: 25.1""W X 26.3""D X 44.8""H</p>

<p>Features<br>
- Black or Gray<br>
- 360-Degree Swivel Seats<br>
- Tile Top Firepit Tabletop<br>
- Mixed Material Construction<br>
- Powder Coated Steel Frame<br>
- Easy To Assemble Included items and dimensions:<br>
- Fire Pit Counter Height Table: color: Black or Gray; dimensions: 36.5"" W x 36.5""D x 36.5"" H; feature: Contemporary<br>
- Swivel Counter Height Arm Chair (2 / CTN): color: Black or Gray; dimensions: 25"" W x 26""D x 45"" H; feature: Contemporary</p>

<p>Materials: Steel, Ceramic Tile, Polyrattan, Polyspun Fabric.<br>
Color: Black or Gray<br>
Weight: 154 lbs</p>",GOODDEGG,Furniture > Outdoor Furniture > Outdoor Furniture Sets,Patio Set,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026",TRUE,Color,Black/Gray,,,,,,,,GM-2024-3PC,69853,shopify,20,deny,manual,1707,,TRUE,FALSE,,,,,,GM-2024-3PC.jpg,1,,FALSE,AROSA 3 Pc. Fire Pit Counter Height Set | GOODDEGG,"Patio Set AROSA 3 Pc. Fire Pit Counter Height supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",GM-2024-3PC.jpg,lb,,649,active
arosa-3-pc-fire-pit-counter-height-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2024-3PC-WB-1.jpg,2,,,,,,,,,
arosa-3-pc-fire-pit-counter-height-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2024-WB-1.jpg,3,,,,,,,,,
barbuda-6-pc-conversation-set-w-fire-pit,BARBUDA 6 Pc. Conversation Set w/ Fire Pit,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
BARBUDA 6 Pc. Conversation Set w/ Fire Pit is designed for everyday living, balancing comfort with a clean, finished look. This outdoor patio set is made to fit naturally into the room. A Contemporary profile gives the space a refined, approachable look. Built from Steel, Polyrattan, Polyspun Fabric and finished in Gray tones for a clean, cohesive look.<br>
Product Dimensions: Fire Pit Table: 39""DIA X 27""H, Semi-circle Sectional: 64""W X 29""D X 33.5""H, End Table: 21""W X 28.5""D X 24""H</p>

<p>Features<br>
- Modular Design<br>
- Tile Top Firepit Tabletop<br>
- FSC Certified Teak Wood<br>
- Mixed Material Construction<br>
- Powder Coated Steel Frame<br>
- Washable Cushion Covers Included items and dimensions:<br>
- Fire Pit Table: color: Gray; dimensions: 39"" DIA x 27.2"" H; feature: Contemporary<br>
- 5 Pc. Sectional Sofa w/ 2 End Tables: color: Gray or Natural; dimensions: Sofa: 64.25"" W x 29""D x 33.5"" H, End Table: 21.25"" L x 28.7"" W x 24"" H; feature: Contemporary</p>

<p>Materials: Steel, Polyrattan, Polyspun Fabric.<br>
Color: Gray<br>
Weight: 322.87 lbs</p>",GOODDEGG,Furniture > Outdoor Furniture > Outdoor Furniture Sets,Patio Set,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026",TRUE,Color,Gray,,,,,,,,GM-1045-6PC,146451,shopify,20,deny,manual,4497,,TRUE,FALSE,,,,,,GM-1045-6PC-1.jpg,1,,FALSE,BARBUDA 6 Pc. Conversation Set w/ Fire Pit | GOODDEGG,"Patio Set BARBUDA 6 Pc. Conversation Set w/ supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",GM-1045-6PC-1.jpg,lb,,1749,active
