Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aalok-4-pc-bedroom-set,AALOK 4 Pc. Bedroom Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AALOK 4 Pc. Bedroom Set completes the bedroom with a relaxed, pulled-together look. As a bedroom bedroom set, it is designed to coordinate with matching pieces. The Glam character adds definition without feeling heavy. Crafted with Velvet-like Fabric, Solid Wood, Wood Veneer, then finished in Silver or Warm Gray tones to suit a range of interiors.<br>
Size: Queen</p>

<p>Features<br>
- Silver or Warm Gray<br>
- Padded H or B & F or B w/ Pleated Design<br>
- Cabriole Legs<br>
- USB Charger on Night Stand<br>
- Felt-lined Top Drawer<br>
- Hidden Drawer in Dresser<br>
- Foundation Required Included items and dimensions:<br>
- Nightstand w/ USB: color: Silver; dimensions: 33 3 or 8"" W x 17""D x 27 3 or 4"" H; feature: Glam<br>
- Dresser: color: Silver; dimensions: 62"" W x 17""D x 40"" H; feature: Glam</p>

<p>Materials: Velvet-like Fabric, Solid Wood, Wood Veneer.<br>
Color: Silver or Warm Gray<br>
Weight: 528 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Queen,,,,,,,,CM7864Q-4PC,239497,shopify,20,deny,manual,2877,,TRUE,FALSE,,,,,,CM7864-1-Z.jpg,1,,FALSE,AALOK 4 Pc. Bedroom Set | GOODDEGG,"AALOK 4 Pc. Bedroom Set supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7864-1-Z.jpg,lb,,1119,active
aalok-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-2.jpg,2,,,,,,,,,
aalok-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-3.jpg,3,,,,,,,,,
aalok-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-4.jpg,4,,,,,,,,,
aalok-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-5.jpg,5,,,,,,,,,
aalok-4-pc-bedroom-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-6.jpg,6,,,,,,,,,
aalok-5-pc-bedroom-set-w-2ns,AALOK 5 Pc. Bedroom Set w/ 2NS,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AALOK 5 Pc. Bedroom Set w/ 2NS brings a restful, finished feel to the bedroom. This bedroom bedroom set is made to fit naturally into the room. A Glam profile gives the space a refined, approachable look. With Velvet-like Fabric, Solid Wood, Wood Veneer, construction and Silver or Warm Gray tones, it blends durability with visual warmth.<br>
Size: Queen</p>

<p>Features<br>
- Silver or Warm Gray<br>
- Padded H or B & F or B w/ Pleated Design<br>
- Cabriole Legs<br>
- USB Charger on Night Stand<br>
- Felt-lined Top Drawer<br>
- Hidden Drawer in Dresser<br>
- Foundation Required Included items and dimensions:<br>
- Nightstand w/ USB: color: Silver; dimensions: 33 3 or 8"" W x 17""D x 27 3 or 4"" H; feature: Glam<br>
- Dresser: color: Silver; dimensions: 62"" W x 17""D x 40"" H; feature: Glam</p>

<p>Materials: Velvet-like Fabric, Solid Wood, Wood Veneer.<br>
Color: Silver or Warm Gray<br>
Weight: 602.8 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Size,Queen,,,,,,,,CM7864Q-5PC-2NS,273425,shopify,20,deny,manual,3327,,TRUE,FALSE,,,,,,CM7864-1-Z.jpg,1,,FALSE,AALOK 5 Pc. Bedroom Set w/ 2NS | GOODDEGG,"AALOK 5 Pc. Bedroom Set w/ 2NS supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",CM7864-1-Z.jpg,lb,,1289,active
aalok-5-pc-bedroom-set-w-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-2.jpg,2,,,,,,,,,
aalok-5-pc-bedroom-set-w-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-3.jpg,3,,,,,,,,,
aalok-5-pc-bedroom-set-w-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-4.jpg,4,,,,,,,,,
aalok-5-pc-bedroom-set-w-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-5.jpg,5,,,,,,,,,
aalok-5-pc-bedroom-set-w-2ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM7864-6.jpg,6,,,,,,,,,
