Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
arth-2pc-accent-set-chair-and-side-table,ARTH 2Pc Accent Set (Chair and Side Table),"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ARTH 2Pc Accent Set (Chair and Side Table) shapes a comfortable living space with an easy, coordinated presence. This living accent set is made to fit naturally into the room. A Mid-Century Modern profile gives the space a refined, approachable look. Crafted with Fabric, Solid Wood, Engineered Wood, Wood Veneer, then finished in Walnut tones to suit a range of interiors.<br>
Product Dimensions: TABLE: 22.8""L X 29.1""W X 29.1""H, CHAIR: 23.6""L X 23.6""W X 19.7""H</p>

<p>Features<br>
- Wingback Chair Included items and dimensions:<br>
- Side Table: color: Walnut; dimensions: 23.5"" W x 23.5""D x 19.5"" H; feature: Mid-Century Modern<br>
- Accent Chair: color: Walnut or Beige; dimensions: 23"" W x 29""D x 29"" H; feature: Mid-Century Modern</p>

<p>Materials: Fabric, Solid Wood, Engineered Wood, Wood Veneer.<br>
Color: Walnut<br>
Weight: 39.6 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Living Room Furniture Sets,Accent Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Walnut,,,,,,,,FM-AC200WN-SET,17962,shopify,20,deny,manual,414,,TRUE,FALSE,,,,,,FM-AC200WN-SET-1.jpg,1,,FALSE,ARTH 2Pc Accent Set (Chair and Side Table) | GOODDEGG,"ARTH 2Pc Accent Set (Chair and Side Table) supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",FM-AC200WN-SET-1.jpg,lb,,189,active
arth-2pc-accent-set-chair-and-side-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM-AC200WN-2.jpg,2,,,,,,,,,
spiez-2pc-accent-set-chair-and-side-table,SPIEZ 2Pc Accent Set (Chair and Side Table),"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
SPIEZ 2Pc Accent Set (Chair and Side Table) ties the living space together with a balanced, inviting feel. As a living accent set, it is designed to coordinate with matching pieces. The Mid-Century Modern character adds definition without feeling heavy. Finished in Walnut tones, the Fabric, Solid Wood, Engineered Wood, Wood Veneer build keeps the look polished and practical.<br>
Product Dimensions: TABLE: 19.7""L X 19.7""W X 19.7""H, CHAIR: 24.4""L X 26.8""W X 28.3""H</p>

<p>Features<br>
- Wingback Chair Included items and dimensions:<br>
- Side Table: color: Walnut; dimensions: 19.5"" W x 19.5""D x 19.5"" H; feature: Mid-Century Modern<br>
- Accent Chair: color: Walnut or Beige; dimensions: 24.5"" W x 27""D x 28"" H; feature: Mid-Century Modern</p>

<p>Materials: Fabric, Solid Wood, Engineered Wood, Wood Veneer.<br>
Color: Walnut<br>
Weight: 33 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Living Room Furniture Sets,Accent Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Walnut,,,,,,,,FM-AC203WN-SET,14969,shopify,20,deny,manual,354,,TRUE,FALSE,,,,,,FM-AC203WN-1.jpg,1,,FALSE,SPIEZ 2Pc Accent Set (Chair and Side Table) | GOODDEGG,"SPIEZ 2Pc Accent Set (Chair and Side Table) supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",FM-AC203WN-1.jpg,lb,,189,active
spiez-2pc-accent-set-chair-and-side-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM-AC203WN-SET-1.jpg,2,,,,,,,,,
bromoak-entertainment-center,BROMOAK Entertainment Center,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
BROMOAK Entertainment Center ties the living space together with a balanced, inviting feel. As a living tv console, it is designed to coordinate with matching pieces. The Traditional character adds definition without feeling heavy. Crafted with Solid Wood, Wood Veneer, then finished in Weathered Oak tones to suit a range of interiors.<br>
Product Dimensions: 130""W X 23.5""D X 90""H</p>

<p>Features<br>
- Traditional<br>
- Dentil Moldings<br>
- Reeded Posts<br>
- Carved Details Included items and dimensions:<br>
- Left Facing Unit Base: color: Weathered Oak; dimensions: 27.75"" L x 21.75"" W x 34"" H; feature: Traditional<br>
- Left Facing Unit Top: color: Weathered Oak; dimensions: 32"" L x 23"" W x 56"" H; feature: Traditional<br>
- Right Facing Unit Base: color: Weathered Oak; dimensions: 27.75"" L x 21.75"" W x 34"" H; feature: Traditional<br>
- Right Facing Unit Top: color: Weathered Oak; dimensions: 32"" L x 23"" W x 56"" H; feature: Traditional<br>
- Console Base: color: Weathered Oak; dimensions: 66"" L x 23.75"" W x 38"" H; feature: Traditional</p>

<p>Materials: Solid Wood, Wood Veneer.<br>
Color: Weathered Oak<br>
Weight: 669.58 lbs</p>",GOODDEGG,Furniture > Entertainment Centers & TV Stands,TV Console,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Weathered Oak,,,,,,,,FM5418AK-TV-SET,303716,shopify,20,deny,manual,4947,,TRUE,FALSE,,,,,,FM5418AK-TV-1-Z.jpg,1,,FALSE,BROMOAK Entertainment Center | GOODDEGG,"BROMOAK Entertainment Center TV Console supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",FM5418AK-TV-1-Z.jpg,lb,,2199,active
bromoak-entertainment-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM5418AK-TV-2.jpg,2,,,,,,,,,
bromoak-entertainment-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM5418AK-TV-3.jpg,3,,,,,,,,,
bromoak-entertainment-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM5418AK-TV-4.jpg,4,,,,,,,,,
bromoak-entertainment-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM5418AK-TV-5.jpg,5,,,,,,,,,
bromoak-entertainment-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM5418AK-TV-6.jpg,6,,,,,,,,,
