Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Weight (LB),Volume (CUFT),Product Dimension (Inch),Color
aberporth-sofa-and-loveseat-upholstery-set,Furniture of America - ABERPORTH Sofa and Loveseat Upholstery Set (SM5406-2PC),"<p><span style=""color:Gray""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>
ABERPORTH Sofa and Loveseat is designed for everyday living, balancing comfort with a clean, finished look. As a upholstery upholstery set, it is designed to coordinate with matching pieces. The Transitional character adds definition without feeling heavy. Built from Linen-like, Solid Wood, and finished in Gray tones for a clean, cohesive look.</p>

<p>Features<br>
- Lawson Design<br>
- Box Seat Cushion<br>
- Loose Pillow Back<br>
- Rolled Arms<br>
- Tapered Plastic Legs<br>
- Pillows Included Included items and dimensions:<br>
- Sofa: color: Gray<br>
- Loveseat: color: Gray</p>

<p>Materials: Linen-like, Solid Wood.<br>
Color: Gray<br>
Weight: 234 lbs<br>
Volume : 131.2 CUFT</p><br>SKU : SM5406-2PC",Furniture of America,Furniture > Furniture Sets > Living Room Furniture Sets,Upholstery Set,"2026, ABERPORTH, Furniture of America, Indoor Furniture, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, Upholstery, Upholstery Set, LTL",true,Title,Default Title,,,,,,,,SM5406-2PC,106140.977453896,shopify,20,deny,manual,1941,2997.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/SM5406-1-Z_06abd43c-972d-4f12-9371-957ffad1f1a8.jpg?v=1773786214,1,aberporth-sofa-and-loveseat-upholstery-set,false,ABERPORTH Sofa and Loveseat Upholstery Set,"Shop ABERPORTH Sofa and Loveseat Upholstery Set. Transitional style. Linen-like, Solid Wood build. Color: Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/SM5406-1-Z_06abd43c-972d-4f12-9371-957ffad1f1a8.jpg?v=1773786214,lb,,999.00,Active,234,131.2,,Gray
acapulco-sofa-and-loveseat-upholstery-set,Furniture of America - ACAPULCO Sofa and Loveseat Upholstery Set (FM65001ES-2PC),"<p><span style=""color:Black/Off-White""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>
Elevate your space with ACAPULCO, styled in Traditional and designed for everyday comfort.<br>
This upholstery upholstery set is made to fit naturally into the room. With Fabric, Solid Wood, Others and Black/Off-White or Off-White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Sofa: 84.5""L X 42""W X 48.5""H<br>
Size: Varies by variant</p>

<p>Features<br>
- Fabric<br>
- Solid Wood<br>
- Others<br>
- Diamond Tufted Back<br>
- Crown Molding<br>
- Carved Details<br>
- Cabriole Style Legs<br>
- Box Seat Cushion w/ Welt<br>
- Wing Back Design<br>
- Accent Pillow Included<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black/Off-White| Dimensions: Sofa: 84.5""L X 42""W X 48.5""H | Weight: 347.6 lbs | Volume: 94.3 cuft</strong><br>
- <strong>Size: - | Color: Black/Off-White| Dimensions: Sofa: 84.5""L X 42""W X 48.5""H | Weight: 355.5 lbs | Volume: 95 cuft</strong><br>
</p>

<p>Materials: Fabric, Solid Wood, Others.<br>
Color: Black/Off-White<br>
Weight: 347.6 - 355.5 lbs<br>
Volume : 94.3 CUFT</p><br>SKU : FM65001ES-2PC",Furniture of America,Furniture > Furniture Sets > Living Room Furniture Sets,Upholstery Set,"2026, ACAPULCO, Furniture of America, Indoor Furniture, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, Upholstery, Upholstery Set, LTL",true,Color,Black/Off-White,,,,,,,,FM65001ES-2PC,157668.979967422,shopify,20,deny,manual,3101,3807.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-SF-1_1a215046-d1c0-407d-bff0-85c16f1d11d8.jpg?v=1773786216,1,acapulco-sofa-and-loveseat-upholstery-set,false,ACAPULCO Sofa and Loveseat Upholstery Set,"Shop ACAPULCO Sofa and Loveseat Upholstery Set. Traditional style. Fabric, Solid Wood build. Multiple colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-SF-1_1a215046-d1c0-407d-bff0-85c16f1d11d8.jpg?v=1773786216,lb,,1599.00,Active,347.6,94.3,"Sofa: 84.5""L X 42""W X 48.5""H",Black/Off-White
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,Off-White,,,,,,,,FM65001WH-2PC,161251.996816526,shopify,20,deny,manual,3108,3807.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-1_60cf4e0e-6525-4235-93b3-061e590987bb.jpg?v=1773786216,2,acapulco-sofa-and-loveseat-upholstery-set,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001WH-SF-1_ef3e9353-d882-4e27-bc02-e85827afbcf3.jpg?v=1773786216,lb,,1599.00,Active,355.5,95,"Sofa: 84.5""L X 42""W X 48.5""H",Off-White
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-2_026fea0e-7ec7-44ae-b867-73040998cc1e.jpg?v=1773786216,3,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,Active,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-3_206a39ca-8794-463b-94dc-a2508c72b821.jpg?v=1773786216,4,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,Active,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-4_49d7d239-f7f8-4711-be70-7a37e1527fdc.jpg?v=1773786216,5,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,Active,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-5_2c0f184f-158d-499b-8886-67655c460255.jpg?v=1773786216,6,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,Active,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-6_dc81d1d2-8539-4059-8e0e-dc23865b42e2.jpg?v=1773786216,7,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,Active,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-7_483f9e59-fd29-465a-bc95-df3bd6f81b2c.jpg?v=1773786216,8,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,Active,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001WH-SF-1_ef3e9353-d882-4e27-bc02-e85827afbcf3.jpg?v=1773786216,9,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,Active,,,,
