"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status","Upload Status"
"orkdal-sofa-table","ORKDAL Sofa Table","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ORKDAL Sofa Table brings a Transitional look to your home with a refined, comfortable feel. This living table is made to fit naturally into the room. The Wood Veneer, construction is complemented by Walnut tones for a polished look.<br>
Product Dimensions: 49""W X 23.5""D X 31""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Wood Veneer.<br>
Color: Walnut<br>
Weight: 44 lbs</p>","GOODDEGG","","Table","2026, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, ORKDAL, Quick Ship Furniture, Table","true","Title","Default Title","","","","","","","","FM40001BR-S","19958.018920763","shopify","20","deny","manual","357.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-S-1.jpg?v=1773920444","1","orkdal-sofa-table","false","ORKDAL Sofa Table","Shop ORKDAL Sofa Table. Transitional style. Wood Veneer, Others build. Color: Walnut. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-S-1.jpg?v=1773920444","lb","","119.00","active",""
"orkdal-sofa-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-1-Z_dbacbe30-055a-42d8-823f-48a694deb9ed.jpg?v=1773920444","2","orkdal-sofa-table","","","","","","","","active",""
"orkdal-sofa-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-S-2.jpg?v=1773920445","3","orkdal-sofa-table","","","","","","","","active",""
"orkdal-end-table","ORKDAL End Table","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with ORKDAL End Table and its Transitional character. As a living table, it is designed to complement your space. Finished in Walnut tones, the Wood Veneer, build balances durability with visual appeal.<br>
Product Dimensions: 31""W X 27""D X 24""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Wood Veneer.<br>
Color: Walnut<br>
Weight: 31.9 lbs</p>","GOODDEGG","","Table","2026, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, ORKDAL, Quick Ship Furniture, Table","true","Title","Default Title","","","","","","","","FM40001BR-E","14470.004836133","shopify","20","deny","manual","237.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-E-1.jpg?v=1773920443","1","orkdal-end-table","false","ORKDAL End Table","Shop ORKDAL End Table. Transitional style. Wood Veneer, Others build. Color: Walnut. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-E-1.jpg?v=1773920443","lb","","79.00","active",""
"orkdal-end-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-1-Z_a1a6bbb2-b00e-4f76-a7ae-8689d1522bfb.jpg?v=1773920443","2","orkdal-end-table","","","","","","","","active",""
"orkdal-end-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-E-2.jpg?v=1773920443","3","orkdal-end-table","","","","","","","","active",""
"orkdal-coffee-table","ORKDAL Coffee Table","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ORKDAL Coffee Table adds a Transitional touch while keeping the room feeling warm and welcoming. Built as a living table, it pairs well with a wide range of interiors. Crafted from Wood Veneer, it is finished in Walnut tones that pair easily with surrounding decor.<br>
Product Dimensions: 49""W X 32""D X 18""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Wood Veneer.<br>
Color: Walnut<br>
Weight: 55 lbs</p>","GOODDEGG","","Table","2026, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, ORKDAL, Quick Ship Furniture, Table","true","Title","Default Title","","","","","","","","FM40001BR-C","24947.988583133","shopify","20","deny","manual","327.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-C-1.jpg?v=1773920443","1","orkdal-coffee-table","false","ORKDAL Coffee Table","Shop ORKDAL Coffee Table. Transitional style. Wood Veneer, Others build. Color: Walnut. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-C-1.jpg?v=1773920443","lb","","109.00","active",""
"orkdal-coffee-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-1-Z.jpg?v=1773920443","2","orkdal-coffee-table","","","","","","","","active",""
"orkdal-coffee-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-C-2.jpg?v=1773920443","3","orkdal-coffee-table","","","","","","","","active",""
"orkdal-coffee-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-C-3.jpg?v=1773920443","4","orkdal-coffee-table","","","","","","","","active",""
"orkdal-coffee-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM40001BR-C-4_e086ec4f-2c31-4715-9a1f-20768cf24ff8.jpg?v=1773920442","5","orkdal-coffee-table","","","","","","","","active",""
