"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"alecia-4-pc-bedroom-set","ALECIA 4 Pc. Bedroom Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALECIA, styled in Transitional and designed for everyday comfort.<br>
This youth bedroom set is made to fit naturally into the room. With Solid Wood, Others and White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Twin, Full</p>

<p>Features<br>
- Solid Wood<br>
- Others<br>
- Bell-shape Design<br>
- Crown Molding<br>
- Faux Wood Carved Details<br>
- Nickel Hanging Pulls<br>
- Felt-lined Top Drawer<br>
- Mirror on Armoire<br>
- Foundation Required<br>
<strong>Variant Details</strong><br>
- <strong>Size: Twin | Color: White | Dimensions: 80 1/2""L X 43 5/8""W X 52""H | Weight: 305.8 lbs | Volume: 47.5 cuft</strong><br>
- <strong>Size: Full | Color: White | Dimensions: 80 1/2""L X 58 5/8""W X 54""H | Weight: 330 lbs | Volume: 50.2 cuft</strong><br>
</p>

<p>Materials: Solid Wood, Others.<br>
Color: White<br>
Weight: 305.8 - 330 lbs</p>","GOODDEGG","","Bedroom Set","2026, ALECIA, BEDROOM FURNITURE, Bedroom Set, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth","true","Size","Twin","","","","","","","","CM7458WH-T-4PC","138709.00033837","shopify","20","deny","manual","2427.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7458WH-1-Z_cfe46747-9b50-4296-bad7-db17fb8776e5.jpg?v=1773952018","1","alecia-4-pc-bedroom-set","false","ALECIA 4 Pc. Bedroom Set","Shop ALECIA 4 Pc. Bedroom Set. Transitional style. Solid Wood, Others build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7458WH-1-Z_cfe46747-9b50-4296-bad7-db17fb8776e5.jpg?v=1773952018","lb","","939.00","draft"
"alecia-4-pc-bedroom-set","","","","","","","","","Full","","","","","","","","CM7458WH-F-4PC","149684.983148393","shopify","20","deny","manual","2577.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7458WH-2_7acf5769-d72c-407e-b954-c405a060d523.jpg?v=1773952018","2","alecia-4-pc-bedroom-set","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7458WH-1-Z_cfe46747-9b50-4296-bad7-db17fb8776e5.jpg?v=1773952018","lb","","989.00",""
"alecia-4-pc-bedroom-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7458WH-3_d673bb54-07c4-4859-94e7-8e056e06fcd1.jpg?v=1773952018","3","alecia-4-pc-bedroom-set","","","","","","","",""
"alecia-4-pc-bedroom-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7458WH-4_f0b48754-f8ba-462b-af10-9d3f3fc5bbdf.jpg?v=1773952018","4","alecia-4-pc-bedroom-set","","","","","","","",""
"alecia-4-pc-bedroom-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7458WH-5_8fd80c4a-7d57-4e4f-bac6-7fc13ce19fc3.jpg?v=1773952018","5","alecia-4-pc-bedroom-set","","","","","","","",""
"allie-4-pc-bedroom-set","ALLIE 4 Pc. Bedroom Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALLIE, styled in Contemporary and designed for everyday comfort.<br>
This youth bedroom set is made to fit naturally into the room. With Fabric, Acrylic, Solid Wood, Others and Pearl White or Rose Gold tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Full, Twin</p>

<p>Features<br>
- Fabric<br>
- Acrylic<br>
- Solid Wood<br>
- Others<br>
- Padded Headboard w/Radial Pleats &amp; LED Light<br>
- Acrylic &amp; Mirror Accents<br>
- Mirror w/ LED Light<br>
- English Dovetail Drawers &amp; Ball-bearing Glides<br>
- Felt-lined Top Drawers<br>
- Optional Convertible Trundle<br>
- Foundation Required<br>
<strong>Variant Details</strong><br>
- <strong>Size: Full | Color: Pearl White | Dimensions: - | Weight: 439.56 lbs | Volume: 45.9 cuft</strong><br>
- <strong>Size: Full | Color: Rose Gold | Dimensions: 80 1/2""L X 58""W X 54""H | Weight: 442.2 lbs | Volume: 46.8 cuft</strong><br>
- <strong>Size: Twin | Color: Rose Gold | Dimensions: 80 1/2""L X 41 3/4""W X 54""H | Weight: 415 lbs | Volume: 44.4 cuft</strong><br>
- <strong>Size: Twin | Color: Pearl White | Dimensions: - | Weight: 413.22 lbs | Volume: 42.9 cuft</strong><br>
</p>

<p>Materials: Fabric, Acrylic, Solid Wood, Others.<br>
Color: Pearl White or Rose Gold<br>
Weight: 413.22 - 442.2 lbs</p>","GOODDEGG","","Bedroom Set","2026, ALLIE, BEDROOM FURNITURE, Bedroom Set, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth","true","SKU","CM7901F-4PC","","","","","","","","CM7901F-4PC","199381.016797963","shopify","20","deny","manual","2667.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901-1-Z_48404a8f-e8c0-4e39-93f3-8c838435a79c.jpg?v=1773952021","1","allie-4-pc-bedroom-set","false","ALLIE 4 Pc. Bedroom Set","Shop ALLIE 4 Pc. Bedroom Set. Contemporary style. Fabric, Acrylic build. Multiple sizes and colors available. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901-1-Z_48404a8f-e8c0-4e39-93f3-8c838435a79c.jpg?v=1773952021","lb","","1059.00","draft"
"allie-4-pc-bedroom-set","","","","","","","","","CM7901RG-F-4PC","","","","","","","","CM7901RG-F-4PC","200578.99960637","shopify","20","deny","manual","2667.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901-2_eb32ef0b-a619-477d-8f94-b0e6d655be58.jpg?v=1773952021","2","allie-4-pc-bedroom-set","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901RG-1-Z_1e50cf60-6455-4209-b63a-9f2a7d329aa8.jpg?v=1773952021","lb","","1059.00",""
"allie-4-pc-bedroom-set","","","","","","","","","CM7901RG-T-4PC","","","","","","","","CM7901RG-T-4PC","188241.014986948","shopify","20","deny","manual","2577.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901-3_c0e081e7-17b9-40b9-9226-a6b6306fc9ab.jpg?v=1773952021","3","allie-4-pc-bedroom-set","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901RG-1-Z_1e50cf60-6455-4209-b63a-9f2a7d329aa8.jpg?v=1773952021","lb","","959.00",""
"allie-4-pc-bedroom-set","","","","","","","","","CM7901T-4PC","","","","","","","","CM7901T-4PC","187432.98553903","shopify","20","deny","manual","2577.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901-4_38f4de35-82c0-4daa-8a4c-bab79ba643b3.jpg?v=1773952021","4","allie-4-pc-bedroom-set","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901-1-Z_48404a8f-e8c0-4e39-93f3-8c838435a79c.jpg?v=1773952021","lb","","999.00",""
"allie-4-pc-bedroom-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7901RG-1-Z_1e50cf60-6455-4209-b63a-9f2a7d329aa8.jpg?v=1773952021","5","allie-4-pc-bedroom-set","","","","","","","",""
