Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Weight (LB),Volume (CUFT),Product Dimension (Inch)
alycia-7-pc-patio-dining-set,Furniture of America - ALYCIA 7 Pc. Patio Dining Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Gather around ALYCIA 7 Pc. Patio Dining Set, designed to keep the dining space warm, balanced, and inviting. Designed as a outdoor dining set, it pairs easily with surrounding decor. Its Transitional styling keeps the room feeling polished yet comfortable. Finished in White or Beige or Gray tones, the Aluminum, Polyester Canvas, Glass, build keeps the look polished and practical.</p>

<p>Features<br>
- White or Beige or Gray<br>
- Aluminum Construction<br>
- 5mm Tempered Glass Table Included items and dimensions:<br>
- Arm Chair w/ Cushion (6 or CTN): color: White or Beige or Gray; dimensions: 22 3 or 8"" W x 27""D x 33 1 or 2-35 1 or 2"" H; feature: Transitional</p>

<p>Materials: Aluminum, Polyester Canvas, Glass.<br>
Color: White or Beige or Gray<br>
Weight: 217.82 lbs</p>",GOODDEGG,,Dining Set,"2026, ALYCIA, DINING ROOM FURNITURE, Dining Set, Furniture of America, New Arrival, Outdoor, Outdoor Furniture, Quick Ship Furniture, LTL",true,Title,Default Title,,,,,,,,CM-OT2141T-7PC,98800.991081793,shopify,20,deny,manual,1055,2247.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OT2141-1_c13cea82-6c65-44da-8373-a79a0b1ac9e2.jpg?v=1773958126,1,alycia-7-pc-patio-dining-set,false,ALYCIA 7 Pc. Patio Dining Set,"Shop ALYCIA 7 Pc. Patio Dining Set. Transitional style. Aluminum, Polyester Canvas build. Color: White/Beige/Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OT2141-1_c13cea82-6c65-44da-8373-a79a0b1ac9e2.jpg?v=1773958126,lb,,849.00,Active,217.82,34.9,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OT2141T-WB-1_18ac2f7c-6c1d-41fa-9af7-2d11443dcad0.jpg?v=1773958126,2,alycia-7-pc-patio-dining-set,,,,,,,,Active,,,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OT2141SC-WB-1_5dbe4671-5db1-4790-a1b9-45d27a1f39cd.jpg?v=1773958126,3,alycia-7-pc-patio-dining-set,,,,,,,,Active,,,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OT2141-3_bc766d5e-0f04-4957-ae32-9c4aabb0c10f.jpg?v=1773958126,4,alycia-7-pc-patio-dining-set,,,,,,,,Active,,,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OT2141-4_f537b15c-c087-4274-a4c7-642264bac863.jpg?v=1773958125,5,alycia-7-pc-patio-dining-set,,,,,,,,Active,,,
alycia-7-pc-patio-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OT2141-5_2fb1f0a8-bef4-4504-884b-ebc632552969.jpg?v=1773958125,6,alycia-7-pc-patio-dining-set,,,,,,,,Active,,,
antigua-4-pc-patio-set,Furniture of America - ANTIGUA 4 Pc. Patio Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ANTIGUA 4 Pc. Patio Set is designed for everyday living, balancing comfort with a clean, finished look. Designed as a outdoor patio set, it pairs easily with surrounding decor. Its Contemporary styling keeps the room feeling polished yet comfortable. Built from Aluminum, Polyethylene Wicker, Polyspun and finished in Gun Metal or Brown or Gray tones for a clean, cohesive look.<br>
Product Dimensions: 63""L X 35 1/2""W X 17 3/4 - 27""H</p>

<p>Features<br>
- Gun Metal or Brown or Gray<br>
- Adjustable backrest with gas springs<br>
- Ottoman as footrest or extra seats<br>
- Adjustable table height<br>
- Padded headrest cushion<br>
- Washable cushion covers<br>
- Table includes umbrella hole and cap Included items and dimensions:<br>
- Adjustable Table Height: color: Gun Metal or Brown or Gray; dimensions: 63"" L x 35 1 or 2"" W x 17 3 or 4 - 27"" H; feature: Contemporary<br>
- Sofa: color: Gun Metal or Brown or Gray; dimensions: 76 3 or 4"" L x 34"" W x 43"" H; feature: Contemporary<br>
- Arm Chair: color: Gun Metal or Brown or Gray; dimensions: 25 1 or 2"" W x 29 1 or 2""D x 40 1 or 4"" H; feature: Contemporary</p>

<p>Materials: Aluminum, Polyethylene Wicker, Polyspun.<br>
Color: Gun Metal or Brown or Gray<br>
Weight: 174 lbs</p>",GOODDEGG,,Patio Set,"2026, ANTIGUA, Furniture of America, New Arrival, Outdoor, Outdoor Furniture, Patio Set, Quick Ship Furniture, LTL",true,Title,Default Title,,,,,,,,GM-1003-4PC,78924.981661526,shopify,20,deny,manual,1300,2877.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1003-1-Z_2b567130-efe6-4a67-afba-c851391eb393.jpg?v=1773958126,1,antigua-4-pc-patio-set,false,ANTIGUA 4 Pc. Patio Set,"Shop ANTIGUA 4 Pc. Patio Set. Contemporary style. Aluminum, Polyethylene Wicker build. Color: Gun Metal/Brown/Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1003-1-Z_2b567130-efe6-4a67-afba-c851391eb393.jpg?v=1773958126,lb,,1129.00,Active,174,60.7,"63""L X 35 1/2""W X 17 3/4 - 27""H"
antigua-4-pc-patio-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1003-WB-1_d60d1a79-c6b2-45ce-bcfc-96989e898c5b.jpg?v=1773958126,2,antigua-6-pc-patio-set-w-2-ottomans,,,,,,,,Active,,,
antigua-6-pc-patio-set-w-2-ottomans,Furniture of America - ANTIGUA 6 Pc. Patio Set w/ 2 Ottomans,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ANTIGUA 6 Pc. Patio Set w/ 2 Ottomans offers a pulled-together look that makes the room feel ready to use and enjoy. As a outdoor patio set, it is designed to coordinate with matching pieces. The Contemporary character adds definition without feeling heavy. Crafted with Aluminum, Polyethylene Wicker, Polyspun, then finished in Gun Metal or Brown or Gray tones to suit a range of interiors.<br>
Product Dimensions: 63""L X 35 1/2""W X 17 3/4 - 27""H</p>

<p>Features<br>
- Gun Metal or Brown or Gray<br>
- Adjustable backrest with gas springs<br>
- Ottoman as footrest or extra seats<br>
- Adjustable table height<br>
- Padded headrest cushion<br>
- Washable cushion covers<br>
- Table includes umbrella hole and cap Included items and dimensions:<br>
- Adjustable Table Height: color: Gun Metal or Brown or Gray; dimensions: 63"" L x 35 1 or 2"" W x 17 3 or 4 - 27"" H; feature: Contemporary<br>
- Sofa: color: Gun Metal or Brown or Gray; dimensions: 76 3 or 4"" L x 34"" W x 43"" H; feature: Contemporary<br>
- Arm Chair: color: Gun Metal or Brown or Gray; dimensions: 25 1 or 2"" W x 29 1 or 2""D x 40 1 or 4"" H; feature: Contemporary<br>
- Ottoman (2 / CTN): color: Gun Metal or Brown or Gray; dimensions: 17 3 or 4"" L x 17 3 or 4"" W x 16 1 or 4"" H; feature: Contemporary</p>

<p>Materials: Aluminum, Polyethylene Wicker, Polyspun.<br>
Color: Gun Metal or Brown or Gray<br>
Weight: 191.9 lbs</p>",GOODDEGG,,Patio Set,"2026, ANTIGUA, Furniture of America, New Arrival, Outdoor, Outdoor Furniture, Patio Set, Quick Ship Furniture, LTL",true,Title,Default Title,,,,,,,,GM-1003-6PC,87044.012929104,shopify,20,deny,manual,1480,3297.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1003-6PC_a4c7e0c8-e34b-4cec-8421-34b5075b075b.jpg?v=1773958127,1,antigua-6-pc-patio-set-w-2-ottomans,false,ANTIGUA 6 Pc. Patio Set w/ 2 Ottomans,Shop ANTIGUA 6 Pc. Patio Set w/ 2 Ottomans. Color: Gun Metal/Brown/Gray. Free shipping from GOODDEGG. Buy now.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1003-6PC_a4c7e0c8-e34b-4cec-8421-34b5075b075b.jpg?v=1773958127,lb,,1299.00,Active,191.9,71,"63""L X 35 1/2""W X 17 3/4 - 27""H"
antigua-6-pc-patio-set-w-2-ottomans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1003-WB-1_a13f17dd-cc02-41e1-a5db-c1f4af622ab1.jpg?v=1773958127,2,antigua-6-pc-patio-set-w-2-ottomans,,,,,,,,Active,,,
