Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Bedding size (product.metafields.shopify.bedding-size),Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Weight (LB),Volume (CUFT),Product Dimension (Inch),Color
goldsberg-5-pc-queen-bedroom-set-with-chest,Furniture of America - GOLDSBERG 5 Pc. Queen Bedroom Set w/ Chest (FM7425BK-Q-G-5PC-C),"<p><span style=""color: Black/Gold""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>GOLDSBERG 5 Pc. Bedroom Set w/Chest brings a restful, finished feel to the bedroom. This bedroom bedroom set is made to fit naturally into the room. A Contemporary profile gives the space a refined, approachable look. Finished in Black / Gold tones, the Pinewood, Poplar, Birch, Engineered Wood build keeps the look polished and practical.<br>Product Dimensions: 85"" W x 63.5""D x 60"" H<br><strong>Size:</strong> Queen<br><br><strong>Headboard:</strong> Gold Trim VersionFeatures<br>- Black or Gold<br>- Gold-Painted Pattern<br>- Felt-Lined Top Drawer<br>- Ball-Bearing Glides<br>- French Front &amp; English Back Dovetail Drawers</p>
<p><strong>Included items and dimensions:</strong></p><p>- <strong>Nightstand</strong>: color: Black/Gold<br>- <strong>Dresser</strong>: color: Black/Gold<br>- <strong>Chest</strong>: color: Black/Gold</p>
<p><strong>Materials:</strong> Pinewood, Poplar, Birch, Engineered Wood<br><strong>Color:</strong> Black / Gold<br><strong>Weight:</strong> 720.91 lbs<br>
Volume : 93.2 CUFT</p><br>SKU : FM7425BK-Q-G-5PC-C",Furniture of America,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"2026, Bedroom, BEDROOM FURNITURE, Bedroom Set, Furniture of America, GOLDSBERG, Indoor Furniture, New Arrival, Quick Ship Furniture, LTL",TRUE,Headboard,Gold Trim Version,,,,,,,,FM7425BK-Q-G-5PC-C,326999.0033,shopify,deny,manual,5385,5394,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-G-1-Z_91fffb9e-91f5-4bea-b62c-0685aebaab81.jpg?v=1773558083,1,goldsberg-5-pc-queen-bedroom-set-with-chest,FALSE,GOLDSBERG 5 Pc. Queen Bedroom Set w/ Chest | GOODDEGG,The GOLDSBERG Bedroom w/ Chest creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-G-1-Z_91fffb9e-91f5-4bea-b62c-0685aebaab81.jpg?v=1773558083,lb,,2198,Active,720.91,93.2,"85""W X 63.5""D X 60""H",Black/Gold
goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,Solid Panel version,,,,,,,,FM7425BK-Q-P-5PC-C,326999.0033,shopify,deny,manual,5205,5214,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-D-WB-1_cd258ad4-7f38-4e64-ac5d-24ff5de22ec2.jpg?v=1773558083,2,goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-1-Z_2e5a76cc-2a13-4255-9252-83aafda800f9.jpg?v=1773558083,lb,,2138,Active,720.91,92.2,"85""W X 63.5""D X 60""H",Black/Gold
goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-C-WB-1_df0acd10-660f-412b-ad1d-df0e2044b1ae.jpg?v=1773558083,3,goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-1-Z_2e5a76cc-2a13-4255-9252-83aafda800f9.jpg?v=1773558083,4,goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-1_351bfcff-a977-4786-8db8-512082300388.jpg?v=1773558083,5,goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-2_1b07af56-b8e7-44fc-81e8-3275073ab15c.jpg?v=1773558083,6,goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-3_9bfffb0f-ca2e-4b5a-9b4c-d5e4dba1dd78.jpg?v=1773558083,7,goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-WB-4_09d11ceb-b01d-468b-874c-f939e473ef13.jpg?v=1773558083,8,goldsberg-5-pc-queen-bedroom-set-with-chest,,,,,,,,,,,,,,,,,,,,,,Active,,,,
goldsberg-5-pc-queen-bedroom-set-with-2ns,Furniture of America - GOLDSBERG 5 Pc. Queen Bedroom Set w/ 2NS (FM7425BK-Q-G-5PC-2NS),"<p><span style=""color: Black/Gold""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>Create a calm, coordinated retreat with GOLDSBERG 5 Pc. Bedroom Set w/2NS. Designed as a bedroom bedroom set, it pairs easily with surrounding decor. Its Contemporary styling keeps the room feeling polished yet comfortable. Crafted with Pinewood, Poplar, Birch, Engineered Wood, then finished in Black / Gold tones to suit a range of interiors.<br>Product Dimensions: 85"" W x 63.5""D x 60"" H<br><strong>Size:</strong> Queen<br><br><strong>Headboard:</strong> Gold Trim VersionFeatures<br>- Black or Gold<br>- Gold-Painted Pattern<br>- Felt-Lined Top Drawer<br>- Ball-Bearing Glides<br>- French Front &amp; English Back Dovetail Drawers</p>
<p><strong>Included items and dimensions:</strong></p><p>- <strong>Nightstand</strong>: color: Black/Gold<br>- <strong>Dresser</strong>: color: Black/Gold</p>
<p><strong>Materials:</strong> Pinewood, Poplar, Birch, Engineered Wood<br><strong>Color:</strong> Black / Gold<br><strong>Weight:</strong> 612.89 lbs<br>
Volume : 79.4 CUFT</p><br>SKU : FM7425BK-Q-G-5PC-2NS",Furniture of America,Furniture > Furniture Sets > Bedroom Furniture Sets,Bedroom Set,"2026, Bedroom, BEDROOM FURNITURE, Bedroom Set, Furniture of America, GOLDSBERG, Indoor Furniture, New Arrival, Quick Ship Furniture, LTL",TRUE,Headboard,Gold Trim Version,,,,,,,,FM7425BK-Q-G-5PC-2NS,278002.0009,shopify,deny,manual,4730,4737,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-G-1-Z_b91f1bfa-fc5f-4d84-af4a-5c1087a3d63e.jpg?v=1773558085,1,goldsberg-5-pc-queen-bedroom-set-with-2ns,FALSE,GOLDSBERG 5 Pc. Queen Bedroom Set w/ 2NS | GOODDEGG,The GOLDSBERG Bedroom w/ 2NS creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-G-1-Z_b91f1bfa-fc5f-4d84-af4a-5c1087a3d63e.jpg?v=1773558085,lb,,1899,Active,612.89,79.4,"85""W X 63.5""D X 60""H",Black/Gold
goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,Solid Panel version,,,,,,,,FM7425BK-Q-P-5PC-2NS,278002.0009,shopify,deny,manual,4550,4557,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-D-WB-1_e92cedf0-1920-453c-9a9a-0a1d5785c51a.jpg?v=1773558085,2,goldsberg-5-pc-queen-bedroom-set-with-2ns,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7425BK-P-1-Z_549a8eb3-79b6-4941-ac90-60cb04b29618.jpg?v=1773558085,lb,,1839,Active,612.89,78.4,"85""W X 63.5""D X 60""H",Black/Gold
