Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Weight (LB),Volume (CUFT),Product Dimension (Inch),Color
basilicata-golden-base-side-chair-2-ctn,Furniture of America - BASILICATA Golden base Side Chair (2/CTN) (FM33013BK-SC-2PK),"<p><span style=""color:Black""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>
Elevate your space with BASILICATA, styled in Glam and designed for everyday comfort.<br>
This dining chair is made to fit naturally into the room. With Fabric, Foam, Stainless Steel and Black or Gray or White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"")<br>
Size: Varies by variant</p>

<p>Features<br>
- Fabric<br>
- Foam<br>
- Stainless Steel<br>
- Velvet Upholstered Chairs with Saber Legs<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 52.28 lbs | Volume: 17.6 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 51 lbs | Volume: 17.8 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 52.1 lbs | Volume: 20.2 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 51.8 lbs | Volume: 17.7 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 53 lbs | Volume: 17.8 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 51.28 lbs | Volume: 17.6 cuft</strong><br>
</p>

<p>Materials: Fabric, Foam, Stainless Steel.<br>
Color: Black<br>
Weight: 51 - 53 lbs<br>
Volume : 17.7 CUFT</p><br>SKU : FM33013BK-SC-2PK",Furniture of America,Furniture > Chairs,Chair,"2026, BASILICATA, Chair, Dining, Furniture of America, Indoor Furniture, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, LTL",true,Color,Black,,,,,,,,FM33013BK-SC-2PK,23495.994047526,shopify,20,deny,manual,708,840.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33013BK-SC-WB-1_b927ea3c-625e-4ec9-ac4a-aaf35e21f4fa.jpg?v=1773845370,1,basilicata-side-chair-2-ctn,false,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33013BK-SC-WB-1_b927ea3c-625e-4ec9-ac4a-aaf35e21f4fa.jpg?v=1773845370,lb,,280.00,Active,51.8,17.7,"26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"")",Black
basilicata-golden-base-side-chair-2-ctn,,,,,,,,,Gray,,,,,,,,FM33013GY-SC-2PK,24039.987376867,shopify,20,deny,manual,708,840.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33002GD-T-13BK-SC-1_cae82813-b999-4f17-9c93-d4be9ca39338.jpg?v=1773845370,2,basilicata-side-chair-2-ctn,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33013GY-SC-1_e0c01fe5-fd9d-4886-945b-92272c826259.jpg?v=1773845370,lb,,280.00,Active,53,17.8,"26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"")",Gray
basilicata-golden-base-side-chair-2-ctn,,,,,,,,,White,,,,,,,,FM33013WH-SC-2PK,23259.989937415,shopify,20,deny,manual,708,840.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33013GY-SC-1_e0c01fe5-fd9d-4886-945b-92272c826259.jpg?v=1773845370,3,basilicata-side-chair-2-ctn,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33013WH-SC-1_4449a1c1-5040-403f-8c89-d9d244d0ee07.jpg?v=1773845370,lb,,280.00,Active,51.28,17.6,"26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"")",White
basilicata-golden-base-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33002GD-T-13GY-SC-1_f5b2b2bf-a58b-4535-a31a-b07b5d48753f.jpg?v=1773845370,4,basilicata-side-chair-2-ctn,,,,,,,,Active,,,,
basilicata-golden-base-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33001GD-T-13GY-SC-1_28aa9695-0978-4023-a5c7-724984846fa3.jpg?v=1773845370,5,basilicata-side-chair-2-ctn,,,,,,,,Active,,,,
basilicata-golden-base-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33013WH-SC-1_4449a1c1-5040-403f-8c89-d9d244d0ee07.jpg?v=1773845370,6,basilicata-side-chair-2-ctn,,,,,,,,Active,,,,
basilicata-ss-base-side-chair-2-ctn,Furniture of America - BASILICATA SS base Side Chair (2/CTN) (FM33012BK-SC-2PK),"<p><span style=""color:Black""><strong>FREE SHIPPING</strong></span><br>NB: Some items may go out of stock !! To avoid refund circumstances, we recommend emailing sales@gooddegg.com to confirm stock availability before placing order<br>
Elevate your space with BASILICATA, styled in Glam and designed for everyday comfort.<br>
This dining chair is made to fit naturally into the room. With Fabric, Foam, Stainless Steel and Black or Gray or White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"")<br>
Size: Varies by variant</p>

<p>Features<br>
- Fabric<br>
- Foam<br>
- Stainless Steel<br>
- Velvet Upholstered Chairs with Saber Legs<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 52.28 lbs | Volume: 17.6 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 51 lbs | Volume: 17.8 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 52.1 lbs | Volume: 20.2 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 51.8 lbs | Volume: 17.7 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 53 lbs | Volume: 17.8 cuft</strong><br>
- <strong>Size: - | Color: Black| Dimensions: 26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"") | Weight: 51.28 lbs | Volume: 17.6 cuft</strong><br>
</p>

<p>Materials: Fabric, Foam, Stainless Steel.<br>
Color: Black<br>
Weight: 51 - 53 lbs<br>
Volume : 17.6 CUFT</p><br>SKU : FM33012BK-SC-2PK",Furniture of America,Furniture > Chairs,Chair,"2026, BASILICATA, Chair, Dining, Furniture of America, Indoor Furniture, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, LTL",true,Color,Black,,,,,,,,FM33012BK-SC-2PK,23713.990540548,shopify,20,deny,manual,691,780.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33012BK-SC-WB-1_81d08c94-801f-43de-8f0f-f7185722acf5.jpg?v=1773845372,1,basilicata-side-chair-2-ctn,false,BASILICATA Side Chair (2/CTN),"Shop BASILICATA Side Chair (2/CTN). Glam style. Fabric, Foam build. Multiple colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33012BK-SC-WB-1_81d08c94-801f-43de-8f0f-f7185722acf5.jpg?v=1773845372,lb,,270.00,Active,52.28,17.6,"26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"")",Black
basilicata-ss-base-side-chair-2-ctn,,,,,,,,,Gray,,,,,,,,FM33012GY-SC-2PK,23132.984073815,shopify,20,deny,manual,691,780.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33002SV-T-12BK-SC-1_ed631f9a-e35a-479b-8310-dfceb6a6ee40.jpg?v=1773845372,2,basilicata-side-chair-2-ctn,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33012GY-SC-1_73bef534-5110-44be-ac35-f99f71270135.jpg?v=1773845372,lb,,270.00,Active,51,17.8,"26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"")",Gray
basilicata-ss-base-side-chair-2-ctn,,,,,,,,,White,,,,,,,,FM33012WH-SC-2PK,23631.981040052,shopify,20,deny,manual,691,780.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33012WH-SC-1_41a6b59f-36ae-4404-ac50-acbfce542588.jpg?v=1773845372,3,basilicata-side-chair-2-ctn,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33012WH-SC-1_41a6b59f-36ae-4404-ac50-acbfce542588.jpg?v=1773845372,lb,,270.00,Active,52.1,20.2,"26""W X 20""D X 43""H (SEAT HT: 19"", SEAT DP: 20.5"")",White
basilicata-ss-base-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM33001SV-T-12BK-SC-1-Z_af208eca-c8fc-4a0e-8a3c-97d28229b89d.jpg?v=1773845372,4,basilicata-side-chair-2-ctn,,,,,,,,Active,,,,
