Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
afton-12-euro-box-pocket-coil-mattress,"AFTON 12"" Euro Box Pocket Coil Mattress","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AFTON 12"" Euro Box Pocket Coil is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it brings a reliable, comfortable feel with White/Gray tones.</p>

<p>Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.<br>
Color: White/Gray</p>

<p>Features<br>
- Supportive coil system for steady alignment</p>

<p><strong>Full</strong><br>Product Dimensions: 75""L X 54""W X 12""H<br>Weight: 60 lbs<br><br><strong>Queen</strong><br>Product Dimensions: 80""L X 60""W X 12""H<br>Weight: 70 lbs<br><br><strong>Eastern King</strong><br>Product Dimensions: 80""L X 76""W X 12""H<br>Weight: 90 lbs<br><br><strong>California King</strong><br>Product Dimensions: 84""L X 72""W X 12""H<br>Weight: 90 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Mattresses,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON, BEDROOM FURNITURE, 2026",TRUE,Size,Full,,,,,,,,DM337F-M,27216,shopify,20,deny,manual,987,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-Z.jpg?v=1772095130,1,afton-12-euro-box-pocket-coil-mattress,FALSE,"AFTON 12"" Euro Box Pocket Coil Mattress | GOODDEGG","AFTON 12"" Euro Box Pocket Coil Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-Z.jpg?v=1772095130,lb,,399,active
afton-12-euro-box-pocket-coil-mattress,,,,,,,,,Queen,,,,,,,,DM337Q-M,31751,shopify,20,deny,manual,1227,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-Z.jpg?v=1772095130,2,afton-12-euro-box-pocket-coil-mattress,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-Z.jpg?v=1772095130,lb,,499,
afton-12-euro-box-pocket-coil-mattress,,,,,,,,,E.King,,,,,,,,DM337EK-M,40823,shopify,20,deny,manual,1407,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-Z.jpg?v=1772095130,3,afton-12-euro-box-pocket-coil-mattress,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-Z.jpg?v=1772095130,lb,,599,
afton-12-euro-box-pocket-coil-mattress,,,,,,,,,Cal.King,,,,,,,,DM337CK-M,40823,shopify,20,deny,manual,1407,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-Z.jpg?v=1772095130,4,afton-12-euro-box-pocket-coil-mattress,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-Z.jpg?v=1772095130,lb,,599,
afton-12-euro-box-pocket-coil-mattress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/mattress-logo.jpg?v=1772095180,5,afton-12-euro-box-pocket-coil-mattress,,,,,,,,
afton-12-euro-box-pocket-coil-mattress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-quilt.jpg?v=1772095194,6,afton-12-euro-box-pocket-coil-mattress,,,,,,,,
afton-12-euro-box-pocket-coil-mattress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/DM337-edge.jpg?v=1772095205,7,afton-12-euro-box-pocket-coil-mattress,,,,,,,,
aksel-futon-mattress,AKSEL Futon Mattress,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AKSEL Futon Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Cotton, Polyester, it brings a reliable, comfortable feel with Khaki/Brown tones.</p>

<p>Materials: Cotton, Polyester.<br>Color: Khaki/Brown, Black/Red, Gray/Navy</p>

<p>Features<br>
- Built for dependable everyday comfort</p>

<p><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Khaki/Brown, Black/Red, Gray/Navy</p>",GOODDEGG,Furniture > Futons > Futon Pads,Futon Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Futon Mattress, AKSEL, BEDROOM FURNITURE, 2026",TRUE,Color,Khaki/Brown,,,,,,,,FP-2417BB,11793,shopify,20,deny,manual,237,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FP-2417BB-1.jpg?v=1772095417,1,aksel-futon-mattress,FALSE,AKSEL Futon Mattress | GOODDEGG,"AKSEL Futon Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FP-2417BB-1.jpg?v=1772095417,lb,,99,active
aksel-futon-mattress,,,,,,,,,Black/Red,,,,,,,,FP-2417BR,11793,shopify,20,deny,manual,237,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FP-2417BR-1-Z.jpg?v=1772095428,2,aksel-futon-mattress,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FP-2417BR-1-Z.jpg?v=1772095428,lb,,99,
aksel-futon-mattress,,,,,,,,,Gray/Navy,,,,,,,,FP-2417NG,11793,shopify,20,deny,manual,237,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FP-2417NG-1-Z.jpg?v=1772095439,3,aksel-futon-mattress,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FP-2417NG-1-Z.jpg?v=1772095439,lb,,99,
