Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Weight (LB),Volume (CUFT),Product Dimension (Inch),Color
arth-2pc-accent-set-chair-and-side-table,Furniture of America - ARTH 2Pc Accent Set (Chair and Side Table),"<p><span style=""color:Walnut""><strong>FREE SHIPPING</strong></span><br>
ARTH 2Pc Accent Set (Chair and Side Table) shapes a comfortable living space with an easy, coordinated presence. This living accent set is made to fit naturally into the room. A Mid-Century Modern profile gives the space a refined, approachable look. Crafted with Fabric, Solid Wood, Engineered Wood, Wood Veneer, then finished in Walnut tones to suit a range of interiors.<br>
Product Dimensions: TABLE: 22.8""L X 29.1""W X 29.1""H, CHAIR: 23.6""L X 23.6""W X 19.7""H</p>

<p>Features<br>
- Wingback Chair Included items and dimensions:<br>
- Side Table: color: Walnut<br>
- Accent Chair: color: Walnut</p>

<p>Materials: Fabric, Solid Wood, Engineered Wood, Wood Veneer.<br>
Color: Walnut<br>
Weight: 39.6 lbs<br>
Volume : 8.5 CUFT</p>",Furniture of America,,Accent Set,"2026, Accent Set, ARTH, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture",true,Title,Default Title,,,,,,,,FM-AC200WN-SET,17961.985696578,shopify,20,deny,manual,260,414.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM-AC200WN-SET-1_ded86d93-b6e2-4d9a-87d5-382ddc193994.jpg?v=1773953785,1,arth-2pc-accent-set-chair-and-side-table,false,ARTH 2Pc Accent Set (Chair and Side Table),"Shop ARTH 2Pc Accent Set (Chair and Side Table). Mid-Century Modern style. Fabric, Solid Wood build. Color: Walnut. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM-AC200WN-SET-1_ded86d93-b6e2-4d9a-87d5-382ddc193994.jpg?v=1773953785,lb,,189.00,Active,39.6,8.5,"TABLE: 22.8""L X 29.1""W X 29.1""H, CHAIR: 23.6""L X 23.6""W X 19.7""H",Walnut
arth-2pc-accent-set-chair-and-side-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM-AC200WN-2_4390e6fb-ecc6-4d45-8a32-1695f9bdb3cb.jpg?v=1773953785,2,arth-2pc-accent-set-chair-and-side-table,,,,,,,,Active,,,,
bromoak-entertainment-center-tv-console,Furniture of America - BROMOAK Entertainment Center TV Console,"<p><span style=""color:Weathered Oak""><strong>FREE SHIPPING</strong></span><br>
BROMOAK Entertainment Center ties the living space together with a balanced, inviting feel. As a living tv console, it is designed to coordinate with matching pieces. The Traditional character adds definition without feeling heavy. Crafted with Solid Wood, Wood Veneer, then finished in Weathered Oak tones to suit a range of interiors.<br>
Product Dimensions: 130""W X 23.5""D X 90""H</p>

<p>Features<br>
- Traditional<br>
- Dentil Moldings<br>
- Reeded Posts<br>
- Carved Details Included items and dimensions:<br>
- Left Facing Unit Base: color: Weathered Oak<br>
- Left Facing Unit Top: color: Weathered Oak<br>
- Right Facing Unit Base: color: Weathered Oak<br>
- Right Facing Unit Top: color: Weathered Oak<br>
- Console Base: color: Weathered Oak</p>

<p>Materials: Solid Wood, Wood Veneer.<br>
Color: Weathered Oak<br>
Weight: 669.58 lbs<br>
Volume : 136.6 CUFT</p>",Furniture of America,,TV Console,"2026, BROMOAK, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, TV Console, LTL",true,Title,Default Title,,,,,,,,FM5418AK-TV-SET,303716.016230704,shopify,20,deny,manual,2655,4947.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM5418AK-TV-2_52a41394-8012-4397-8834-4d388fb51353.jpg?v=1773953787,1,bromoak-entertainment-center-tv-console,false,BROMOAK Entertainment Center TV Console,"Shop BROMOAK Entertainment Center TV Console. Traditional style. Solid Wood, Wood Veneer build. Color: Weathered Oak. Free shipping. Buy now at GOODDEGG.",,lb,,2199.00,Active,669.58,136.6,"130""W X 23.5""D X 90""H",Weathered Oak
bromoak-entertainment-center-tv-console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM5418AK-TV-3_ec2309c7-3ba6-49ad-9778-b9fb21adf474.jpg?v=1773953787,2,bromoak-entertainment-center-tv-console,,,,,,,,Active,,,,
bromoak-entertainment-center-tv-console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM5418AK-TV-4_6ffd48b3-2c3f-4132-963b-61b5ef52478c.jpg?v=1773953788,3,bromoak-entertainment-center-tv-console,,,,,,,,Active,,,,
bromoak-entertainment-center-tv-console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM5418AK-TV-5_bd5ab499-ca13-4f05-b4a4-0fd4ac045155.jpg?v=1773953787,4,bromoak-entertainment-center-tv-console,,,,,,,,Active,,,,
bromoak-entertainment-center-tv-console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM5418AK-TV-6_072329dd-d315-4d09-85db-ea6ecff90d1a.jpg?v=1773953787,5,bromoak-entertainment-center-tv-console,,,,,,,,Active,,,,
hepburne-entertainment-center-tv-stand,Furniture of America - HEPBURNE Entertainment Center TV Stand,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
HEPBURNE Entertainment Center shapes a comfortable living space with an easy, coordinated presence. This living tv stand is made to fit naturally into the room. A Gold-Capped Legs profile gives the space a refined, approachable look.<br>
Product Dimensions: 118""W X 18""D X 79""H</p>

<p>Features<br>
- Gold-Capped Legs Included items and dimensions:<br>
- 70"" TV Stand: color: Adjustable Shelves; dimensions: 70"" W x 18""D x 30"" H; feature: LED Light on Pier<br>
- Right Pier Base With 1 Door (walnut Finish): dimensions: 24"" W x 14""D x 49"" H<br>
- Left Pier Base With 1 Door (walnut Finish): dimensions: 24"" W x 18""D x 30"" H<br>
- Left or right Pier Hutch With LED Lighting (walnut Finish): dimensions: 24"" W x 14""D x 49"" H</p>",Furniture of America,,TV Stand,"2026, Furniture of America, HEPBURNE, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, TV Stand, LTL",true,Title,Default Title,,,,,,,,FM54000WN-TV-SET,0.0,shopify,20,deny,manual,1595,3057.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-SET-1_42cb4360-4caf-446b-a02e-470091120bf4.jpg?v=1773953788,1,hepburne-entertainment-center-tv-stand,false,HEPBURNE Entertainment Center TV Stand,Shop HEPBURNE Entertainment Center TV Stand. Gold-Capped Legs style. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-SET-1_42cb4360-4caf-446b-a02e-470091120bf4.jpg?v=1773953788,lb,,1299.00,Active,,60.8,"118""W X 18""D X 79""H",
hepburne-entertainment-center-tv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-70-WB-7_2dc31e7a-bd2b-4584-94b4-013c3c72c173.jpg?v=1773953788,2,hepburne-entertainment-center-tv-stand,,,,,,,,Active,,,,
hepburne-entertainment-center-tv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-LED_b38c248b-a066-462b-80f3-64c510447b92.jpg?v=1773953788,3,hepburne-entertainment-center-tv-stand,,,,,,,,Active,,,,
hepburne-entertainment-center-tv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-SET-WB-1_f9c3babe-f171-48cd-ba5a-bc87d4454149.jpg?v=1773953789,4,hepburne-entertainment-center-tv-stand,,,,,,,,Active,,,,
hepburne-entertainment-center-tv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-SET-WB-2_274c650d-a09f-4efb-b82e-2916b24d06e8.jpg?v=1773953789,5,hepburne-entertainment-center-tv-stand,,,,,,,,Active,,,,
hepburne-entertainment-center-tv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-SET-WB-3_7624ea4d-c1ce-4a93-9f75-6ad1d8ae842c.jpg?v=1773953788,6,hepburne-entertainment-center-tv-stand,,,,,,,,Active,,,,
hepburne-entertainment-center-tv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-SET-WB-4_3a34e00e-86c0-4a4a-9d35-e6de5e485448.jpg?v=1773953788,7,hepburne-entertainment-center-tv-stand,,,,,,,,Active,,,,
hepburne-entertainment-center-tv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM54000WN-TV-SET-WB-5_428da3f0-b7cc-431e-b636-f0aa0ca31faa.jpg?v=1773953789,8,hepburne-entertainment-center-tv-stand,,,,,,,,Active,,,,
kebbyll-3-pc-set-tv-and-2-pc-tv-console,Furniture of America - KEBBYLL 3 Pc. Set (TV and 2 PC) TV Console,"<p><span style=""color:Antique Black/Natural Tone""><strong>FREE SHIPPING</strong></span><br>
KEBBYLL 3 Pc. Set (TV and 2 PC) shapes a comfortable living space with an easy, coordinated presence. This living tv console is made to fit naturally into the room. A Industrial profile gives the space a refined, approachable look. Built from Metal, Paper Veneeer, Engineered Wood and finished in Antique Black or Natural Tone tones for a clean, cohesive look.<br>
Product Dimensions: 60""W X 15 1/2""D X 23""H</p>

<p>Features<br>
- Industrial<br>
- Antique Black or Natural Tone<br>
- Pipe-Inspired Frame<br>
- Wire Mesh Shelf Included items and dimensions:<br>
- Pier Cabinet: color: Antique Black/Natural Tone</p>

<p>Materials: Metal, Paper Veneeer, Engineered Wood.<br>
Color: Antique Black/Natural Tone<br>
Weight: 227.7 lbs<br>
Volume : 19.5 CUFT</p>",Furniture of America,,TV Console,"2026, Furniture of America, Indoor Furniture, KEBBYLL, Living, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, TV Console, LTL",true,Title,Default Title,,,,,,,,CM5913-TV-3PC,103282.982649,shopify,20,deny,manual,930,1797.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM5913-TV-3PC_98390c92-f4fc-432e-807e-972d9362eb40.jpg?v=1773953790,1,kebbyll-3-pc-set-tv-and-2-pc-tv-console,false,KEBBYLL 3 Pc. Set (TV and 2 PC) TV Console,Shop KEBBYLL 3 Pc. Set (TV and 2 PC) TV Console. Color: Antique Black/Natural Tone. Free shipping from GOODDEGG. Buy now.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM5913-TV-3PC_98390c92-f4fc-432e-807e-972d9362eb40.jpg?v=1773953790,lb,,717.00,Active,227.7,19.5,"60""W X 15 1/2""D X 23""H",Antique Black/Natural Tone
kebbyll-3-pc-set-tv-and-2-pc-tv-console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM5913-TV_f51c5a3f-b05d-45c5-b534-d0125ccb5756.jpg?v=1773953790,2,kebbyll-3-pc-set-tv-and-2-pc-tv-console,,,,,,,,Active,,,,
kebbyll-3-pc-set-tv-and-2-pc-tv-console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM5913-TV-PC-BR-9_1ddbbf79-263c-4859-add4-bfbde4287338.jpg?v=1773953792,3,kebbyll-3-pc-set-tv-and-2-pc-tv-console,,,,,,,,Active,,,,
