Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
afton-12-euro-box-pocket-coil-mattress,"AFTON 12"" Euro Box Pocket Coil Mattress","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AFTON 12"" Euro Box Pocket Coil is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it brings a reliable, comfortable feel with White/Gray tones.</p>

<p>Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.<br>
Color: White/Gray</p>

<p>Features<br>
- Supportive coil system for steady alignment</p>

<p><strong>Full</strong><br>Product Dimensions: 75""L X 54""W X 12""H<br>Weight: 60 lbs<br><br><strong>Queen</strong><br>Product Dimensions: 80""L X 60""W X 12""H<br>Weight: 70 lbs<br><br><strong>Eastern King</strong><br>Product Dimensions: 80""L X 76""W X 12""H<br>Weight: 90 lbs<br><br><strong>California King</strong><br>Product Dimensions: 84""L X 72""W X 12""H<br>Weight: 90 lbs<br><br></p>",GOODDEGG,Furniture > Beds & Accessories > Mattresses,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON, BEDROOM FURNITURE, 2026",TRUE,Size,Full,,,,,,,,DM337F-M,27216,shopify,20,deny,manual,987,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,afton-12-euro-box-pocket-coil-mattress,FALSE,"AFTON 12"" Euro Box Pocket Coil Mattress | GOODDEGG","AFTON 12"" Euro Box Pocket Coil Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,399,active
afton-12-euro-box-pocket-coil-mattress,"AFTON 12"" Euro Box Pocket Coil Mattress","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AFTON 12"" Euro Box Pocket Coil is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it brings a reliable, comfortable feel with White/Gray tones.</p>

<p>Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.<br>
Color: White/Gray</p>

<p>Features<br>
- Supportive coil system for steady alignment</p>

<p><strong>Full</strong><br>Product Dimensions: 75""L X 54""W X 12""H<br>Weight: 60 lbs<br><br><strong>Queen</strong><br>Product Dimensions: 80""L X 60""W X 12""H<br>Weight: 70 lbs<br><br><strong>Eastern King</strong><br>Product Dimensions: 80""L X 76""W X 12""H<br>Weight: 90 lbs<br><br><strong>California King</strong><br>Product Dimensions: 84""L X 72""W X 12""H<br>Weight: 90 lbs<br><br></p>",GOODDEGG,Furniture > Beds & Accessories > Mattresses,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON, BEDROOM FURNITURE, 2026",TRUE,Size,Queen,,,,,,,,DM337Q-M,31751,shopify,20,deny,manual,1227,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,afton-12-euro-box-pocket-coil-mattress,FALSE,"AFTON 12"" Euro Box Pocket Coil Mattress | GOODDEGG","AFTON 12"" Euro Box Pocket Coil Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,499,active
afton-12-euro-box-pocket-coil-mattress,"AFTON 12"" Euro Box Pocket Coil Mattress","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AFTON 12"" Euro Box Pocket Coil is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it brings a reliable, comfortable feel with White/Gray tones.</p>

<p>Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.<br>
Color: White/Gray</p>

<p>Features<br>
- Supportive coil system for steady alignment</p>

<p><strong>Full</strong><br>Product Dimensions: 75""L X 54""W X 12""H<br>Weight: 60 lbs<br><br><strong>Queen</strong><br>Product Dimensions: 80""L X 60""W X 12""H<br>Weight: 70 lbs<br><br><strong>Eastern King</strong><br>Product Dimensions: 80""L X 76""W X 12""H<br>Weight: 90 lbs<br><br><strong>California King</strong><br>Product Dimensions: 84""L X 72""W X 12""H<br>Weight: 90 lbs<br><br></p>",GOODDEGG,Furniture > Beds & Accessories > Mattresses,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON, BEDROOM FURNITURE, 2026",TRUE,Size,E.King,,,,,,,,DM337EK-M,40823,shopify,20,deny,manual,1407,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,afton-12-euro-box-pocket-coil-mattress,FALSE,"AFTON 12"" Euro Box Pocket Coil Mattress | GOODDEGG","AFTON 12"" Euro Box Pocket Coil Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,599,active
afton-12-euro-box-pocket-coil-mattress,"AFTON 12"" Euro Box Pocket Coil Mattress","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AFTON 12"" Euro Box Pocket Coil is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it brings a reliable, comfortable feel with White/Gray tones.</p>

<p>Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.<br>
Color: White/Gray</p>

<p>Features<br>
- Supportive coil system for steady alignment</p>

<p><strong>Full</strong><br>Product Dimensions: 75""L X 54""W X 12""H<br>Weight: 60 lbs<br><br><strong>Queen</strong><br>Product Dimensions: 80""L X 60""W X 12""H<br>Weight: 70 lbs<br><br><strong>Eastern King</strong><br>Product Dimensions: 80""L X 76""W X 12""H<br>Weight: 90 lbs<br><br><strong>California King</strong><br>Product Dimensions: 84""L X 72""W X 12""H<br>Weight: 90 lbs<br><br></p>",GOODDEGG,Furniture > Beds & Accessories > Mattresses,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON, BEDROOM FURNITURE, 2026",TRUE,Size,Cal.King,,,,,,,,DM337CK-M,40823,shopify,20,deny,manual,1407,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,afton-12-euro-box-pocket-coil-mattress,FALSE,"AFTON 12"" Euro Box Pocket Coil Mattress | GOODDEGG","AFTON 12"" Euro Box Pocket Coil Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,599,active
aksel-futon-mattress,AKSEL Futon Mattress,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AKSEL Futon Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Cotton, Polyester, it brings a reliable, comfortable feel with Khaki/Brown tones.</p>

<p>Materials: Cotton, Polyester.<br>
Color: Varies by variant (see Variant Details)</p>

<p>Features<br>
- Built for dependable everyday comfort</p>

<p><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Khaki/Brown<br><br><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Khaki/Brown<br><br><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Khaki/Brown<br><br></p>",GOODDEGG,Furniture > Futons > Futon Pads,Futon Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Futon Mattress, AKSEL, BEDROOM FURNITURE, 2026",TRUE,Color,Khaki/Brown,,,,,,,,FP-2417BB,11793,shopify,20,deny,manual,237,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,aksel-futon-mattress,FALSE,AKSEL Futon Mattress | GOODDEGG,"AKSEL Futon Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,99,active
aksel-futon-mattress,AKSEL Futon Mattress,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AKSEL Futon Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Cotton, Polyester, it brings a reliable, comfortable feel with Black/Red tones.</p>

<p>Materials: Cotton, Polyester.<br>
Color: Varies by variant (see Variant Details)</p>

<p>Features<br>
- Built for dependable everyday comfort</p>

<p><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Black/Red<br><br><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Black/Red<br><br><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Black/Red<br><br></p>",GOODDEGG,Furniture > Futons > Futon Pads,Futon Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Futon Mattress, AKSEL, BEDROOM FURNITURE, 2026",TRUE,Color,Black/Red,,,,,,,,FP-2417BR,11793,shopify,20,deny,manual,237,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,aksel-futon-mattress,FALSE,AKSEL Futon Mattress | GOODDEGG,"AKSEL Futon Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,99,active
aksel-futon-mattress,AKSEL Futon Mattress,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AKSEL Futon Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Cotton, Polyester, it brings a reliable, comfortable feel with Gray/Navy tones.</p>

<p>Materials: Cotton, Polyester.<br>
Color: Varies by variant (see Variant Details)</p>

<p>Features<br>
- Built for dependable everyday comfort</p>

<p><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Gray/Navy<br><br><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Gray/Navy<br><br><strong></strong><br>Product Dimensions: 71""L X 51""W X 6""H<br>Weight: 26 lbs<br>Color: Gray/Navy<br><br></p>",GOODDEGG,Furniture > Futons > Futon Pads,Futon Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Futon Mattress, AKSEL, BEDROOM FURNITURE, 2026",TRUE,Color,Gray/Navy,,,,,,,,FP-2417NG,11793,shopify,20,deny,manual,237,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,aksel-futon-mattress,FALSE,AKSEL Futon Mattress | GOODDEGG,"AKSEL Futon Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,99,active
aleksa-11-euro-top-mattress,"ALEKSA 11"" Euro Top Mattress","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Sleep easy with ALEKSA 11"" Euro Top Mattress, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. Finished in White/Gray tones for a clean, cohesive look.</p>

<p>Materials: .<br>
Color: White/Gray</p>

<p>Features<br>
- Supportive coil system for steady alignment<br>
Color: White/Gray<br>
Weight: 85 or 55 or 65 lbs</p>

<p><strong>Full</strong><br>Product Dimensions: 75""L X 54""W X 11""H<br>Weight: 55 lbs<br><br><strong>Queen</strong><br>Product Dimensions: 80""L X 60""W X 11""H<br>Weight: 65 lbs<br><br><strong>Eastern King</strong><br>Product Dimensions: 80""L X 76""W X 11""H<br>Weight: 85 lbs<br><br><strong>California King</strong><br>Product Dimensions: 84""L X 72""W X 11""H<br>Weight: 85 lbs<br><br></p>",GOODDEGG,Furniture > Beds & Accessories > Mattresses,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ALEKSA, BEDROOM FURNITURE, 2026",TRUE,Size,Full,,,,,,,,DM335F-M,24948,shopify,20,deny,manual,627,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,aleksa-11-euro-top-mattress,FALSE,"ALEKSA 11"" Euro Top Mattress | GOODDEGG","ALEKSA 11"" Euro Top Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,269,active
aleksa-11-euro-top-mattress,"ALEKSA 11"" Euro Top Mattress","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Sleep easy with ALEKSA 11"" Euro Top Mattress, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. Finished in White/Gray tones for a clean, cohesive look.</p>

<p>Materials: .<br>
Color: White/Gray</p>

<p>Features<br>
- Supportive coil system for steady alignment<br>
Color: White/Gray<br>
Weight: 85 or 55 or 65 lbs</p>

<p><strong>Full</strong><br>Product Dimensions: 75""L X 54""W X 11""H<br>Weight: 55 lbs<br><br><strong>Queen</strong><br>Product Dimensions: 80""L X 60""W X 11""H<br>Weight: 65 lbs<br><br><strong>Eastern King</strong><br>Product Dimensions: 80""L X 76""W X 11""H<br>Weight: 85 lbs<br><br><strong>California King</strong><br>Product Dimensions: 84""L X 72""W X 11""H<br>Weight: 85 lbs<br><br></p>",GOODDEGG,Furniture > Beds & Accessories > Mattresses,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ALEKSA, BEDROOM FURNITURE, 2026",TRUE,Size,Queen,,,,,,,,DM335Q-M,29484,shopify,20,deny,manual,747,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,aleksa-11-euro-top-mattress,FALSE,"ALEKSA 11"" Euro Top Mattress | GOODDEGG","ALEKSA 11"" Euro Top Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,319,active
aleksa-11-euro-top-mattress,"ALEKSA 11"" Euro Top Mattress","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Sleep easy with ALEKSA 11"" Euro Top Mattress, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. Finished in White/Gray tones for a clean, cohesive look.</p>

<p>Materials: .<br>
Color: White/Gray</p>

<p>Features<br>
- Supportive coil system for steady alignment<br>
Color: White/Gray<br>
Weight: 85 or 55 or 65 lbs</p>

<p><strong>Full</strong><br>Product Dimensions: 75""L X 54""W X 11""H<br>Weight: 55 lbs<br><br><strong>Queen</strong><br>Product Dimensions: 80""L X 60""W X 11""H<br>Weight: 65 lbs<br><br><strong>Eastern King</strong><br>Product Dimensions: 80""L X 76""W X 11""H<br>Weight: 85 lbs<br><br><strong>California King</strong><br>Product Dimensions: 84""L X 72""W X 11""H<br>Weight: 85 lbs<br><br></p>",GOODDEGG,Furniture > Beds & Accessories > Mattresses,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ALEKSA, BEDROOM FURNITURE, 2026",TRUE,Size,E.King,,,,,,,,DM335EK-M,38555,shopify,20,deny,manual,927,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,1,aleksa-11-euro-top-mattress,FALSE,"ALEKSA 11"" Euro Top Mattress | GOODDEGG","ALEKSA 11"" Euro Top Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for great selection and low prices.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7472GY-1.jpg?v=1771332765,lb,,399,active
