Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aberporth-chair,ABERPORTH Chair,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ABERPORTH Chair brings a Transitional look to your home with a refined, comfortable feel. As a upholstery chair, it is designed to complement your space. The Linen-like, Solid Wood, construction is complemented by Multi tones for a polished look.<br>
Product Dimensions: 46""L X 43""W X 39""H (SEAT HT: 18"", SEAT DP: 21"")</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Linen-like, Solid Wood.<br>
Color: Multi<br>
Weight: 86 lbs</p>",GOODDEGG,Furniture > Chairs,Chair,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Upholstery, Chair, ABERPORTH, LIVING ROOM FURNITURE",TRUE,Color,Multi,,,,,,,,SM5406-CH,39009,shopify,20,deny,manual,1053,,TRUE,FALSE,,,,,,SM5406-CH-1.jpg,1,aberporth-chair,FALSE,ABERPORTH Chair,"Shop ABERPORTH Chair. Transitional style. Linen-like, Solid Wood build. Color: Multi. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/SM5406-CH-1.jpg,lb,,351,active
aberporth-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM5406-1-Z.jpg,2,aberporth-chair,,,,,,,,
acapulco-chair,ACAPULCO Chair,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ACAPULCO, styled in Traditional and designed for everyday comfort.<br>
This upholstery chair is made to fit naturally into the room. With Fabric, Solid Wood, Others and Black/Off-White or Off-White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 44&quot;W X 42&quot;D X 46.5&quot;H<br>
Size: Varies by variant</p>

<p>Features<br>
- Fabric<br>
- Solid Wood<br>
- Others<br>
- Diamond Tufted Back<br>
- Crown Molding<br>
- Carved Details<br>
- Cabriole Style Legs<br>
- Box Seat Cushion w/ Welt<br>
- Wing Back Design<br>
- Accent Pillow Included<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black/Off-White | Dimensions: 44&quot;W X 42&quot;D X 46.5&quot;H | Weight: 115.5 lbs | Shipping (LxWxH): 43 x 39 x 27 in | Volume: 26.2 cuft</strong><br>
- <strong>Size: - | Color: Off-White | Dimensions: 44&quot;W X 42&quot;D X 46.5&quot;H | Weight: 118.8 lbs | Shipping (LxWxH): 43.3 x 38.5 x 27.3 in | Volume: 26.3 cuft</strong><br>
</p>

<p>Materials: Fabric, Solid Wood, Others.<br>
Color: Black/Off-White or Off-White<br>
Weight: 115.5 - 118.8 lbs</p>",GOODDEGG,Furniture > Chairs,Chair,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Upholstery, Chair, ACAPULCO, LIVING ROOM FURNITURE",TRUE,Color,Black/Off-White,,,,,,,,FM65001ES-CH,52390,shopify,20,deny,manual,1137,,TRUE,FALSE,,,,,,FM65001ES-CH-1.jpg,1,acapulco-chair,FALSE,ACAPULCO Chair,"Shop ACAPULCO Chair. Traditional style. Fabric, Solid Wood build. Multiple colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-CH-1.jpg,lb,,499,active
acapulco-chair,,,,,,,,,Off-White,,,,,,,,FM65001WH-CH,53887,shopify,20,deny,manual,1137,,TRUE,FALSE,,,,,,FM65001ES-1.jpg,2,acapulco-chair,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001WH-CH-1.jpg,lb,,499,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-2.jpg,3,acapulco-chair,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-3.jpg,4,acapulco-chair,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-4.jpg,5,acapulco-chair,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-5.jpg,6,acapulco-chair,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-6.jpg,7,acapulco-chair,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-7.jpg,8,acapulco-chair,,,,,,,,
acapulco-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-CH-1.jpg,9,acapulco-chair,,,,,,,,
adelpha-chair,ADELPHA Chair,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ADELPHA Chair brings a Glam look to your home with a refined, comfortable feel. As a upholstery chair, it is designed to complement your space. The Solid Wood, Fabric, Stainless Steel, construction is complemented by Beige or Gold tones for a polished look.<br>
Product Dimensions: 50.5""W X 37""D X 30""H (SEAT HT: 19"", SEAT DP: 25.5"")</p>

<p>Features<br>
- Glam design<br>
- Made with solid wood &amp; wood veneer<br>
- Padded Headboard &amp; Footboard with pleated design</p>

<p>Materials: Solid Wood, Fabric, Stainless Steel.<br>
Color: Beige or Gold<br>
Weight: 125 lbs</p>",GOODDEGG,Furniture > Chairs,Chair,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Upholstery, Chair, ADELPHA, LIVING ROOM FURNITURE",TRUE,Color,Beige/Gold,,,,,,,,FM67002BG-CH,56699,shopify,20,deny,manual,1707,,TRUE,FALSE,,,,,,FM67002BG-1.jpg,1,adelpha-chair,FALSE,ADELPHA Chair,"Shop ADELPHA Chair. Glam style. Solid Wood, Fabric build. Color: Beige/Gold. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM67002BG-1.jpg,lb,,599,active
