Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aberporth-sofa-and-loveseat-upholstery-set,ABERPORTH Sofa and Loveseat Upholstery Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ABERPORTH Sofa and Loveseat is designed for everyday living, balancing comfort with a clean, finished look. As a upholstery upholstery set, it is designed to coordinate with matching pieces. The Transitional character adds definition without feeling heavy. Built from Linen-like, Solid Wood, and finished in Gray tones for a clean, cohesive look.</p>

<p>Features<br>
- Lawson Design<br>
- Box Seat Cushion<br>
- Loose Pillow Back<br>
- Rolled Arms<br>
- Tapered Plastic Legs<br>
- Pillows Included Included items and dimensions:<br>
- Sofa: color: Gray; dimensions: 87"" L x 37"" W x 38"" H (SEAT HT: 18"", SEAT DP: 21""); feature: Transitional<br>
- Loveseat: color: Gray; dimensions: 64"" L x 37"" W x 38"" H (SEAT HT: 18"", SEAT DP: 21""); feature: Transitional</p>

<p>Materials: Linen-like, Solid Wood.<br>
Color: Gray<br>
Weight: 234 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Living Room Furniture Sets,Upholstery Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Upholstery, Upholstery Set, ABERPORTH, LIVING ROOM FURNITURE",TRUE,Color,Gray,,,,,,,,SM5406-2PC,106141,shopify,20,deny,manual,2997,,TRUE,FALSE,,,,,,SM5406-1-Z.jpg,1,aberporth-sofa-and-loveseat-upholstery-set,FALSE,ABERPORTH Sofa and Loveseat Upholstery Set,"Shop ABERPORTH Sofa and Loveseat Upholstery Set. Transitional style. Linen-like, Solid Wood build. Color: Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/SM5406-1-Z.jpg,lb,,999,active
acapulco-sofa-and-loveseat-upholstery-set,ACAPULCO Sofa and Loveseat Upholstery Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ACAPULCO, styled in Traditional and designed for everyday comfort.<br>
This upholstery upholstery set is made to fit naturally into the room. With Fabric, Solid Wood, Others and Black/Off-White or Off-White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Sofa: 84.5&quot;L X 42&quot;W X 48.5&quot;H<br>
Size: Varies by variant</p>

<p>Features<br>
- Fabric<br>
- Solid Wood<br>
- Others<br>
- Diamond Tufted Back<br>
- Crown Molding<br>
- Carved Details<br>
- Cabriole Style Legs<br>
- Box Seat Cushion w/ Welt<br>
- Wing Back Design<br>
- Accent Pillow Included<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black/Off-White | Dimensions: Sofa: 84.5&quot;L X 42&quot;W X 48.5&quot;H | Weight: 347.6 lbs | Volume: 94.3 cuft</strong><br>
- <strong>Size: - | Color: Off-White | Dimensions: Sofa: 84.5&quot;L X 42&quot;W X 48.5&quot;H | Weight: 355.5 lbs | Volume: 95 cuft</strong><br>
</p>

<p>Materials: Fabric, Solid Wood, Others.<br>
Color: Black/Off-White or Off-White<br>
Weight: 347.6 - 355.5 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Living Room Furniture Sets,Upholstery Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Upholstery, Upholstery Set, ACAPULCO, LIVING ROOM FURNITURE",TRUE,Color,Black/Off-White,,,,,,,,FM65001ES-2PC,157669,shopify,20,deny,manual,3807,,TRUE,FALSE,,,,,,FM65001ES-SF-1.jpg,1,acapulco-sofa-and-loveseat-upholstery-set,FALSE,ACAPULCO Sofa and Loveseat Upholstery Set,"Shop ACAPULCO Sofa and Loveseat Upholstery Set. Traditional style. Fabric, Solid Wood build. Multiple colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001ES-SF-1.jpg,lb,,1599,active
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,Off-White,,,,,,,,FM65001WH-2PC,161252,shopify,20,deny,manual,3807,,TRUE,FALSE,,,,,,FM65001ES-1.jpg,2,acapulco-sofa-and-loveseat-upholstery-set,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM65001WH-SF-1.jpg,lb,,1599,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-2.jpg,3,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-3.jpg,4,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-4.jpg,5,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-5.jpg,6,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-6.jpg,7,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001ES-7.jpg,8,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-SF-1.jpg,9,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-1.jpg,10,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-2.jpg,11,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-4.jpg,12,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-6.jpg,13,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-7.jpg,14,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-8.jpg,15,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM65001WH-3.jpg,16,acapulco-sofa-and-loveseat-upholstery-set,,,,,,,,
adelpha-sofa-and-loveseat-upholstery-set,ADELPHA Sofa and Loveseat Upholstery Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ADELPHA Sofa and Loveseat creates a cohesive setup that feels inviting the moment you walk in. As a upholstery upholstery set, it is designed to coordinate with matching pieces.<br>
Product Dimensions: 89""W X 37""D X 30""H Included items and dimensions:<br>
- Sofa: color: Beige or Gold; dimensions: 89"" W x 37""D x 30"" H; feature: Glam<br>
- Loveseat: color: Beige or Gold; dimensions: 72.5"" W x 37""D x 30"" H; feature: Glam<br>
Weight: 348 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Living Room Furniture Sets,Upholstery Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Upholstery, Upholstery Set, ADELPHA, LIVING ROOM FURNITURE",TRUE,Type,Set,,,,,,,,FM67002BG-2PC,157850,shopify,20,deny,manual,4617,,TRUE,FALSE,,,,,,FM67002BG-1.jpg,1,adelpha-sofa-and-loveseat-upholstery-set,FALSE,ADELPHA Sofa and Loveseat Upholstery Set,Shop ADELPHA Sofa and Loveseat Upholstery Set. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM67002BG-1.jpg,lb,,1699,active
