Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
adalia-7-pc-dining-table-set-dining-set,ADALIA 7 Pc. Dining Table Set Dining Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ADALIA 7 Pc. Dining Table Set anchors the dining area with a cohesive look that feels easy and welcoming. As a dining dining set, it is designed to coordinate with matching pieces. The Glam character adds definition without feeling heavy. Finished in Silver or Dark Gray tones, the Flannelette, Solid Wood, Polyresin, Mirror, build keeps the look polished and practical.<br>
Product Dimensions: 90""L (72"" + 1 X 18""leaf) X 40 5/8""W X 30 1/2""H</p>

<p>Features<br>
- Silver or Dark Gray<br>
- Expandable w/ 18-inch Leaf<br>
- Wooden Glides<br>
- Wingback Chair<br>
- Nailhead Trim<br>
- Crystal-like Acrylic Buttons Included items and dimensions:<br>
- Dining Table: color: Silver or Dark Gray; dimensions: 90"" L (72"" and 1 x 18""leaf) x 40 5 or 8"" W x 30 1 or 2"" H; feature: Glam<br>
- Wingback Chair (2 / CTN): color: Silver or Dark Gray; dimensions: 21"" W x 25""D x 40"" H (SEAT HT: 19 5 or 8"", SEAT DP: 18 1 or 8""); feature: Glam</p>

<p>Materials: Flannelette, Solid Wood, Polyresin, Mirror.<br>
Color: Silver or Dark Gray<br>
Weight: 346.1 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Dining, Dining Set, ADALIA, DINING ROOM FURNITURE",TRUE,Color,Silver/Dark Gray,,,,,,,,CM3241SV-T-7PC,156988,shopify,20,deny,manual,3177,,TRUE,FALSE,,,,,,CM3241SV-T-1-Z.jpg,1,adalia-7-pc-dining-table-set-dining-set,FALSE,ADALIA 7 Pc. Dining Table Set Dining Set,"Shop ADALIA 7 Pc. Dining Table Set Dining Set. Glam style. Flannelette, Solid Wood build. Color: Silver/Dark Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM3241SV-T-1-Z.jpg,lb,,1199,active
adalia-7-pc-dining-table-set-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM3241GY-SC-2.jpg,2,adalia-7-pc-dining-table-set-dining-set,,,,,,,,
adalia-7-pc-dining-table-set-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM3241GY-SC-3.jpg,3,adalia-7-pc-dining-table-set-dining-set,,,,,,,,
adalia-7-pc-dining-table-set-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM3241GY-SC-4.jpg,4,adalia-7-pc-dining-table-set-dining-set,,,,,,,,
adelina-5-pc-round-dining-table-set-dining-set,ADELINA 5 Pc. Round Dining Table Set Dining Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ADELINA 5 Pc. Round Dining Table Set sets the tone for shared meals with a comfortable, coordinated look. This dining dining set is made to fit naturally into the room. A Transitional profile gives the space a refined, approachable look. Built from Leatherette, Mirror, Solid Wood, and finished in Champagne tones for a clean, cohesive look.<br>
Product Dimensions: 47 3/4"" DIA X 30""H</p>

<p>Features<br>
- Expandable w/ 18"" Leaf<br>
- Clear Tempered Glass Top<br>
- Warm Gray Leatherette Seats<br>
- Button Tufted Contoured Backs<br>
- Textured Panels<br>
- Wine Rack on Server Included items and dimensions:<br>
- Round Table: color: Champagne; dimensions: 47 3 or 4""DIA x 31-1 or 2"" H; feature: Transitional<br>
- Side Chair (2 / CTN): color: Champagne or Warm Gray; dimensions: 20"" W x 24""D x 4"" H (SEAT HT: 18 7 or 8"", SEAT DP: 16 7 or 8""); feature: Transitional</p>

<p>Materials: Leatherette, Mirror, Solid Wood.<br>
Color: Champagne<br>
Weight: 191.4 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Dining, Dining Set, ADELINA, DINING ROOM FURNITURE",TRUE,Color,Champagne,,,,,,,,CM3158RT-5PC,86818,shopify,20,deny,manual,1587,,TRUE,FALSE,,,,,,CM3158RT-1-Z.jpg,1,adelina-5-pc-round-dining-table-set-dining-set,FALSE,ADELINA 5 Pc. Round Dining Table Set Dining Set,"Shop ADELINA 5 Pc. Round Dining Table Set Dining Set. Transitional style. Leatherette, Mirror build. Color: Champagne. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM3158RT-1-Z.jpg,lb,,609,active
adelina-5-pc-round-dining-table-set-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM3158RT-2.jpg,2,adelina-5-pc-round-dining-table-set-dining-set,,,,,,,,
adelina-5-pc-round-dining-table-set-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM3158RT-3.jpg,3,adelina-5-pc-round-dining-table-set-dining-set,,,,,,,,
adelina-7-pc-dining-table-set-dining-set,ADELINA 7 Pc. Dining Table Set Dining Set,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Gather around ADELINA 7 Pc. Dining Table Set, designed to keep the dining space warm, balanced, and inviting. Designed as a dining dining set, it pairs easily with surrounding decor. Its Transitional styling keeps the room feeling polished yet comfortable. Crafted with Leatherette, Mirror,Solid Wood, then finished in Champagne or Warm Gray tones to suit a range of interiors.<br>
Product Dimensions: 84""(66"" + 1 X 18""LEAF)L X 42""W X 3""H</p>

<p>Features<br>
- Champagne or Warm Gray<br>
- Expandable w/ 18"" Leaf<br>
- Clear Tempered Glass Top<br>
- Warm Gray Leatherette Seats<br>
- Button Tufted Contoured Backs<br>
- Textured Panels<br>
- Wine Rack on Server Included items and dimensions:<br>
- Side Chair (2 / CTN): color: Champagne or Warm Gray; dimensions: 20"" W x 24""D x 4"" H (SEAT HT: 18 7 or 8"", SEAT DP: 16 7 or 8""); feature: Transitional</p>

<p>Materials: Leatherette, Mirror,Solid Wood.<br>
Color: Champagne or Warm Gray<br>
Weight: 339.2 lbs</p>",GOODDEGG,Furniture > Furniture Sets > Kitchen & Dining Furniture Sets,Dining Set,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Dining, Dining Set, ADELINA, DINING ROOM FURNITURE",TRUE,Color,Champagne/Warm Gray,,,,,,,,CM3158T-7PC,153859,shopify,20,deny,manual,2397,,TRUE,FALSE,,,,,,CM3158T-1-Z.jpg,1,adelina-7-pc-dining-table-set-dining-set,FALSE,ADELINA 7 Pc. Dining Table Set Dining Set,"Shop ADELINA 7 Pc. Dining Table Set Dining Set. Transitional style. Leatherette, Mirror build. Color: Champagne/Warm Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM3158T-1-Z.jpg,lb,,899,active
adelina-7-pc-dining-table-set-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM3158SV-2.jpg,2,adelina-7-pc-dining-table-set-dining-set,,,,,,,,
adelina-7-pc-dining-table-set-dining-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM3158SV-3.jpg,3,adelina-7-pc-dining-table-set-dining-set,,,,,,,,
