Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
birsfelden-bed,BIRSFELDEN Bed,"<p>FREE SHIPPING<br>
Make the room feel complete with BIRSFELDEN Bed and its Contemporary character. Built as a bedroom bed, it pairs well with a wide range of interiors. Finished in White  or  Metallic Gray tones, the Solid Wood, Wood Veneer, Others build balances durability with visual appeal.<br>
Product Dimensions: 87 7 / 8"" L x 81 1 / 4"" W x 44 1 / 4"" H<br>
Size: California King<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>USB Port Behind Night Stand<br>
Concealed Drawer Pulls<br>
Felt-lined Top Drawer</p>

<p>Materials:Solid Wood, Wood Veneer<br>
Color:White / Metallic Gray<br>
Weight: 212.45 lbs</p>",Furniture of America,,Bedroom,"Bed, Bedroom, BIRSFELDEN, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",true,Size,Cal.King,,,,,,,,FOA7225WH-CK-BED,96366.016521159,shopify,20,deny,manual,897.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-1-Z_f6057ea7-e487-451c-bc26-b7291b6af471.jpg?v=1772098813,1,BIRSFELDEN Bed,false,Birsfelden Bed California King in White  or  Metallic Gray | GOODDEGG,The BIRSFELDEN Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-1-Z_f6057ea7-e487-451c-bc26-b7291b6af471.jpg?v=1772098813,lb,,339.00,active
birsfelden-bed,,,,,,,,,E.King,,,,,,,,FOA7225WH-EK-BED,87820.0187557,shopify,20,deny,manual,897.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-2_8b13cff3-8849-4d71-a5ce-3eaf760aaa4f.jpg?v=1772098813,2,BIRSFELDEN Bed,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-1-Z_f6057ea7-e487-451c-bc26-b7291b6af471.jpg?v=1772098813,lb,,339.00,
birsfelden-bed,,,,,,,,,Queen,,,,,,,,FOA7225WH-Q-BED,75567.989890393,shopify,20,deny,manual,717.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-N-3_7bfcdb7a-8092-4f8c-9ac5-63c6bed7e76b.jpg?v=1772098813,3,BIRSFELDEN Bed,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-1-Z_f6057ea7-e487-451c-bc26-b7291b6af471.jpg?v=1772098813,lb,,279.00,
birsfelden-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-C-3_a5a581db-cdbb-46b4-acc1-3d4df8f7a33a.jpg?v=1772098813,4,BIRSFELDEN Bed,,,,,,,,
alena-side-chair-2-ctn,ALENA Side Chair (2 / CTN),"<p>FREE SHIPPING<br>
ALENA Side Chair (2 / CTN) brings a Transitional look to your home with a refined, comfortable feel. As a dining chair, it is designed to complement your space. The Leatherette, Solid Wood, Wood Veneer, Others construction is complemented by Black  or  Silver tones for a polished look.<br>
Product Dimensions: 20 1 / 8"" W x 25""D x 39"" H<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Leatherette, Solid Wood, Wood Veneer<br>
Color:Black / Silver<br>
Weight: 50.6 lbs</p>",Furniture of America,,Dining,"ALENA, Chair, Dining, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",true,Title,Default Title,,,,,,,,CM3452BK-SC-2PK,22952.000718185,shopify,20,deny,manual,420.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-SC-1_a1dc240c-fb43-40cf-bd1a-732f132e0211.jpg?v=1772091047,1,ALENA Side Chair (2 / CTN),false,ALENA Side Chair (2 or CTN) in Black  or  Silver | GOODDEGG,The ALENA Side Chair adds comfortable seating and style to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,160.00,active
alena-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-1_84b4392e-04ba-4f08-8f2a-215b88ed97e7.jpg?v=1772091047,2,ALENA Side Chair (2 / CTN),,,,,,,,
alena-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-2_04145f4f-5c91-49e8-9f9b-f09013a88254.jpg?v=1772091047,3,ALENA Side Chair (2 / CTN),,,,,,,,
alena-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-3_de11c284-be81-4b5f-be4a-c96b449da92a.jpg?v=1772091046,4,ALENA Side Chair (2 / CTN),,,,,,,,
alena-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-4_c2e4e87a-632d-401b-a0e9-801729de6626.jpg?v=1772091046,5,ALENA Side Chair (2 / CTN),,,,,,,,
alesund-loveseat,ALESUND Loveseat,"<p>FREE SHIPPING<br>
ALESUND Loveseat brings a Mid-Century Modern look to your home with a refined, comfortable feel. This upholstery loveseat is made to fit naturally into the room. The Fabric, Solid Wood, Others construction is complemented by Beige  or  Light Oak tones for a polished look.<br>
Product Dimensions: 65"" W x 38""D x 33"" H (SEAT HT: 19"", SEAT DP: 23"")<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Fabric, Solid Wood<br>
Weight: 143 lbs</p>",Furniture of America,,Upholstery,"ALESUND, Furniture of America, Indoor Furniture, Loveseat, New Arrival, Quick Ship Furniture, Upholstery",true,Color,Beige/Light Oak,,,,,,,,CM9981-LV,64863.981065422,shopify,20,deny,manual,2730.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-LV-1-0_803a9e99-bd8d-4a27-a450-7a4f677657c4.jpg?v=1772006359,1,ALESUND Loveseat,false,ALESUND Loveseat in Beige  or  Light Oak | GOODDEGG,The ALESUND Loveseat offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-LV-1-0_803a9e99-bd8d-4a27-a450-7a4f677657c4.jpg?v=1772006359,lb,,1000.00,active
alesund-loveseat,,,,,,,,,Beige/Walnut,,,,,,,,CM9982-LV,64863.981065422,shopify,20,deny,manual,2730.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-LV-1-0_59aba725-4260-47fe-9ed1-adb8670707fe.jpg?v=1772006359,2,ALESUND Loveseat,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-LV-1-0_59aba725-4260-47fe-9ed1-adb8670707fe.jpg?v=1772006359,lb,,1000.00,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-1_d02a5f6e-8e30-457e-93e7-2fe10bcd8f07.jpg?v=1772006359,3,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-2_369f5df3-f2b2-4f93-be7b-9fb14738b453.jpg?v=1772006359,4,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-4_139d33eb-7a53-4cbb-b24a-48f6fdf113ce.jpg?v=1772006358,5,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-3_1fc169f2-3a89-4ba2-96df-97b73c86bf51.jpg?v=1772006359,6,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-5_2aee6062-7281-495b-a857-0f49b0b6bb05.jpg?v=1772006359,7,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-6_5d988654-ac50-46b6-820e-8c170bfd452f.jpg?v=1772006359,8,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-8_ec801d75-7315-4af1-bf63-1b48089b0a73.jpg?v=1772006359,9,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-1_766da843-55b1-4467-a6ca-9eac83f11332.jpg?v=1772006359,10,ALESUND Loveseat,,,,,,,,
