Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
aalok-bed,AALOK Bed,"FREE SHIPPING
Make the room feel complete with AALOK Bed and its Glam character. This bedroom bed is made to fit naturally into the room. Finished in Silver  or  Warm Gray tones, the Velvet-like Fabric, Solid Wood, Wood Veneer, Others build balances durability with visual appeal.
Product Dimensions: 91 3 or 4"" L x 81 5 or 8"" W x 70"" H
Size: California King
Features
- Glam design
- Upholstered in velvet-like fabric
- Made with solid wood & wood veneer
- Padded Headboard & Footboard with pleated design
- Elegant cabriole legs
- Foundation required

Bonus storage & convenience features (from matching set pieces):

USB Charger on Night Stand
Felt-lined Top Drawer
Hidden Drawer in Dresser

Materials: Velvet-like Fabric, Solid Wood, Wood Veneer, Others
Color: Silver  or  Warm Gray
Weight: 217.8 lbs",Furniture of America,,Bedroom,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Bedroom, Bed, AALOK",TRUE,Color,Silver/Warm Gray,Size,Cal.King,,,CM7864CK-BED,98792,shopify,20,deny,manual,559,1497,TRUE,FALSE,,,,,FALSE,Aalok Bed California King in Silver  or  Warm Gray | GOODDEGG,The AALOK Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,CM7864CK-BED,new,FALSE,,g,,559,,,,,,,active
aalok-chest,AALOK Chest,"FREE SHIPPING
AALOK Chest brings a Glam look to your home with a refined, comfortable feel. Built as a bedroom chest, it pairs well with a wide range of interiors. The Solid Wood, Wood Veneer, Others construction is complemented by Silver tones for a polished look.
Product Dimensions: 38 3 or 8"" W x 17""D x 54"" H
Features
- Glam design
- Made with solid wood & wood veneer
- Elegant cabriole legs

Bonus storage & convenience features (from matching set pieces):

Felt-lined Top Drawer

Materials: Solid Wood, Wood Veneer, Others
Color: Silver
Weight: 211.2 lbs",Furniture of America,,Bedroom,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Bedroom, Chest, AALOK",TRUE,Color,Silver,,,,,CM7864C,95799,shopify,20,deny,manual,329,807,TRUE,FALSE,,,,,FALSE,AALOK Chest in Silver | GOODDEGG,The AALOK Chest adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,CM7864C,new,FALSE,,g,,329,,,,,,,active
aalok-dresser,AALOK Dresser,"FREE SHIPPING
Elevate your space with AALOK Dresser, styled in Glam and designed for everyday comfort. As a bedroom dresser, it is designed to complement your space. With Solid Wood, Wood Veneer, Others and Silver tones, it blends structure and softness in one clean profile.
Product Dimensions: 62"" W x 17""D x 40"" H
Features
- Glam design
- Made with solid wood & wood veneer
- Elegant cabriole legs

Bonus storage & convenience features (from matching set pieces):

Felt-lined Top Drawer
Hidden Drawer in Dresser

Materials: Solid Wood, Wood Veneer, Others
Color: Silver
Weight: 224.4 lbs",Furniture of America,,Bedroom,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Bedroom, Dresser, AALOK",TRUE,Color,Silver,,,,,CM7864D,101786,shopify,20,deny,manual,400,990,TRUE,FALSE,,,,,FALSE,AALOK Dresser in Silver | GOODDEGG,The AALOK Dresser adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,CM7864D,new,FALSE,,g,,400,,,,,,,active
aalok-bed,AALOK Bed,"FREE SHIPPING
AALOK Bed adds a Glam touch while keeping the room feeling warm and welcoming. This bedroom bed is made to fit naturally into the room. Crafted from Velvet-like Fabric, Solid Wood, Wood Veneer, Others, it is finished in Silver  or  Warm Gray tones that pair easily with surrounding decor.
Product Dimensions: 87 3 or 4"" L x 81 5 or 8"" W x 70"" H
Size: Eastern King
Features
- Glam design
- Upholstered in velvet-like fabric
- Made with solid wood & wood veneer
- Padded Headboard & Footboard with pleated design
- Elegant cabriole legs
- Foundation required

Bonus storage & convenience features (from matching set pieces):

USB Charger on Night Stand
Felt-lined Top Drawer
Hidden Drawer in Dresser

Materials: Velvet-like Fabric, Solid Wood, Wood Veneer, Others
Color: Silver  or  Warm Gray
Weight: 213.4 lbs",Furniture of America,,Bedroom,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Bedroom, Bed, AALOK",TRUE,Color,Silver/Warm Gray,Size,E.King,,,CM7864EK-BED,96797,shopify,20,deny,manual,539,1440,TRUE,FALSE,,,,,FALSE,Aalok Bed Eastern King in Silver  or  Warm Gray | GOODDEGG,The AALOK Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,CM7864EK-BED,new,FALSE,,g,,539,,,,,,,active
aalok-mirror,AALOK Mirror,"FREE SHIPPING
Make the room feel complete with AALOK Mirror and its Glam character. Built as a bedroom mirror, it pairs well with a wide range of interiors. Finished in Silver tones, the Solid Wood, Wood Veneer, Others build balances durability with visual appeal.
Product Dimensions: 47 3 or 8"" L x 37 7 or 8"" H x 1 3 or 8""D
Features
- Glam design
- Made with solid wood & wood veneer

Materials: Solid Wood, Wood Veneer, Others
Color: Silver
Weight: 41.8 lbs",Furniture of America,,Bedroom,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Bedroom, Mirror, AALOK",TRUE,Color,Silver,,,,,CM7864M,18960,shopify,20,deny,manual,90,240,TRUE,FALSE,,,,,FALSE,AALOK Mirror in Silver | GOODDEGG,The AALOK Mirror adds light and depth to the room. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,CM7864M,new,FALSE,,g,,90,,,,,,,active
aalok-nightstand-w-usb,AALOK Nightstand w/ USB,"FREE SHIPPING
AALOK Nightstand w/ USB brings a Glam look to your home with a refined, comfortable feel. As a bedroom night stand, it is designed to complement your space. The Solid Wood, Wood Veneer, Others construction is complemented by Silver tones for a polished look.
Product Dimensions: 33 3 or 8"" W x 17""D x 27 3 or 4"" H
Features
- Glam design
- Made with solid wood & wood veneer
- Elegant cabriole legs

Bonus storage & convenience features (from matching set pieces):

Felt-lined Top Drawer
USB Charger on Night Stand

Materials: Solid Wood, Wood Veneer, Others
Color: Silver
Weight: 74.8 lbs",Furniture of America,,Bedroom,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Bedroom, Night Stand, AALOK",TRUE,Color,Silver,,,,,CM7864N,33929,shopify,20,deny,manual,170,450,TRUE,FALSE,,,,,FALSE,AALOK Nightstand w/ USB in Silver | GOODDEGG,The AALOK Nightstand w/ USB brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,CM7864N,new,FALSE,,g,,170,,,,,,,active
aalok-bed,AALOK Bed,"FREE SHIPPING
Elevate your space with AALOK Bed, styled in Glam and designed for everyday comfort. This bedroom bed is made to fit naturally into the room. With Velvet-like Fabric, Solid Wood, Wood Veneer, Others and Silver  or  Warm Gray tones, it blends structure and softness in one clean profile.
Product Dimensions: 87 3 or 4"" L x 65 7 or 8"" W x 70"" H
Size: Queen
Features
- Glam design
- Upholstered in velvet-like fabric
- Made with solid wood & wood veneer
- Padded Headboard & Footboard with pleated design
- Elegant cabriole legs
- Foundation required

Bonus storage & convenience features (from matching set pieces):

USB Charger on Night Stand
Felt-lined Top Drawer
Hidden Drawer in Dresser

Materials: Velvet-like Fabric, Solid Wood, Wood Veneer, Others
Color: Silver  or  Warm Gray
Weight: 187 lbs",Furniture of America,,Bedroom,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Bedroom, Bed, AALOK",TRUE,Color,Silver/Warm Gray,Size,Queen,,,CM7864Q-BED,84822,shopify,20,deny,manual,459,1197,TRUE,FALSE,,,,,FALSE,Aalok Bed Queen in Silver  or  Warm Gray | GOODDEGG,The AALOK Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,CM7864Q-BED,new,FALSE,,g,,459,,,,,,,active
abbey-4-9-x-6-9-area-rug,"ABBEY 4' 9"" X 6' 9"" Area Rug","FREE SHIPPING
ABBEY 4' 9"" X 6' 9"" Area Rug adds a Contemporary touch while keeping the room feeling warm and welcoming. Built as a accent rug, it pairs well with a wide range of interiors. Crafted from Nylon, it is finished in Alphabet  or  Multi tones that pair easily with surrounding decor.
Product Dimensions: 5' x 7'

Materials: Nylon
Color: Alphabet  or  Multi
Weight: 9 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ABBEY",TRUE,Color,Alphabet/Multi,,,,,RG5209,4082,shopify,20,deny,manual,39,117,TRUE,FALSE,,,,,FALSE,"ABBEY 4' 9"" X 6' 9"" Area Rug in Alphabet  or  Multi | GOODDEGG",The ABBEY Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG5209,new,FALSE,,g,,39,,,,,,,active
abbey-4-9-x-6-9-area-rug,"ABBEY 4' 9"" X 6' 9"" Area Rug","FREE SHIPPING
Make the room feel complete with ABBEY 4' 9"" X 6' 9"" Area Rug and its Contemporary character. As a accent rug, it is designed to complement your space. Finished in Alphabet  or  Multi tones, the Nylon build balances durability with visual appeal.
Product Dimensions: 5' x 7'

Materials: Nylon
Color: Alphabet  or  Multi
Weight: 9 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ABBEY",TRUE,Color,Alphabet/Multi,,,,,RG5210,4082,shopify,20,deny,manual,39,117,TRUE,FALSE,,,,,FALSE,"ABBEY 4' 9"" X 6' 9"" Area Rug in Alphabet  or  Multi | GOODDEGG",The ABBEY Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG5210,new,FALSE,,g,,39,,,,,,,active
abbey-4-9-x-6-9-area-rug,"ABBEY 4' 9"" X 6' 9"" Area Rug","FREE SHIPPING
ABBEY 4' 9"" X 6' 9"" Area Rug brings a Contemporary look to your home with a refined, comfortable feel. This accent rug is made to fit naturally into the room. The Nylon construction is complemented by Sports tones for a polished look.
Product Dimensions: 5' x 7'

Materials: Nylon
Color: Sports
Weight: 9 lbs",Furniture of America,,Accent,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Accent, Rug, ABBEY",TRUE,Color,Sports,,,,,RG5211,4082,shopify,20,deny,manual,39,117,TRUE,FALSE,,,,,FALSE,"ABBEY 4' 9"" X 6' 9"" Area Rug in Sports | GOODDEGG",The ABBEY Area Rug adds warmth and comfort underfoot. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,,,RG5211,new,FALSE,,g,,39,,,,,,,active
