Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
afton-12-euro-box-pocket-coil-mattress-white-gray,"AFTON 12"" Euro Box Pocket Coil Mattress","FREE SHIPPING
AFTON 12"" Euro Box Pocket Coil is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it brings a reliable, comfortable feel with White or Gray tones.
Product Dimensions: 84""L X 72""W X 12""H
Size: California King
Features
- Supportive coil system for steady alignment
Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.
Color: White or Gray
Weight: 90 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON",TRUE,Color,White/Gray,Size,Cal.King,,,DM337CK-M,40823,shopify,20,deny,manual,599,1407,TRUE,FALSE,,,,"AFTON 12"" Euro Box Pocket Coil Mattress",FALSE,"AFTON 12"" Euro Box Pocket Coil California King | GOODDEGG","The AFTON Euro Box Pocket Coil supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM337CK-M,new,TRUE,,g,,599,,,,,,,active
afton-12-euro-box-pocket-coil-mattress-white-gray,"AFTON 12"" Euro Box Pocket Coil Mattress","FREE SHIPPING
Sleep easy with AFTON 12"" Euro Box Pocket Coil, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. The Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam construction keeps you comfortable, finished in White or Gray tones.
Product Dimensions: 80""L X 76""W X 12""H
Size: Eastern King
Features
- Supportive coil system for steady alignment
Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.
Color: White or Gray
Weight: 90 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON",TRUE,Color,White/Gray,Size,E.King,,,DM337EK-M,40823,shopify,20,deny,manual,599,1407,TRUE,FALSE,,,,"AFTON 12"" Euro Box Pocket Coil Mattress",FALSE,"AFTON 12"" Euro Box Pocket Coil Eastern King in White Gray | GOODD","The AFTON Euro Box Pocket Coil supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM337EK-M,new,TRUE,,g,,599,,,,,,,active
afton-12-euro-box-pocket-coil-mattress-white-gray,"AFTON 12"" Euro Box Pocket Coil Mattress","FREE SHIPPING
AFTON 12"" Euro Box Pocket Coil offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Crafted with Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it is finished in White or Gray tones and made for lasting comfort.
Product Dimensions: 75""L X 54""W X 12""H
Size: Full
Features
- Supportive coil system for steady alignment
Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.
Color: White or Gray
Weight: 60 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON",TRUE,Color,White/Gray,Size,Full,,,DM337F-M,27216,shopify,20,deny,manual,399,987,TRUE,FALSE,,,,"AFTON 12"" Euro Box Pocket Coil Mattress",FALSE,"AFTON 12"" Euro Box Pocket Coil Full in White Gray | GOODDEGG","The AFTON Euro Box Pocket Coil supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM337F-M,new,TRUE,,g,,399,,,,,,,active
afton-12-euro-box-pocket-coil-mattress-white-gray,"AFTON 12"" Euro Box Pocket Coil Mattress","FREE SHIPPING
AFTON 12"" Euro Box Pocket Coil is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it brings a reliable, comfortable feel with White or Gray tones.
Product Dimensions: 80""L X 60""W X 12""H
Size: Queen
Features
- Supportive coil system for steady alignment
Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.
Color: White or Gray
Weight: 70 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, AFTON",TRUE,Color,White/Gray,Size,Queen,,,DM337Q-M,31751,shopify,20,deny,manual,499,1227,TRUE,FALSE,,,,"AFTON 12"" Euro Box Pocket Coil Mattress",FALSE,"AFTON 12"" Euro Box Pocket Coil Queen in White Gray | GOODDEGG","The AFTON Euro Box Pocket Coil supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM337Q-M,new,TRUE,,g,,499,,,,,,,active
aksel-futon-mattress-black-red,AKSEL Futon Mattress,"FREE SHIPPING
Sleep easy with AKSEL Futon Mattress, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Cotton, Polyester construction keeps you comfortable, finished in Black or Red tones.
Product Dimensions: 71""L X 51""W X 6""H
Materials: Cotton, Polyester.
Color: Black or Red
Weight: 26 lbs",Furniture of America,,Futon Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Futon Mattress, AKSEL",TRUE,Color,Black/Red,,,,,FP-2417BR,11793,shopify,20,deny,manual,99,237,TRUE,FALSE,,,,AKSEL Futon Mattress,FALSE,AKSEL Futon Mattress in Black Red | GOODDEGG,"The AKSEL Futon Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,FP-2417BR,new,TRUE,,g,,99,,,,,,,active
aksel-futon-mattress-gray-navy,AKSEL Futon Mattress,"FREE SHIPPING
AKSEL Futon Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Cotton, Polyester, it is finished in Gray or Navy tones and made for lasting comfort.
Product Dimensions: 71""L X 51""W X 6""H
Materials: Cotton, Polyester.
Color: Gray or Navy
Weight: 26 lbs",Furniture of America,,Futon Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Futon Mattress, AKSEL",TRUE,Color,Gray/Navy,,,,,FP-2417NG,11793,shopify,20,deny,manual,99,237,TRUE,FALSE,,,,AKSEL Futon Mattress,FALSE,AKSEL Futon Mattress in Gray Navy | GOODDEGG,"The AKSEL Futon Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,FP-2417NG,new,TRUE,,g,,99,,,,,,,active
aksel-futon-mattress-khaki-brown,AKSEL Futon Mattress,"FREE SHIPPING
AKSEL Futon Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Cotton, Polyester, it brings a reliable, comfortable feel with Khaki or Brown tones.
Product Dimensions: 71""L X 51""W X 6""H
Materials: Cotton, Polyester.
Color: Khaki or Brown
Weight: 26 lbs",Furniture of America,,Futon Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, Futon Mattress, AKSEL",TRUE,Color,Khaki/Brown,,,,,FP-2417BB,11793,shopify,20,deny,manual,99,237,TRUE,FALSE,,,,AKSEL Futon Mattress,FALSE,AKSEL Futon Mattress in Khaki Brown | GOODDEGG,"The AKSEL Futon Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,FP-2417BB,new,TRUE,,g,,99,,,,,,,active
aleksa-11-euro-top-mattress-white-gray,"ALEKSA 11"" Euro Top Mattress","FREE SHIPPING
Sleep easy with ALEKSA 11"" Euro Top Mattress, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. Finished in White or Gray tones for a clean, cohesive look.
Product Dimensions: 84""L X 72""W X 11""H
Size: California King
Features
- Supportive coil system for steady alignment
Color: White or Gray
Weight: 85 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ALEKSA",TRUE,Color,White/Gray,Size,Cal.King,,,DM335CK-M,38555,shopify,20,deny,manual,399,927,TRUE,FALSE,,,,"ALEKSA 11"" Euro Top Mattress",FALSE,"ALEKSA 11"" Euro Top Mattress California King | GOODDEGG","The ALEKSA Euro Top Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM335CK-M,new,TRUE,,g,,399,,,,,,,active
aleksa-11-euro-top-mattress-white-gray,"ALEKSA 11"" Euro Top Mattress","FREE SHIPPING
ALEKSA 11"" Euro Top Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Finished in White or Gray tones for a clean, cohesive look.
Product Dimensions: 80""L X 76""W X 11""H
Size: Eastern King
Features
- Supportive coil system for steady alignment
Color: White or Gray
Weight: 85 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ALEKSA",TRUE,Color,White/Gray,Size,E.King,,,DM335EK-M,38555,shopify,20,deny,manual,399,927,TRUE,FALSE,,,,"ALEKSA 11"" Euro Top Mattress",FALSE,"ALEKSA 11"" Euro Top Mattress Eastern King in White Gray | GOODDEG","The ALEKSA Euro Top Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM335EK-M,new,TRUE,,g,,399,,,,,,,active
aleksa-11-euro-top-mattress-white-gray,"ALEKSA 11"" Euro Top Mattress","FREE SHIPPING
ALEKSA 11"" Euro Top Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Finished in White or Gray tones for a clean, cohesive look.
Product Dimensions: 75""L X 54""W X 11""H
Size: Full
Features
- Supportive coil system for steady alignment
Color: White or Gray
Weight: 55 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, ALEKSA",TRUE,Color,White/Gray,Size,Full,,,DM335F-M,24948,shopify,20,deny,manual,269,627,TRUE,FALSE,,,,"ALEKSA 11"" Euro Top Mattress",FALSE,"ALEKSA 11"" Euro Top Mattress Full in White Gray | GOODDEGG","The ALEKSA Euro Top Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM335F-M,new,TRUE,,g,,269,,,,,,,active
