Handle,Title,Body (HTML),Product Category,Type,Tags,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
birsfelden-bed,BIRSFELDEN Bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AFTON 12"" Euro Box Pocket Coil offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Crafted with Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam, it is finished in White or Gray tones and made for lasting comfort.<br>
Product Dimensions: 75""L X 54""W X 12""H<br>
Size: Full</p>

<p>Features<br>
- Supportive coil system for steady alignment</p>

<p>Materials: Designer Stretch Fabric 5 Layer Tack And Jump Quilting Hd Polyurethane Foam.<br>
Color: White or Gray<br>
Weight: 60 lbs</p>",Apparel & Accessories > Clothing > Clothing Tops > Shirts,Bedroom,"Bed, Bedroom, BIRSFELDEN, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Size,Cal.King,,,,,,,,FOA7225WH-CK-BED,96366.01652,shopify,20,deny,manual,897,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-1-Z_f6057ea7-e487-451c-bc26-b7291b6af471.jpg?v=1772098813,1,BIRSFELDEN Bed,FALSE,Birsfelden Bed California King in White  or  Metallic Gray | GOODDEGG,The BIRSFELDEN Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-1-Z_f6057ea7-e487-451c-bc26-b7291b6af471.jpg?v=1772098813,lb,,339,active
birsfelden-bed,,,,,,,E.King,,,,,,,,FOA7225WH-EK-BED,87820.01876,shopify,20,deny,manual,897,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-2_8b13cff3-8849-4d71-a5ce-3eaf760aaa4f.jpg?v=1772098813,2,BIRSFELDEN Bed,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-1-Z_f6057ea7-e487-451c-bc26-b7291b6af471.jpg?v=1772098813,lb,,339,
birsfelden-bed,,,,,,,Queen,,,,,,,,FOA7225WH-Q-BED,75567.98989,shopify,20,deny,manual,717,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-N-3_7bfcdb7a-8092-4f8c-9ac5-63c6bed7e76b.jpg?v=1772098813,3,BIRSFELDEN Bed,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-1-Z_f6057ea7-e487-451c-bc26-b7291b6af471.jpg?v=1772098813,lb,,279,
birsfelden-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7225WH-C-3_a5a581db-cdbb-46b4-acc1-3d4df8f7a33a.jpg?v=1772098813,4,BIRSFELDEN Bed,,,,,,,,
alena-side-chair-2-ctn,ALENA Side Chair (2 / CTN),"<p>FREE SHIPPING<br>
ALENA Side Chair (2 / CTN) brings a Transitional look to your home with a refined, comfortable feel. As a dining chair, it is designed to complement your space. The Leatherette, Solid Wood, Wood Veneer, Others construction is complemented by Black  or  Silver tones for a polished look.<br>
Product Dimensions: 20 1 / 8"" W x 25""D x 39"" H<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Leatherette, Solid Wood, Wood Veneer<br>
Color:Black / Silver<br>
Weight: 50.6 lbs</p>",,Dining,"ALENA, Chair, Dining, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Title,Default Title,,,,,,,,CM3452BK-SC-2PK,22952.00072,shopify,20,deny,manual,420,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-SC-1_a1dc240c-fb43-40cf-bd1a-732f132e0211.jpg?v=1772091047,1,ALENA Side Chair (2 / CTN),FALSE,ALENA Side Chair (2 or CTN) in Black  or  Silver | GOODDEGG,The ALENA Side Chair adds comfortable seating and style to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,160,active
alena-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-1_84b4392e-04ba-4f08-8f2a-215b88ed97e7.jpg?v=1772091047,2,ALENA Side Chair (2 / CTN),,,,,,,,
alena-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-2_04145f4f-5c91-49e8-9f9b-f09013a88254.jpg?v=1772091047,3,ALENA Side Chair (2 / CTN),,,,,,,,
alena-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-3_de11c284-be81-4b5f-be4a-c96b449da92a.jpg?v=1772091046,4,ALENA Side Chair (2 / CTN),,,,,,,,
alena-side-chair-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-4_c2e4e87a-632d-401b-a0e9-801729de6626.jpg?v=1772091046,5,ALENA Side Chair (2 / CTN),,,,,,,,
alesund-loveseat,ALESUND Loveseat,"<p>FREE SHIPPING<br>
ALESUND Loveseat brings a Mid-Century Modern look to your home with a refined, comfortable feel. This upholstery loveseat is made to fit naturally into the room. The Fabric, Solid Wood, Others construction is complemented by Beige  or  Light Oak tones for a polished look.<br>
Product Dimensions: 65"" W x 38""D x 33"" H (SEAT HT: 19"", SEAT DP: 23"")<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Fabric, Solid Wood<br>
Weight: 143 lbs</p>",,Upholstery,"ALESUND, Furniture of America, Indoor Furniture, Loveseat, New Arrival, Quick Ship Furniture, Upholstery",Color,Beige/Light Oak,,,,,,,,CM9981-LV,64863.98107,shopify,20,deny,manual,2730,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-LV-1-0_803a9e99-bd8d-4a27-a450-7a4f677657c4.jpg?v=1772006359,1,ALESUND Loveseat,FALSE,ALESUND Loveseat in Beige  or  Light Oak | GOODDEGG,The ALESUND Loveseat offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-LV-1-0_803a9e99-bd8d-4a27-a450-7a4f677657c4.jpg?v=1772006359,lb,,1000,active
alesund-loveseat,,,,,,,Beige/Walnut,,,,,,,,CM9982-LV,64863.98107,shopify,20,deny,manual,2730,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-LV-1-0_59aba725-4260-47fe-9ed1-adb8670707fe.jpg?v=1772006359,2,ALESUND Loveseat,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-LV-1-0_59aba725-4260-47fe-9ed1-adb8670707fe.jpg?v=1772006359,lb,,1000,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-1_d02a5f6e-8e30-457e-93e7-2fe10bcd8f07.jpg?v=1772006359,3,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-2_369f5df3-f2b2-4f93-be7b-9fb14738b453.jpg?v=1772006359,4,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-4_139d33eb-7a53-4cbb-b24a-48f6fdf113ce.jpg?v=1772006358,5,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-3_1fc169f2-3a89-4ba2-96df-97b73c86bf51.jpg?v=1772006359,6,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-5_2aee6062-7281-495b-a857-0f49b0b6bb05.jpg?v=1772006359,7,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-6_5d988654-ac50-46b6-820e-8c170bfd452f.jpg?v=1772006359,8,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9981-8_ec801d75-7315-4af1-bf63-1b48089b0a73.jpg?v=1772006359,9,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-1_766da843-55b1-4467-a6ca-9eac83f11332.jpg?v=1772006359,10,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-2_ec91b8d1-d491-4b4c-a9e3-fadc1bb60fc0.jpg?v=1772006359,11,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-3_6fd1c071-53aa-4d0b-a007-28d6b77a6b09.jpg?v=1772006359,12,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-4_5598fe66-c0f5-42e9-9c7f-e4ee89482de4.jpg?v=1772006359,13,ALESUND Loveseat,,,,,,,,
alesund-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM9982-5_f0c95797-6809-4aed-a0fa-2da96c3ce8bc.jpg?v=1772006359,14,ALESUND Loveseat,,,,,,,,
alessia-dining-table,ALESSIA Dining Table,"<p>FREE SHIPPING<br>
Elevate your space with ALESSIA Dining Table, styled in Contemporary and designed for everyday comfort. This dining dining table is made to fit naturally into the room. With Metal, Solid Wood, Wood Veneer, Others and White  or  Black tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 66"" L x 38"" W x 30"" H<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Metal, Solid Wood, Wood Veneer<br>
Color:White / Black<br>
Weight: 118.8 lbs</p>",,Dining,"ALESSIA, Dining, Dining Table, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Title,Default Title,,,,,,,,FOA3769T,53887.00035,shopify,0,deny,manual,987,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA3769T-1-c_9d16ac93-ab81-4aa1-b24c-82d0cab0fb7f.jpg?v=1771837586,1,ALESSIA Dining Table,FALSE,ALESSIA Dining Table in White  or  Black | GOODDEGG,The ALESSIA Dining Table creates a welcoming place for meals and gatherings. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,379,active
alessia-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA3769T-1-Z_efb5522b-8891-4c5b-9d3f-da30b2011b67.jpg?v=1771837586,2,ALESSIA Dining Table,,,,,,,,
alessia-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA3769T-2_ddf18c7f-b7fb-490d-9ee8-40c301ab8fd9.jpg?v=1771837586,3,ALESSIA Dining Table,,,,,,,,
alessia-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA3769T-3_fc1275dd-f4df-4da1-9044-78b4d0fa616b.jpg?v=1771837585,4,ALESSIA Dining Table,,,,,,,,
alena-dining-table,ALENA Dining Table,"<p>FREE SHIPPING<br>
Make the room feel complete with ALENA Dining Table and its Transitional character. Built as a dining dining table, it pairs well with a wide range of interiors. Finished in Black  or  Silver tones, the Crocodile Leatherette, Glass, Mirror, Solid Wood, Wood Veneer, Others build balances durability with visual appeal.<br>
Product Dimensions: 84""(66""  and  1 x 18"" LEAF)L x 42"" W x 30"" H<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Crocodile Leatherette, Glass, Mirror, Solid Wood, Wood Veneer<br>
Color:Black / Silver<br>
Weight: 231 lbs</p>",,Dining,"ALENA, Dining, Dining Table, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Title,Default Title,,,,,,,,CM3452BK-T,104780.0189,shopify,0,deny,manual,987,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3452BK-1_b1399a67-0221-4703-83b6-5f2fb2b1cb32.jpg?v=1771832796,1,ALENA Dining Table,FALSE,ALENA Dining Table in Black  or  Silver | GOODDEGG,The ALENA Dining Table creates a welcoming place for meals and gatherings. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,369,active
