Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Bedding size (product.metafields.shopify.bedding-size),Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
classic-adirondack-chairs-with-round-table-by-wildridge,Classic Adirondack Chairs with Round Table by Wildridge,"<p style=""background: white; margin: 0in 0in 8.4pt 0in;""><strong><span style=""font-size: 11.5pt; font-family: 'Arial',sans-serif; color: #ab1a1a;"">FREE SHIPPING!</span></strong><span style=""font-size: 11.5pt; font-family: 'Arial',sans-serif; color: #3a2a2f;""></span></p>
<p>Totally maintenance-free Classic Adirondack Chairs with Round Table by Wildridge that will never require painting. This Classic Adirondack 5-Piece outdoor patio set may last forever and is designed to live in the sun and elements for a very long time. This features feel like natural wood but are extremely durable. Built with stylish creativity. Constructed of durable HDPE Recycled resin and 316 marine grade Stainless Steel fasteners. Eco-friendly. No maintenance, easy to clean, and Made in the USA.</p>
<ul>
<li>The product includes 4 Adirondack Chairs &amp; 1 Round Table.</li>
<li>Chair Dimensions:? ?28"" W x 31"" D x 38"" H?
<ul>
<li>Seat: Wide 20"" x Deep 18.5""</li>
<li>Seat height from floor 15.5""</li>
<li>Arm height from floor 23.5""</li>
<li>Backrest Height: 32""</li>
<li>Chair's Weight: 34 lbs./each<br>
</li>
</ul>
</li>
<li>Side Table Dimensions: 33"" D x 33"" W x 21"" H
<ul>
<li>Height: 21""</li>
<li>Table's Weight: 32 lbs.</li>
<li>
<div><span>Umbrella Hole NOT Included</span></div>
</li>
</ul>
</li>
<li>Total Product Weight: 168 lbs.</li>
<li>The average shipment date is <span>3 to 4</span> weeks from the date of order placement.?</li>
<li>Type: Deck, Patio, Poolside, Garden, Lakeside or Beachside. Commercial</li>
<li>Assembly Required (minimal)</li>
<li>Will Not crack, split, rot, or splinter, and will not promote bacterial growth</li>
<li>Termite Resistant</li>
<li>Warranty - Manufacturer 20 Years Limited Residential, Manufacturer 5 Year Limited Commercial</li>
<li>Materials: Constructed of durable HDPE Recycled resin and 316 marine grade Stainless Steel fasteners. Eco-friendly. No maintenance, Easy to clean</li>
<li>Made in USA</li>
</ul>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_DIMS_3f0b9276-7032-47b4-bfca-0939392b999a.jpg?v=1746797724""></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_220_DIMS_8bcd23c9-386d-4e8f-b65c-8966de75cfb0.jpg?v=1746807499""></p>
<ul>
<li>13?available Poly Colors-</li>
</ul>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0268/6749/9079/files/2021_Poly_Colors_Wildridge_480x480.jpg?v=1611393714""></p>
<p>?Wildridge? was created to exemplify these in a way that redefines what qualifies as a truly premium product.?Its industry-leading poly furniture features quality materials, master craftsmanship, and superior construction that yield a product with undeniable quality and the service to go along with it.?</p>",Gooddegg,Furniture > Outdoor Furniture > Outdoor Furniture Sets,Adirondack Chair,"Adirondack, Adirondack & Glide Chairs, Adirondack Chairs, adirondack group, Adirondack group set, Adirondack Set, Adirondack table with chairs, Chairs, conversation set, New Arrivals, outdoor, Outdoor Comfort, outdoor furniture, outdoor patio furniture, outdoor seating, Outdoor Seating & Accessories, patio seating, Patio/Outdoor/Garden, Polylumber, Seating, Wildridge, wildridge Adirondack Chair",TRUE,Color,Black,,,,,,,,LCC-214-220-BK,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_CR_table-Photoroom.png?v=1765898481,1,,FALSE,Classic Adirondack Chairs with Round Table by Wildridge | Gooddegg ,Classic Adirondack Chairs with Round Table by Wildridge is available online from GOODDEGG in the USA. Shop for Outdoor Furniture and get guaranteed lowest prices.,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_BK_LIFE_4.jpg?v=1750809309,lb,,862,active
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Cherrywood,,,,,,,,LCC-214-220-CHERRYWOOD,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/products/2021_PolyColors_Wildridge_f450eeda-4b5a-414f-a22a-738edb35eaf8.jpg?v=1750809211,2,Classic Adirondack Chair with Ottoman & Side Table by Wildridge - Elegant Indoor/Outdoor Furniture and home decor accessories at Gooddegg,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_CW_LIFE_4.jpg?v=1750809211,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Turf Green,,,,,,,,LCC-214-220-TURFGREEN,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_DIMS_3f0b9276-7032-47b4-bfca-0939392b999a.jpg?v=1750809211,3,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_TG_LIFE_4.jpg?v=1750809211,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Light Gray,,,,,,,,LCC-214-220-LIGHTGREY,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_220_DIMS_8bcd23c9-386d-4e8f-b65c-8966de75cfb0.jpg?v=1750809211,4,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_LG_LIFE_4.jpg?v=1750809309,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Weathered Wood,,,,,,,,LCC-214-220-WEATHEREDWOOD,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_TG_LIFE_4.jpg?v=1750809211,5,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_WW_LIFE_4.jpg?v=1750809211,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Tudor Brown,,,,,,,,LCC-214-220-TUDORBROWN,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_TG_33f568ad-d1ec-43c8-b8b7-c6b50e5b3c8d.jpg?v=1750809211,6,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_TB_LIFE_4.jpg?v=1750809414,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,White,,,,,,,,LCC-214-220-WHITE,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_220_TG_a65e7ddb-8304-4c31-93e3-f90eb1e0754d.jpg?v=1750809211,7,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_BW_LIFE_4.jpg?v=1750809364,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Aruba Blue,,,,,,,,LCC-214-220-Aruba,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_WW_LIFE_4.jpg?v=1750809211,8,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_AB_LIFE_4.jpg?v=1750809211,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Lime Green,,,,,,,,LCC-214-220-Lime Green,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_WW_53d29a47-8ce3-4dd8-85ca-04a3c8e497f3.jpg?v=1750809211,9,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_TLG_LIFE_4.jpg?v=1750809211,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Lemon Yellow,,,,,,,,LCC-214-220-Yellow,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_220_WW_7142d1a6-ad6d-4c42-9fcc-18e49ae39daf.jpg?v=1750809211,10,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_LY_LIFE_4.jpg?v=1750809211,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Dark Gray,,,,,,,,LCC-214-220-Dark Grey,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_PB_LIFE_4.jpg?v=1750809369,11,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_DG_LIFE_4.jpg?v=1750809369,lb,,862,
classic-adirondack-chairs-with-round-table-by-wildridge,,,,,,,,,Cardinal Red,,,,,,,,LCC-214-220-Cardinal Red,29937.09642,shopify,deny,manual,1345,1715,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_PB_aad48c0f-8a28-4ced-b5ca-fe67ec2bb0be.jpg?v=1750809369,12,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/LCC_214_CR_table.jpg?v=1750809211,lb,,862,
