Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alba-patio-wooden-bench,ALBA Patio Wooden Bench,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with ALBA Patio Wooden Bench and its Contemporary character. This outdoor bench is made to fit naturally into the room. Finished in Antique Oak or Black tones, the Cast Iron, Wood build balances durability with visual appeal.<br>
Product Dimensions: 49 1/4""L X 23 3/4""W X 31""H</p>

<p>Materials: Cast Iron, Wood.<br>
Color: Antique Oak or Black<br>
Weight: 48.4 lbs</p>",GOODDEGG,Furniture > Benches,Bench,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Bench, ALBA, LIVING ROOM FURNITURE",TRUE,Color,Antique Oak/Black,,,,,,,,CM-OB1806,21954,shopify,20,deny,manual,207,,TRUE,FALSE,,,,,,CM-OB1806-Z.jpg,1,alba-patio-wooden-bench,FALSE,ALBA Patio Wooden Bench,"Shop ALBA Patio Wooden Bench. Contemporary style. Cast Iron, Wood build. Color: Antique Oak/Black. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OB1806-Z.jpg,lb,,79,active
alba-patio-wooden-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-OB1806-DETAIL.jpg,2,alba-patio-wooden-bench,,,,,,,,
bordeaux-bench,BORDEAUX Bench,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
BORDEAUX Bench brings a Contemporary look to your home with a refined, comfortable feel. This outdoor bench is made to fit naturally into the room. The Aluminum, Stainless Steel, Polyspun Fabric construction is complemented by Natural or Beige tones for a polished look.<br>
Product Dimensions: 57""W X 16.5""D X 18.5""H</p>

<p>Materials: Aluminum, Stainless Steel, Polyspun Fabric.<br>
Color: Natural or Beige<br>
Weight: 26.41 lbs</p>",GOODDEGG,Furniture > Benches,Bench,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Bench, BORDEAUX, LIVING ROOM FURNITURE",TRUE,Color,Natural/Beige,,,,,,,,GM-2021,11979,shopify,20,deny,manual,390,,TRUE,FALSE,,,,,,GM-2021-WB-1.jpg,1,bordeaux-bench,FALSE,BORDEAUX Bench,"Shop BORDEAUX Bench. Contemporary style. Aluminum, Stainless Steel build. Color: Natural/Beige. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2021-WB-1.jpg,lb,,150,active
bordeaux-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2017-6PC.jpg,2,bordeaux-bench,,,,,,,,
borkum-garden-bench,BORKUM Garden Bench,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with BORKUM Garden Bench and its Rustic character. This outdoor bench is made to fit naturally into the room. Finished in Natural tones, the Acacia Wood build balances durability with visual appeal.<br>
Product Dimensions: 48""W X 22 1/2""D X 33 1/2""H</p>

<p>Materials: Acacia Wood.<br>
Color: Natural<br>
Weight: 27.56 lbs</p>",GOODDEGG,Furniture > Benches,Bench,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Bench, BORKUM, LIVING ROOM FURNITURE",TRUE,Color,Natural,,,,,,,,GM-1017,12501,shopify,20,deny,manual,147,,TRUE,FALSE,,,,,,GM-1017-1.jpg,1,borkum-garden-bench,FALSE,BORKUM Garden Bench,Shop BORKUM Garden Bench. Rustic style. Acacia Wood build. Color: Natural. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1017-1.jpg,lb,,59,active
johari-patio-bench,JOHARI Patio Bench,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
JOHARI Patio Bench is designed to complement your space with a balanced, versatile look. Built as a outdoor bench, it pairs well with a wide range of interiors.<br>
Product Dimensions: 58""W X 29""D X 25.5""H (SEAT HT: 16.5"")<br>
Weight: 52.8 lbs</p>",GOODDEGG,Furniture > Benches,Bench,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Bench, JOHARI, LIVING ROOM FURNITURE",TRUE,Type,Single Item,,,,,,,,FM80016NT-BN,23950,shopify,20,deny,manual,690,,TRUE,FALSE,,,,,,FM80016NT-4PC-BN-1.jpg,1,johari-patio-bench,FALSE,JOHARI Patio Bench,Shop JOHARI Patio Bench. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM80016NT-4PC-BN-1.jpg,lb,,280,active
minot-patio-steel-bench,MINOT Patio Steel Bench,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with MINOT Patio Steel Bench, styled in Contemporary and designed for everyday comfort. Built as a outdoor bench, it pairs well with a wide range of interiors. With Steel and Black tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 50 2/5""L X 20""W X 33 7/8""H</p>

<p>Materials: Steel.<br>
Color: Black<br>
Weight: 35.2 lbs</p>",GOODDEGG,Furniture > Benches,Bench,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Bench, MINOT, LIVING ROOM FURNITURE",TRUE,Color,Black,,,,,,,,CM-OB1809,15966,shopify,20,deny,manual,267,,TRUE,FALSE,,,,,,CM-OB1809-Z.jpg,1,minot-patio-steel-bench,FALSE,MINOT Patio Steel Bench,Shop MINOT Patio Steel Bench. Contemporary style. Steel build. Color: Black. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OB1809-Z.jpg,lb,,99,active
potter-patio-steel-bench,POTTER Patio Steel Bench,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
POTTER Patio Steel Bench adds a Contemporary touch while keeping the room feeling warm and welcoming. As a outdoor bench, it is designed to complement your space. Crafted from Steel, it is finished in Black tones that pair easily with surrounding decor.<br>
Product Dimensions: 50 2/5""L X 20 1/4""W X 34""H</p>

<p>Materials: Steel.<br>
Color: Black<br>
Weight: 35.2 lbs</p>",GOODDEGG,Furniture > Benches,Bench,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Bench, POTTER, LIVING ROOM FURNITURE",TRUE,Color,Black,,,,,,,,CM-OB1808,15966,shopify,20,deny,manual,267,,TRUE,FALSE,,,,,,CM-OB1808-Z.jpg,1,potter-patio-steel-bench,FALSE,POTTER Patio Steel Bench,Shop POTTER Patio Steel Bench. Contemporary style. Steel build. Color: Black. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-OB1808-Z.jpg,lb,,99,active
sintra-bench,SINTRA Bench,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with SINTRA Bench and its Contemporary character. This outdoor bench is made to fit naturally into the room. Finished in Black or Gray tones, the Steel, Polyspun build balances durability with visual appeal.<br>
Product Dimensions: 59""W X 15 3/4""D X 17 1/4""H</p>

<p>Materials: Steel, Polyspun.<br>
Color: Black or Gray<br>
Weight: 24 lbs</p>",GOODDEGG,Furniture > Benches,Bench,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Bench, SINTRA, LIVING ROOM FURNITURE",TRUE,Color,Black/Gray,,,,,,,,GM-2009,10886,shopify,20,deny,manual,300,,TRUE,FALSE,,,,,,GM-2009-WB-1.jpg,1,sintra-bench,FALSE,SINTRA Bench,"Shop SINTRA Bench. Contemporary style. Steel, Polyspun build. Color: Black/Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2009-WB-1.jpg,lb,,120,active
sintra-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2008-6PC-1.jpg,2,sintra-bench,,,,,,,,
