Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cassiopeia-round-edge-headboard-bed,cassiopeia round edge headboard bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with CASSIOPEIA, styled in Glam and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Engineered Wood, Solid Teak, Rubberwood, Laminate and Metallic Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: E.King, Queen</p>

<p>Features<br>
- Engineered Wood<br>
- Solid Teak<br>
- Rubberwood<br>
- Laminate<br>
- 7-Ray Headboard<br>
- Backlit LED on Headboard and Mirror<br>
- Metallic Scale Molding Trim<br>
- Mattress Ready<br>
<strong>Variant Details</strong><br>
- <strong>Size: E.King | Color: Metallic Gray | Dimensions: 80&quot;W X 85.5&quot;D X 64&quot;H | Weight: 276.6 lbs | Volume: 25.3 cuft</strong><br>
- <strong>Size: Queen | Color: Metallic Gray | Dimensions: 63&quot;W X 85.5&quot;D X 64&quot;H | Weight: 240.67 lbs | Volume: 23.3 cuft</strong><br>
</p>

<p>Materials: Engineered Wood, Solid Teak, Rubberwood, Laminate.<br>
Color: Metallic Gray<br>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, CASSIOPEIA, BEDROOM FURNITURE",TRUE,Size,E.King,,,,,,,,FM7253GY-EK-BED,125464,shopify,20,deny,manual,1587,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-1-Z.jpg,1,cassiopeia-round-edge-headboard-bed,FALSE,cassiopeia round edge headboard bed,"Shop cassiopeia bed. Glam style. Engineered Wood, Solid Teak build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-1-Z.jpg,lb,,639,active
cassiopeia-round-edge-headboard-bed,,,,,,,,Size,Queen,,,,,,,,FM7253GY-Q-BED,109166,shopify,20,deny,manual,1467,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-4.jpg,2,cassiopeia-round-edge-headboard-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-1-Z.jpg,lb,,559,
cassiopeia-round-edge-headboard-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7253GY-2.jpg,3,cassiopeia-round-edge-headboard-bed,,,,,,,,
cassiopeia-square-edge-headboard-bed,cassiopeia square edge headboard bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with CASSIOPEIA, styled in Glam and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Engineered Wood, Solid Teak, Rubberwood, Laminate and Metallic Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: E.King, Queen</p>

<p>Features<br>
- Engineered Wood<br>
- Solid Teak<br>
- Rubberwood<br>
- Laminate<br>
- 7-Ray Headboard<br>
- Backlit LED on Headboard and Mirror<br>
- Metallic Scale Molding Trim<br>
- Mattress Ready<br>
<strong>Variant Details</strong><br>
- <strong>Size: E.King | Color: Metallic Gray | Dimensions: 79&quot;W X 85.5&quot;D X 59&quot;H | Weight: 242.7 lbs | Volume: 25.7 cuft</strong><br>
- <strong>Size: Queen | Color: Metallic Gray | Dimensions: 64&quot;W X 85.5&quot;D X 59&quot;H | Weight: 205.4 lbs | Volume: 23.4 cuft</strong><br>
</p>

<p>Materials: Engineered Wood, Solid Teak, Rubberwood, Laminate.<br>
Color: Metallic Gray<br>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, CASSIOPEIA, BEDROOM FURNITURE",TRUE,Size,E.King,,,,,,,,FM7254GY-EK-BED,110087,shopify,20,deny,manual,1467,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-1-Z.jpg,1,cassiopeia-square-edge-headboard-bed,FALSE,cassiopeia square edge headboard bed,"Shop cassiopeia bed. Glam style. Engineered Wood, Solid Teak build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-1-Z.jpg,lb,,589,active
cassiopeia-square-edge-headboard-bed,,,,,,,,Size,Queen,,,,,,,,FM7254GY-Q-BED,93168,shopify,20,deny,manual,1197,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-2.jpg,2,cassiopeia-square-edge-headboard-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-1-Z.jpg,lb,,479,
cassiopeia-square-edge-headboard-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7254GY-3.jpg,3,cassiopeia-square-edge-headboard-bed,,,,,,,,
chalfont-wall-panel-2-ctn-bed,CHALFONT Wall Panel (2/CTN) Bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with CHALFONT, styled in Contemporary and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Engineered Wood, Rubberwood, Paper, Fabric and Dark Brown tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Varies by variant</p>

<p>Features<br>
- Engineered Wood<br>
- Rubberwood<br>
- Paper<br>
- Fabric<br>
- Channel Padded Headboard<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Dark Brown | Dimensions: - | Weight: 69.96 lbs | Shipping (LxWxH): 56.7 x 27.8 x 10 in | Volume: 9.1 cuft</strong><br>
- <strong>Size: - | Color: Dark Brown | Dimensions: - | Weight: 68.21 lbs | Shipping (LxWxH): 56.3 x 27.9 x 8.9 in | Volume: 8.1 cuft</strong><br>
</p>

<p>Materials: Engineered Wood, Rubberwood, Paper, Fabric.<br>
Color: Dark Brown<br>
Weight: 68.21 - 69.96 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, CHALFONT, BEDROOM FURNITURE",TRUE,Size,E.King,,,,,,,,FM7272DB-EK-WP,31733,shopify,20,deny,manual,387,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-1-Z.jpg,1,chalfont-wall-panel-2-ctn-bed,FALSE,CHALFONT Wall Panel (2/CTN) Bed,"Shop CHALFONT Wall Panel (2/CTN) Bed. Contemporary style. Engineered Wood, Rubberwood build. Color: Dark Brown. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-1-Z.jpg,lb,,172,active
chalfont-wall-panel-2-ctn-bed,,,,,,,,Size,Queen,,,,,,,,FM7272DB-Q-WP,30940,shopify,20,deny,manual,387,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-2.jpg,2,chalfont-wall-panel-2-ctn-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-1-Z.jpg,lb,,169,
chalfont-wall-panel-2-ctn-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-3.jpg,3,chalfont-wall-panel-2-ctn-bed,,,,,,,,
chalfont-wall-panel-2-ctn-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-4.jpg,4,chalfont-wall-panel-2-ctn-bed,,,,,,,,
