Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aalok-bed,aalok bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with AALOK, styled in Glam and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Velvet-like Fabric, Solid Wood, Wood Veneer, Others and Silver/Warm Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Queen, E.King, Cal.King</p>

<p>Features<br>
- Velvet-like Fabric<br>
- Solid Wood<br>
- Wood Veneer<br>
- Others<br>
- Padded H/B &amp; F/B w/ Pleated Design<br>
- Cabriole Legs<br>
- USB Charger on Night Stand<br>
- Felt-lined Top Drawer<br>
- Hidden Drawer in Dresser<br>
- Foundation Required<br>
<strong>Variant Details</strong><br>
- <strong>Size: Queen | Color: Silver/Warm Gray | Dimensions: 87 3/4&quot;L X 65 7/8&quot;W X 70&quot;H | Weight: 187 lbs | Volume: 22 cuft</strong><br>
- <strong>Size: E.King | Color: Silver/Warm Gray | Dimensions: 87 3/4&quot;L X 81 5/8&quot;W X 70&quot;H | Weight: 213.4 lbs | Volume: 23.4 cuft</strong><br>
- <strong>Size: Cal.King | Color: Silver/Warm Gray | Dimensions: 91 3/4&quot;L X 81 5/8&quot;W X 70&quot;H | Weight: 217.8 lbs | Volume: 24.2 cuft</strong><br>
</p>

<p>Materials: Velvet-like Fabric, Solid Wood, Wood Veneer, Others.<br>
Color: Silver/Warm Gray<br>
Weight: 187 - 217.8 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, AALOK, BEDROOM FURNITURE",TRUE,Size,Queen,,,,,,,,CM7864Q-BED,84822,shopify,20,deny,manual,1197,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-c.jpg,1,aalok-bed,FALSE,aalok bed,"Shop aalok bed. Glam style. Velvet-like Fabric, Solid Wood build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-c.jpg,lb,,459,active
aalok-bed,,,,,,,,,E.King,,,,,,,,CM7864EK-BED,96797,shopify,20,deny,manual,1440,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-Z.jpg,2,aalok-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-c.jpg,lb,,539,
aalok-bed,,,,,,,,,Cal.King,,,,,,,,CM7864CK-BED,98792,shopify,20,deny,manual,1497,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-2.jpg,3,aalok-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-c.jpg,lb,,559,
aalok-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-3.jpg,4,aalok-bed,,,,,,,,
aalok-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-4.jpg,5,aalok-bed,,,,,,,,
alaina-bed,alaina bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALAINA, styled in Transitional and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Solid Wood, Wood Veneer, Engineered Wood and Walnut tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Queen, E.King, Cal.King</p>

<p>Features<br>
- Solid Wood<br>
- Wood Veneer<br>
- Engineered Wood<br>
- Curved Headboard<br>
- Paneled Design<br>
- USB Charger in Night Stand<br>
- Nickel Drawer Pulls<br>
- Felt-lined Top Drawers<br>
- Foundation Required<br>
<strong>Variant Details</strong><br>
- <strong>Size: Queen | Color: Walnut | Dimensions: 85 1/4&quot;L X 64&quot;W X 52&quot;H | Weight: 96.8 lbs | Volume: 13.3 cuft</strong><br>
- <strong>Size: E.King | Color: Walnut | Dimensions: 85 1/4&quot;L X 80&quot;W X 52&quot;H | Weight: 110 lbs | Volume: 15.8 cuft</strong><br>
- <strong>Size: Cal.King | Color: Walnut | Dimensions: 89 1/4&quot;L X 80&quot;W X 52&quot;H | Weight: 124.3 lbs | Volume: 16.6 cuft</strong><br>
</p>

<p>Materials: Solid Wood, Wood Veneer, Engineered Wood.<br>
Color: Walnut<br>
Weight: 96.8 - 124.3 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, ALAINA, BEDROOM FURNITURE",TRUE,Size,Queen,,,,,,,,FOA7916Q-BED,43908,shopify,20,deny,manual,567,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FOA7916-1-c.jpg,1,alaina-bed,FALSE,alaina bed,"Shop alaina bed. Transitional style. Solid Wood, Wood Veneer build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FOA7916-1-c.jpg,lb,,239,active
alaina-bed,,,,,,,,,E.King,,,,,,,,FOA7916EK-BED,49895,shopify,20,deny,manual,717,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FOA7916-1.jpg,2,alaina-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FOA7916-1-c.jpg,lb,,289,
alaina-bed,,,,,,,,,Cal.King,,,,,,,,FOA7916CK-BED,56382,shopify,20,deny,manual,717,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FOA7916-2.jpg,3,alaina-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FOA7916-1-c.jpg,lb,,289,
alaina-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FOA7916-3.jpg,4,alaina-bed,,,,,,,,
alaina-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FOA7916-4.jpg,5,alaina-bed,,,,,,,,
