Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chalfont-wall-panel-2-ctn-bed,CHALFONT Wall Panel (2/CTN) Bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with CHALFONT, styled in Contemporary and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Engineered Wood, Rubberwood, Paper, Fabric and Dark Brown tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Varies by variant</p>

<p>Features<br>
- Engineered Wood<br>
- Rubberwood<br>
- Paper<br>
- Fabric<br>
- Channel Padded Headboard<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Dark Brown | Dimensions: - | Weight: 69.96 lbs | Shipping (LxWxH): 56.7 x 27.8 x 10 in | Volume: 9.1 cuft</strong><br>
- <strong>Size: - | Color: Dark Brown | Dimensions: - | Weight: 68.21 lbs | Shipping (LxWxH): 56.3 x 27.9 x 8.9 in | Volume: 8.1 cuft</strong><br>
</p>

<p>Materials: Engineered Wood, Rubberwood, Paper, Fabric.<br>
Color: Dark Brown<br>
Weight: 68.21 - 69.96 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, CHALFONT, BEDROOM FURNITURE",TRUE,Size,E.King,,,,,,,,FM7272DB-EK-WP,31733,shopify,20,deny,manual,387,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-1-Z.jpg,1,chalfont-wall-panel-2-ctn-bed,FALSE,CHALFONT Wall Panel (2/CTN) Bed,"Shop CHALFONT Wall Panel (2/CTN) Bed. Contemporary style. Engineered Wood, Rubberwood build. Color: Dark Brown. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-1-Z.jpg,lb,,172,active
chalfont-wall-panel-2-ctn-bed,,,,,,,,,Queen,,,,,,,,FM7272DB-Q-WP,30940,shopify,20,deny,manual,387,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-2.jpg,2,chalfont-wall-panel-2-ctn-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-1-Z.jpg,lb,,169,
chalfont-wall-panel-2-ctn-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-3.jpg,3,chalfont-wall-panel-2-ctn-bed,,,,,,,,
chalfont-wall-panel-2-ctn-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-4.jpg,4,chalfont-wall-panel-2-ctn-bed,,,,,,,,
chalfont-wall-panel-2-ctn-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-5.jpg,5,chalfont-wall-panel-2-ctn-bed,,,,,,,,
chalfont-wall-panel-2-ctn-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7272DB-6.jpg,6,chalfont-wall-panel-2-ctn-bed,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
